round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1137,0.1137,2.3025,0.00,196.36,196.36
2,0.1353,0.1249,2.3508,196.36,196.36,392.73
3,0.1924,0.2985,2.3110,196.36,196.36,392.73
4,0.2620,0.3993,2.2263,196.36,196.36,392.73
5,0.3027,0.4500,2.1452,196.36,196.36,392.73
6,0.3344,0.4767,2.0689,196.36,196.36,392.73
7,0.3664,0.5022,1.9975,196.36,196.36,392.73
8,0.3973,0.5262,1.9299,196.36,196.36,392.73
9,0.4221,0.5515,1.8661,196.36,196.36,392.73
10,0.4434,0.5752,1.8085,196.36,196.36,392.73
11,0.4636,0.5986,1.7519,196.36,196.36,392.73
12,0.4862,0.6225,1.7005,196.36,196.36,392.73
13,0.5027,0.6404,1.6512,196.36,196.36,392.73
14,0.5201,0.6577,1.6067,196.36,196.36,392.73
15,0.5349,0.6733,1.5622,196.36,196.36,392.73
16,0.5454,0.6846,1.5232,196.36,196.36,392.73
17,0.5590,0.7000,1.4865,196.36,196.36,392.73
18,0.5692,0.7106,1.4537,196.36,196.36,392.73
19,0.5797,0.7217,1.4215,196.36,196.36,392.73
20,0.5884,0.7283,1.3917,196.36,196.36,392.73
21,0.5960,0.7384,1.3668,196.36,196.36,392.73
22,0.6006,0.7439,1.3499,196.36,196.36,392.73
23,0.6066,0.7512,1.3303,196.36,196.36,392.73
24,0.6107,0.7562,1.3155,196.36,196.36,392.73
25,0.6133,0.7609,1.2999,196.36,196.36,392.73
26,0.6167,0.7653,1.2915,196.36,196.36,392.73
27,0.6189,0.7699,1.2796,196.36,196.36,392.73
28,0.6217,0.7734,1.2684,196.36,196.36,392.73
29,0.6229,0.7751,1.2670,196.36,196.36,392.73
30,0.6269,0.7802,1.2516,196.36,196.36,392.73
31,0.6290,0.7833,1.2462,196.36,196.36,392.73
32,0.6276,0.7850,1.2500,196.36,196.36,392.73
33,0.6280,0.7876,1.2440,196.36,196.36,392.73
34,0.6308,0.7902,1.2369,196.36,196.36,392.73
35,0.6286,0.7916,1.2446,196.36,196.36,392.73
36,0.6307,0.7943,1.2368,196.36,196.36,392.73
37,0.6324,0.7967,1.2346,196.36,196.36,392.73
38,0.6329,0.7976,1.2367,196.36,196.36,392.73
39,0.6336,0.8002,1.2301,196.36,196.36,392.73
40,0.6346,0.8015,1.2268,196.36,196.36,392.73
41,0.6346,0.8039,1.2312,196.36,196.36,392.73
42,0.6342,0.8046,1.2350,196.36,196.36,392.73
43,0.6342,0.8062,1.2362,196.36,196.36,392.73
44,0.6364,0.8084,1.2324,196.36,196.36,392.73
45,0.6358,0.8086,1.2388,196.36,196.36,392.73
46,0.6373,0.8103,1.2357,196.36,196.36,392.73
47,0.6377,0.8116,1.2326,196.36,196.36,392.73
48,0.6368,0.8120,1.2403,196.36,196.36,392.73
49,0.6369,0.8134,1.2382,196.36,196.36,392.73
50,0.6402,0.8160,1.2334,196.36,196.36,392.73
51,0.6358,0.8153,1.2250,196.36,196.36,392.73
52,0.6373,0.8153,1.2455,196.36,196.36,392.73
53,0.6368,0.8176,1.2441,196.36,196.36,392.73
54,0.6361,0.8171,1.2486,196.36,196.36,392.73
55,0.6360,0.8187,1.2521,196.36,196.36,392.73
56,0.6405,0.8207,1.2429,196.36,196.36,392.73
57,0.6363,0.8193,1.2526,196.36,196.36,392.73
58,0.6384,0.8224,1.2322,196.36,196.36,392.73
59,0.6381,0.8223,1.2478,196.36,196.36,392.73
60,0.6413,0.8246,1.2350,196.36,196.36,392.73
61,0.6381,0.8239,1.2542,196.36,196.36,392.73
62,0.6392,0.8251,1.2492,196.36,196.36,392.73
63,0.6404,0.8262,1.2466,196.36,196.36,392.73
64,0.6418,0.8261,1.2584,196.36,196.36,392.73
65,0.6414,0.8272,1.2490,196.36,196.36,392.73
66,0.6404,0.8281,1.2445,196.36,196.36,392.73
67,0.6409,0.8288,1.2495,196.36,196.36,392.73
68,0.6428,0.8290,1.2549,196.36,196.36,392.73
69,0.6409,0.8288,1.2580,196.36,196.36,392.73
70,0.6410,0.8300,1.2425,196.36,196.36,392.73
71,0.6426,0.8307,1.2621,196.36,196.36,392.73
72,0.6416,0.8304,1.2626,196.36,196.36,392.73
73,0.6426,0.8314,1.2646,196.36,196.36,392.73
74,0.6409,0.8329,1.2516,196.36,196.36,392.73
75,0.6458,0.8331,1.2614,196.36,196.36,392.73
76,0.6440,0.8340,1.2566,196.36,196.36,392.73
77,0.6438,0.8339,1.2603,196.36,196.36,392.73
78,0.6457,0.8353,1.2571,196.36,196.36,392.73
79,0.6435,0.8352,1.2581,196.36,196.36,392.73
80,0.6501,0.8371,1.2613,196.36,196.36,392.73
81,0.6478,0.8375,1.2538,196.36,196.36,392.73
82,0.6463,0.8380,1.2460,196.36,196.36,392.73
83,0.6487,0.8389,1.2538,196.36,196.36,392.73
84,0.6510,0.8397,1.2555,196.36,196.36,392.73
85,0.6473,0.8393,1.2644,196.36,196.36,392.73
86,0.6494,0.8417,1.2421,196.36,196.36,392.73
87,0.6501,0.8414,1.2633,196.36,196.36,392.73
88,0.6544,0.8431,1.2531,196.36,196.36,392.73
89,0.6497,0.8421,1.2573,196.36,196.36,392.73
90,0.6511,0.8430,1.2585,196.36,196.36,392.73
91,0.6523,0.8436,1.2489,196.36,196.36,392.73
92,0.6541,0.8443,1.2533,196.36,196.36,392.73
93,0.6550,0.8453,1.2545,196.36,196.36,392.73
94,0.6562,0.8467,1.2392,196.36,196.36,392.73
95,0.6552,0.8460,1.2566,196.36,196.36,392.73
96,0.6551,0.8460,1.2497,196.36,196.36,392.73
97,0.6545,0.8477,1.2342,196.36,196.36,392.73
98,0.6553,0.8479,1.2422,196.36,196.36,392.73
99,0.6535,0.8480,1.2332,196.36,196.36,392.73
100,0.6555,0.8488,1.2401,196.36,196.36,392.73
