round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1106,0.1106,2.3024,0.00,196.36,196.36
2,0.1268,0.1111,2.4308,196.36,196.36,392.73
3,0.1483,0.2025,2.4055,196.36,196.36,392.73
4,0.1599,0.2960,2.3370,196.36,196.36,392.73
5,0.1800,0.3932,2.2514,196.36,196.36,392.73
6,0.2292,0.4596,2.1672,196.36,196.36,392.73
7,0.2947,0.4986,2.0917,196.36,196.36,392.73
8,0.3322,0.5181,2.0217,196.36,196.36,392.73
9,0.3626,0.5348,1.9597,196.36,196.36,392.73
10,0.3928,0.5429,1.9028,196.36,196.36,392.73
11,0.4197,0.5519,1.8491,196.36,196.36,392.73
12,0.4376,0.5615,1.8006,196.36,196.36,392.73
13,0.4595,0.5694,1.7569,196.36,196.36,392.73
14,0.4744,0.5735,1.7107,196.36,196.36,392.73
15,0.4901,0.5787,1.6832,196.36,196.36,392.73
16,0.5001,0.5851,1.6368,196.36,196.36,392.73
17,0.5056,0.5883,1.6148,196.36,196.36,392.73
18,0.5214,0.5945,1.5841,196.36,196.36,392.73
19,0.5290,0.5984,1.5557,196.36,196.36,392.73
20,0.5406,0.6023,1.5309,196.36,196.36,392.73
21,0.5471,0.6045,1.5166,196.36,196.36,392.73
22,0.5531,0.6121,1.4887,196.36,196.36,392.73
23,0.5548,0.6060,1.4740,196.36,196.36,392.73
24,0.5604,0.6170,1.4504,196.36,196.36,392.73
25,0.5714,0.6230,1.4268,196.36,196.36,392.73
26,0.5764,0.6205,1.4136,196.36,196.36,392.73
27,0.5824,0.6257,1.3992,196.36,196.36,392.73
28,0.5872,0.6299,1.3878,196.36,196.36,392.73
29,0.5899,0.6310,1.3694,196.36,196.36,392.73
30,0.5923,0.6323,1.3558,196.36,196.36,392.73
31,0.5977,0.6379,1.3391,196.36,196.36,392.73
32,0.5992,0.6389,1.3393,196.36,196.36,392.73
33,0.6018,0.6445,1.3182,196.36,196.36,392.73
34,0.6065,0.6429,1.3039,196.36,196.36,392.73
35,0.6102,0.6462,1.2958,196.36,196.36,392.73
36,0.6096,0.6479,1.2844,196.36,196.36,392.73
37,0.6108,0.6508,1.2784,196.36,196.36,392.73
38,0.6174,0.6518,1.2746,196.36,196.36,392.73
39,0.6175,0.6558,1.2634,196.36,196.36,392.73
40,0.6214,0.6569,1.2683,196.36,196.36,392.73
41,0.6263,0.6579,1.2484,196.36,196.36,392.73
42,0.6295,0.6625,1.2373,196.36,196.36,392.73
43,0.6279,0.6618,1.2425,196.36,196.36,392.73
44,0.6317,0.6624,1.2291,196.36,196.36,392.73
45,0.6277,0.6642,1.2379,196.36,196.36,392.73
46,0.6339,0.6649,1.2208,196.36,196.36,392.73
47,0.6343,0.6702,1.2073,196.36,196.36,392.73
48,0.6384,0.6705,1.2039,196.36,196.36,392.73
49,0.6404,0.6721,1.2003,196.36,196.36,392.73
50,0.6393,0.6721,1.1852,196.36,196.36,392.73
51,0.6388,0.6715,1.2104,196.36,196.36,392.73
52,0.6489,0.6749,1.1896,196.36,196.36,392.73
53,0.6351,0.6760,1.2008,196.36,196.36,392.73
54,0.6454,0.6746,1.1829,196.36,196.36,392.73
55,0.6473,0.6674,1.1826,196.36,196.36,392.73
56,0.6494,0.6753,1.1664,196.36,196.36,392.73
57,0.6461,0.6773,1.1799,196.36,196.36,392.73
58,0.6518,0.6793,1.1629,196.36,196.36,392.73
59,0.6505,0.6797,1.1697,196.36,196.36,392.73
60,0.6643,0.6810,1.1487,196.36,196.36,392.73
61,0.6527,0.6832,1.1665,196.36,196.36,392.73
62,0.6582,0.6833,1.1557,196.36,196.36,392.73
63,0.6599,0.6852,1.1375,196.36,196.36,392.73
64,0.6565,0.6829,1.1458,196.36,196.36,392.73
65,0.6554,0.6880,1.1580,196.36,196.36,392.73
66,0.6629,0.6888,1.1342,196.36,196.36,392.73
67,0.6619,0.6904,1.1382,196.36,196.36,392.73
68,0.6584,0.6884,1.1474,196.36,196.36,392.73
69,0.6592,0.6872,1.1644,196.36,196.36,392.73
70,0.6654,0.6846,1.1406,196.36,196.36,392.73
71,0.6615,0.6877,1.1518,196.36,196.36,392.73
72,0.6641,0.6902,1.1415,196.36,196.36,392.73
73,0.6726,0.6937,1.1088,196.36,196.36,392.73
74,0.6609,0.6917,1.1318,196.36,196.36,392.73
75,0.6754,0.6923,1.1116,196.36,196.36,392.73
76,0.6671,0.6910,1.1371,196.36,196.36,392.73
77,0.6701,0.6805,1.1328,196.36,196.36,392.73
