round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1113,0.1113,2.3028,0.00,0.00,0.00
2,0.4804,0.1996,1.7443,120.11,78.55,198.65
3,0.5834,0.2727,1.4349,118.58,78.55,197.12
4,0.6781,0.3459,1.2262,117.72,78.55,196.27
5,0.7523,0.4096,1.0659,117.13,78.55,195.68
6,0.7912,0.4446,0.9431,116.70,78.55,195.25
7,0.8201,0.4780,0.8468,116.35,78.55,194.90
8,0.8360,0.4950,0.7732,116.08,78.55,194.62
9,0.8583,0.5278,0.7121,115.84,78.55,194.39
10,0.8681,0.5495,0.6616,115.65,78.55,194.19
11,0.8814,0.5653,0.6199,115.49,78.55,194.03
12,0.8910,0.5839,0.5834,115.33,78.55,193.88
13,0.8969,0.5998,0.5544,115.25,78.55,193.80
14,0.9080,0.6185,0.5253,115.17,78.55,193.72
15,0.9163,0.6382,0.5045,115.09,78.55,193.64
16,0.9120,0.6332,0.4963,115.01,78.55,193.56
17,0.9260,0.6562,0.4719,114.93,78.55,193.48
18,0.9290,0.6631,0.4522,114.86,78.55,193.40
19,0.9348,0.6762,0.4389,114.78,78.55,193.32
20,0.9369,0.6847,0.4278,114.73,78.55,193.28
21,0.9380,0.6871,0.4176,114.73,78.55,193.28
22,0.9376,0.6909,0.4144,114.73,78.55,193.28
23,0.9431,0.6985,0.3965,114.73,78.55,193.28
24,0.9461,0.7071,0.3855,114.73,78.55,193.28
25,0.9485,0.7102,0.3798,114.73,78.55,193.27
26,0.9409,0.7066,0.3863,114.73,78.55,193.27
27,0.9335,0.7155,0.3890,114.73,78.55,193.27
28,0.9515,0.7226,0.3638,114.73,78.55,193.27
29,0.9540,0.7298,0.3553,114.72,78.55,193.27
30,0.9534,0.7300,0.3473,114.72,78.55,193.27
31,0.9552,0.7365,0.3463,114.72,78.55,193.27
32,0.9585,0.7426,0.3378,114.72,78.55,193.27
33,0.9543,0.7384,0.3412,114.72,78.55,193.27
34,0.9542,0.7359,0.3343,114.72,78.55,193.27
35,0.9544,0.7426,0.3321,114.72,78.55,193.27
36,0.9583,0.7521,0.3282,114.72,78.55,193.27
37,0.9607,0.7555,0.3174,114.72,78.55,193.27
38,0.9609,0.7532,0.3195,114.72,78.55,193.27
39,0.9581,0.7576,0.3247,114.72,78.55,193.27
40,0.9616,0.7580,0.3108,114.72,78.55,193.27
41,0.9497,0.7481,0.3314,114.72,78.55,193.27
42,0.9628,0.7668,0.3025,114.72,78.55,193.27
43,0.9639,0.7658,0.2979,114.72,78.55,193.27
44,0.9615,0.7697,0.3017,114.72,78.55,193.27
45,0.9648,0.7723,0.2952,114.72,78.55,193.27
46,0.9649,0.7717,0.2929,114.72,78.55,193.27
47,0.9654,0.7719,0.2920,114.72,78.55,193.27
48,0.9626,0.7728,0.2935,114.72,78.55,193.27
49,0.9637,0.7737,0.2905,114.72,78.55,193.27
50,0.9534,0.7624,0.3110,114.72,78.55,193.27
51,0.9676,0.7812,0.2824,114.72,78.55,193.27
52,0.9581,0.7663,0.2976,114.72,78.55,193.27
53,0.9693,0.7875,0.2810,114.72,78.55,193.27
54,0.9666,0.7831,0.2791,114.72,78.55,193.27
55,0.9668,0.7837,0.2799,114.72,78.55,193.27
56,0.9658,0.7813,0.2778,114.72,78.55,193.27
57,0.9625,0.7816,0.2769,114.72,78.55,193.27
58,0.9655,0.7786,0.2732,114.72,78.55,193.27
59,0.9587,0.7769,0.2871,114.72,78.55,193.27
60,0.9578,0.7711,0.2811,114.72,78.55,193.27
61,0.9646,0.7793,0.2740,114.72,78.55,193.27
62,0.9559,0.7854,0.2883,114.72,78.55,193.27
63,0.9698,0.7909,0.2661,114.72,78.55,193.27
64,0.9665,0.7826,0.2678,114.72,78.55,193.27
65,0.9649,0.7846,0.2703,114.72,78.55,193.27
66,0.9603,0.7871,0.2721,114.72,78.55,193.27
67,0.9652,0.7821,0.2661,114.72,78.55,193.27
68,0.9634,0.7852,0.2640,114.72,78.55,193.27
69,0.9597,0.7901,0.2834,114.72,78.55,193.27
70,0.9697,0.7978,0.2567,114.72,78.55,193.27
71,0.9688,0.7925,0.2586,114.72,78.55,193.27
72,0.9679,0.7932,0.2673,114.73,78.55,193.27
73,0.9675,0.7925,0.2583,114.73,78.55,193.27
74,0.9492,0.7784,0.2893,114.73,78.55,193.27
75,0.9700,0.7980,0.2524,114.73,78.55,193.27
76,0.9646,0.7800,0.2609,114.73,78.55,193.27
77,0.9640,0.7893,0.2706,114.73,78.55,193.27
78,0.9534,0.7798,0.2690,114.73,78.55,193.27
79,0.9704,0.7992,0.2517,114.73,78.55,193.27
80,0.9680,0.7982,0.2606,114.73,78.55,193.27
81,0.9661,0.7939,0.2546,114.73,78.55,193.27
82,0.9647,0.7898,0.2599,114.73,78.55,193.27
83,0.9672,0.7972,0.2595,114.73,78.55,193.27
84,0.9589,0.7911,0.2586,114.73,78.55,193.27
85,0.9708,0.8016,0.2482,114.73,78.55,193.27
86,0.9692,0.7965,0.2462,114.73,78.55,193.27
87,0.9641,0.7824,0.2467,114.73,78.55,193.27
88,0.9695,0.7988,0.2437,114.73,78.55,193.27
89,0.9580,0.7807,0.2553,114.73,78.55,193.27
90,0.9679,0.7972,0.2482,114.73,78.55,193.27
91,0.9734,0.8040,0.2345,114.73,78.55,193.27
92,0.9674,0.7898,0.2482,114.73,78.55,193.27
93,0.9725,0.8011,0.2343,114.73,78.55,193.27
94,0.9550,0.7793,0.2646,114.73,78.55,193.27
95,0.9582,0.7874,0.2501,114.73,78.55,193.27
96,0.9670,0.8014,0.2470,114.73,78.55,193.27
97,0.9441,0.7828,0.2976,114.73,78.55,193.27
98,0.9482,0.7856,0.2833,114.73,78.55,193.27
99,0.9706,0.8009,0.2396,114.73,78.55,193.27
100,0.9653,0.7905,0.2389,114.73,78.55,193.27
101,0.9611,0.7826,0.2567,114.73,78.55,193.28
