round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1124,0.1124,2.3028,0.00,0.00,0.00
2,0.9079,0.1530,0.8650,120.11,78.55,198.65
3,0.9560,0.1737,0.4703,118.57,78.55,197.11
4,0.9700,0.1806,0.3764,117.71,78.55,196.25
5,0.9733,0.1842,0.3436,117.13,78.55,195.67
6,0.9798,0.1867,0.3170,116.70,78.55,195.25
7,0.9836,0.1891,0.3011,116.35,78.55,194.90
8,0.9882,0.1919,0.2882,116.08,78.55,194.62
9,0.9881,0.1930,0.2855,115.84,78.55,194.39
10,0.9898,0.1947,0.2794,115.65,78.55,194.19
11,0.9907,0.1956,0.2759,115.49,78.55,194.04
12,0.9913,0.1960,0.2727,115.33,78.55,193.88
13,0.9922,0.1967,0.2683,115.21,78.55,193.76
14,0.9919,0.1966,0.2678,115.14,78.55,193.68
15,0.9917,0.1972,0.2658,115.06,78.55,193.60
16,0.9923,0.1972,0.2605,114.98,78.55,193.53
17,0.9915,0.1971,0.2620,114.90,78.55,193.45
18,0.9920,0.1973,0.2561,114.82,78.55,193.37
19,0.9902,0.1973,0.2595,114.75,78.55,193.29
20,0.9921,0.1975,0.2534,114.75,78.55,193.29
21,0.9925,0.1974,0.2505,114.75,78.55,193.29
22,0.9929,0.1975,0.2496,114.75,78.55,193.29
23,0.9892,0.1976,0.2541,114.75,78.55,193.29
24,0.9927,0.1977,0.2461,114.75,78.55,193.29
25,0.9926,0.1976,0.2475,114.75,78.55,193.29
26,0.9915,0.1971,0.2481,114.75,78.55,193.29
27,0.9902,0.1975,0.2486,114.75,78.55,193.29
28,0.9919,0.1977,0.2457,114.75,78.55,193.29
29,0.9911,0.1978,0.2458,114.75,78.55,193.29
30,0.9923,0.1977,0.2434,114.75,78.55,193.29
31,0.9930,0.1978,0.2427,114.75,78.55,193.29
32,0.9925,0.1975,0.2444,114.75,78.55,193.29
33,0.9922,0.1976,0.2437,114.75,78.55,193.29
34,0.9913,0.1978,0.2428,114.75,78.55,193.29
35,0.9931,0.1979,0.2393,114.75,78.55,193.29
36,0.9915,0.1979,0.2438,114.75,78.55,193.29
37,0.9934,0.1979,0.2398,114.75,78.55,193.29
38,0.9916,0.1977,0.2457,114.75,78.55,193.29
39,0.9925,0.1980,0.2396,114.75,78.55,193.29
40,0.9930,0.1981,0.2401,114.75,78.55,193.29
