round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1139,0.1139,2.3025,0.00,196.36,196.36
2,0.1554,0.1203,2.3135,196.36,196.36,392.73
3,0.2331,0.3076,2.2405,196.36,196.36,392.73
4,0.3422,0.4514,2.1412,196.36,196.36,392.73
5,0.4133,0.5275,2.0481,196.36,196.36,392.73
6,0.4890,0.5972,1.9600,196.36,196.36,392.73
7,0.4216,0.5090,1.8976,196.36,196.36,392.73
8,0.5461,0.6320,1.7903,196.36,196.36,392.73
9,0.5825,0.6665,1.7081,196.36,196.36,392.73
10,0.5867,0.6586,1.6385,196.36,196.36,392.73
11,0.5959,0.6737,1.5765,196.36,196.36,392.73
12,0.6389,0.7104,1.4995,196.36,196.36,392.73
13,0.6616,0.7334,1.4293,196.36,196.36,392.73
14,0.6705,0.7424,1.3693,196.36,196.36,392.73
15,0.5959,0.6663,1.4146,196.36,196.36,392.73
16,0.7186,0.7838,1.2405,196.36,196.36,392.73
17,0.7061,0.7689,1.2201,196.36,196.36,392.73
18,0.7073,0.7711,1.1647,196.36,196.36,392.73
19,0.7351,0.7980,1.0892,196.36,196.36,392.73
20,0.7548,0.8183,1.0512,196.36,196.36,392.73
21,0.7593,0.8235,1.0185,196.36,196.36,392.73
22,0.7642,0.8260,0.9912,196.36,196.36,392.73
23,0.7579,0.8253,1.0056,196.36,196.36,392.73
24,0.7775,0.8423,0.9353,196.36,196.36,392.73
25,0.7748,0.8383,0.8916,196.36,196.36,392.73
26,0.7408,0.8072,0.9259,196.36,196.36,392.73
27,0.7536,0.8208,0.8938,196.36,196.36,392.73
28,0.7568,0.8248,0.8888,196.36,196.36,392.73
29,0.7299,0.8051,0.9390,196.36,196.36,392.73
30,0.7895,0.8542,0.8149,196.36,196.36,392.73
31,0.7709,0.8405,0.8403,196.36,196.36,392.73
32,0.7184,0.8028,0.9342,196.36,196.36,392.73
33,0.8009,0.8685,0.7451,196.36,196.36,392.73
34,0.7586,0.8392,0.8281,196.36,196.36,392.73
35,0.8120,0.8777,0.7214,196.36,196.36,392.73
36,0.8064,0.8763,0.7194,196.36,196.36,392.73
37,0.7571,0.8325,0.8298,196.36,196.36,392.73
38,0.7198,0.8175,0.9197,196.36,196.36,392.73
39,0.7683,0.8543,0.8066,196.36,196.36,392.73
40,0.7843,0.8635,0.7518,196.36,196.36,392.73
41,0.8219,0.8894,0.6465,196.36,196.36,392.73
42,0.8047,0.8774,0.6878,196.36,196.36,392.73
43,0.8054,0.8736,0.6793,196.36,196.36,392.73
44,0.7895,0.8700,0.7122,196.36,196.36,392.73
45,0.7683,0.8507,0.7589,196.36,196.36,392.73
46,0.7953,0.8752,0.6997,196.36,196.36,392.73
47,0.8054,0.8795,0.6657,196.36,196.36,392.73
48,0.8024,0.8760,0.6632,196.36,196.36,392.73
49,0.7920,0.8714,0.6926,196.36,196.36,392.73
50,0.7802,0.8645,0.7144,196.36,196.36,392.73
51,0.7845,0.8684,0.7237,196.36,196.36,392.73
52,0.8279,0.8977,0.6006,196.36,196.36,392.73
53,0.8265,0.8916,0.6011,196.36,196.36,392.73
54,0.8171,0.8843,0.6287,196.36,196.36,392.73
55,0.7961,0.8779,0.6687,196.36,196.36,392.73
56,0.7521,0.8487,0.7872,196.36,196.36,392.73
57,0.7427,0.8427,0.8065,196.36,196.36,392.73
58,0.8235,0.8982,0.6103,196.36,196.36,392.73
59,0.7774,0.8635,0.7274,196.36,196.36,392.73
60,0.8468,0.9144,0.5376,196.36,196.36,392.73
61,0.8124,0.8887,0.6223,196.36,196.36,392.73
62,0.8195,0.8956,0.6168,196.36,196.36,392.73
63,0.7921,0.8740,0.6973,196.36,196.36,392.73
64,0.7333,0.8197,0.8705,196.36,196.36,392.73
65,0.7942,0.8716,0.6943,196.36,196.36,392.73
66,0.8176,0.8890,0.6387,196.36,196.36,392.73
67,0.8381,0.9034,0.5771,196.36,196.36,392.73
68,0.8295,0.8981,0.6048,196.36,196.36,392.73
69,0.7948,0.8734,0.7101,196.36,196.36,392.73
70,0.7948,0.8756,0.7186,196.36,196.36,392.73
71,0.8379,0.9103,0.5666,196.36,196.36,392.73
72,0.8160,0.8965,0.6136,196.36,196.36,392.73
73,0.8601,0.9226,0.4864,196.36,196.36,392.73
74,0.8338,0.9074,0.5514,196.36,196.36,392.73
75,0.8461,0.9144,0.5101,196.36,196.36,392.73
76,0.8331,0.9065,0.5504,196.36,196.36,392.73
77,0.8441,0.9149,0.5352,196.36,196.36,392.73
78,0.8554,0.9197,0.4956,196.36,196.36,392.73
79,0.8587,0.9189,0.5011,196.36,196.36,392.73
80,0.8359,0.9023,0.5749,196.36,196.36,392.73
81,0.8380,0.9047,0.5742,196.36,196.36,392.73
82,0.8548,0.9167,0.5166,196.36,196.36,392.73
83,0.8075,0.8839,0.6601,196.36,196.36,392.73
84,0.8419,0.9118,0.5484,196.36,196.36,392.73
85,0.8203,0.8993,0.6231,196.36,196.36,392.73
86,0.8579,0.9210,0.4973,196.36,196.36,392.73
87,0.8247,0.8996,0.5794,196.36,196.36,392.73
88,0.7799,0.8727,0.6948,196.36,196.36,392.73
89,0.7827,0.8761,0.7074,196.36,196.36,392.73
90,0.7736,0.8690,0.7543,196.36,196.36,392.73
91,0.7799,0.8770,0.7050,196.36,196.36,392.73
92,0.8258,0.9062,0.6069,196.36,196.36,392.73
93,0.8422,0.9137,0.5565,196.36,196.36,392.73
94,0.8539,0.9158,0.5204,196.36,196.36,392.73
95,0.8642,0.9241,0.4804,196.36,196.36,392.73
96,0.8525,0.9178,0.5257,196.36,196.36,392.73
97,0.8197,0.8976,0.6258,196.36,196.36,392.73
98,0.8455,0.9177,0.5390,196.36,196.36,392.73
99,0.8295,0.9048,0.5887,196.36,196.36,392.73
100,0.8392,0.9108,0.5678,196.36,196.36,392.73
101,0.8602,0.9253,0.4956,196.36,196.36,392.73
