round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1106,0.1106,2.3024,0.00,196.36,196.36
2,0.2094,0.1069,2.3842,196.36,196.36,392.73
3,0.2322,0.1303,2.3838,196.36,196.36,392.73
4,0.2457,0.2492,2.3504,196.36,196.36,392.73
5,0.2480,0.3129,2.3031,196.36,196.36,392.73
6,0.2332,0.3406,2.2605,196.36,196.36,392.73
7,0.2382,0.3262,2.2139,196.36,196.36,392.73
8,0.3028,0.3570,2.1699,196.36,196.36,392.73
9,0.3080,0.3637,2.1266,196.36,196.36,392.73
10,0.3575,0.4357,2.0462,196.36,196.36,392.73
11,0.3738,0.4618,1.9860,196.36,196.36,392.73
12,0.3966,0.4472,1.9648,196.36,196.36,392.73
13,0.4255,0.5088,1.8905,196.36,196.36,392.73
14,0.3977,0.5298,1.8520,196.36,196.36,392.73
15,0.4201,0.5561,1.8183,196.36,196.36,392.73
16,0.4090,0.4482,1.7860,196.36,196.36,392.73
17,0.3350,0.3816,1.8892,196.36,196.36,392.73
18,0.3286,0.3799,1.8794,196.36,196.36,392.73
19,0.4059,0.4395,1.7403,196.36,196.36,392.73
20,0.3291,0.3700,1.8582,196.36,196.36,392.73
21,0.4014,0.4339,1.7137,196.36,196.36,392.73
22,0.3746,0.3934,1.8090,196.36,196.36,392.73
23,0.3879,0.3994,1.8260,196.36,196.36,392.73
24,0.5267,0.5561,1.4927,196.36,196.36,392.73
25,0.5065,0.4990,1.5773,196.36,196.36,392.73
26,0.5916,0.5760,1.4390,196.36,196.36,392.73
27,0.5565,0.5474,1.4468,196.36,196.36,392.73
28,0.5999,0.5946,1.3740,196.36,196.36,392.73
29,0.5807,0.5430,1.4293,196.36,196.36,392.73
30,0.5886,0.5350,1.3786,196.36,196.36,392.73
31,0.5594,0.5714,1.4601,196.36,196.36,392.73
32,0.5816,0.5683,1.3738,196.36,196.36,392.73
33,0.6104,0.5306,1.3779,196.36,196.36,392.73
34,0.6147,0.5723,1.3199,196.36,196.36,392.73
35,0.5706,0.5511,1.4651,196.36,196.36,392.73
36,0.6286,0.6071,1.2642,196.36,196.36,392.73
37,0.4464,0.5195,1.5691,196.36,196.36,392.73
38,0.5674,0.6095,1.3571,196.36,196.36,392.73
39,0.5607,0.6031,1.3711,196.36,196.36,392.73
40,0.6429,0.6122,1.2292,196.36,196.36,392.73
41,0.5818,0.5878,1.3413,196.36,196.36,392.73
42,0.6154,0.6095,1.2501,196.36,196.36,392.73
43,0.5310,0.5086,1.6098,196.36,196.36,392.73
44,0.5404,0.5067,1.6059,196.36,196.36,392.73
45,0.5479,0.5191,1.5563,196.36,196.36,392.73
46,0.6580,0.6027,1.1989,196.36,196.36,392.73
47,0.6710,0.6404,1.1126,196.36,196.36,392.73
48,0.6574,0.6435,1.1278,196.36,196.36,392.73
49,0.6424,0.6329,1.2038,196.36,196.36,392.73
50,0.6536,0.6488,1.1285,196.36,196.36,392.73
51,0.5949,0.5860,1.3172,196.36,196.36,392.73
52,0.5030,0.5115,1.5962,196.36,196.36,392.73
53,0.6424,0.6144,1.2252,196.36,196.36,392.73
54,0.6412,0.5844,1.2191,196.36,196.36,392.73
55,0.5475,0.5129,1.7832,196.36,196.36,392.73
56,0.5031,0.4263,2.0072,196.36,196.36,392.73
57,0.5428,0.4477,1.7502,196.36,196.36,392.73
58,0.5759,0.5238,1.6074,196.36,196.36,392.73
59,0.5388,0.5182,1.6257,196.36,196.36,392.73
60,0.5653,0.5538,1.4997,196.36,196.36,392.73
61,0.6803,0.6657,1.0606,196.36,196.36,392.73
62,0.6502,0.6394,1.1468,196.36,196.36,392.73
63,0.6919,0.6839,1.0044,196.36,196.36,392.73
64,0.6955,0.6871,1.0053,196.36,196.36,392.73
65,0.6925,0.6860,0.9866,196.36,196.36,392.73
66,0.6840,0.6744,1.0308,196.36,196.36,392.73
67,0.6891,0.6571,0.9867,196.36,196.36,392.73
68,0.6786,0.6586,1.1063,196.36,196.36,392.73
69,0.6171,0.5967,1.2520,196.36,196.36,392.73
70,0.6308,0.5441,1.3786,196.36,196.36,392.73
71,0.5166,0.4484,1.8532,196.36,196.36,392.73
72,0.6429,0.6211,1.2045,196.36,196.36,392.73
73,0.6520,0.6364,1.1436,196.36,196.36,392.73
74,0.7006,0.6184,1.0867,196.36,196.36,392.73
75,0.6476,0.5661,1.2595,196.36,196.36,392.73
76,0.5172,0.4330,1.9348,196.36,196.36,392.73
77,0.6084,0.5446,1.5213,196.36,196.36,392.73
78,0.6166,0.5647,1.4016,196.36,196.36,392.73
79,0.5795,0.5520,1.3954,196.36,196.36,392.73
80,0.6052,0.5761,1.3486,196.36,196.36,392.73
81,0.5992,0.5039,1.6236,196.36,196.36,392.73
82,0.6744,0.5847,1.1935,196.36,196.36,392.73
83,0.6683,0.6174,1.1361,196.36,196.36,392.73
84,0.5630,0.4693,1.7246,196.36,196.36,392.73
85,0.5320,0.4687,1.8285,196.36,196.36,392.73
86,0.5843,0.5439,1.6010,196.36,196.36,392.73
87,0.6839,0.6340,1.2877,196.36,196.36,392.73
88,0.7262,0.6772,1.0139,196.36,196.36,392.73
89,0.6714,0.6296,1.2564,196.36,196.36,392.73
90,0.6362,0.6102,1.3342,196.36,196.36,392.73
91,0.6701,0.6278,1.3823,196.36,196.36,392.73
92,0.5811,0.5571,1.6526,196.36,196.36,392.73
93,0.5789,0.5538,1.6641,196.36,196.36,392.73
94,0.5912,0.5965,1.3616,196.36,196.36,392.73
95,0.6167,0.5462,1.7027,196.36,196.36,392.73
96,0.7256,0.6403,1.0335,196.36,196.36,392.73
97,0.6528,0.6178,1.2201,196.36,196.36,392.73
98,0.5379,0.4742,1.8960,196.36,196.36,392.73
99,0.6475,0.5484,1.3348,196.36,196.36,392.73
100,0.6615,0.5647,1.3023,196.36,196.36,392.73
101,0.6102,0.5710,1.4655,196.36,196.36,392.73
