round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1121,0.1121,2.3023,0.00,78.55,78.55
2,0.1761,0.2399,2.3968,78.55,78.55,157.09
3,0.2499,0.3747,2.2209,78.55,78.55,157.09
4,0.3098,0.4433,2.0714,78.55,78.55,157.09
5,0.3574,0.4899,1.9434,78.55,78.55,157.09
6,0.4120,0.5640,1.8267,78.55,78.55,157.09
7,0.4629,0.6173,1.7230,78.55,78.55,157.09
8,0.4890,0.6544,1.6335,78.55,78.55,157.09
9,0.5296,0.6998,1.5465,78.55,78.55,157.09
10,0.5517,0.7263,1.4793,78.55,78.55,157.09
11,0.5674,0.7446,1.4229,78.55,78.55,157.09
12,0.5831,0.7640,1.3654,78.55,78.55,157.09
13,0.5962,0.7796,1.3237,78.55,78.55,157.09
14,0.6031,0.7907,1.2902,78.55,78.55,157.09
15,0.6094,0.7985,1.2853,78.55,78.55,157.09
16,0.6171,0.8067,1.2613,78.55,78.55,157.09
17,0.6182,0.8087,1.2361,78.55,78.55,157.09
18,0.6237,0.8149,1.2319,78.55,78.55,157.09
19,0.6219,0.8184,1.2476,78.55,78.55,157.09
20,0.6201,0.8171,1.2530,78.55,78.55,157.09
21,0.6226,0.8208,1.2356,78.55,78.55,157.09
22,0.6288,0.8257,1.2363,78.55,78.55,157.09
23,0.6261,0.8244,1.2401,78.55,78.55,157.09
24,0.6167,0.8215,1.2551,78.55,78.55,157.09
25,0.6223,0.8264,1.2241,78.55,78.55,157.09
26,0.6191,0.8255,1.2665,78.55,78.55,157.09
27,0.6189,0.8276,1.2531,78.55,78.55,157.09
28,0.6237,0.8315,1.2509,78.55,78.55,157.09
29,0.6152,0.8283,1.2797,78.55,78.55,157.09
30,0.6095,0.8257,1.2871,78.55,78.55,157.09
31,0.6099,0.8272,1.2982,78.55,78.55,157.09
32,0.6083,0.8274,1.2960,78.55,78.55,157.09
33,0.6139,0.8298,1.2759,78.55,78.55,157.09
34,0.6101,0.8299,1.3046,78.55,78.55,157.09
35,0.6065,0.8301,1.3203,78.55,78.55,157.09
36,0.6119,0.8334,1.2893,78.55,78.55,157.09
37,0.6121,0.8339,1.3053,78.55,78.55,157.09
38,0.6066,0.8321,1.3143,78.55,78.55,157.09
39,0.6110,0.8358,1.3137,78.55,78.55,157.09
40,0.6080,0.8353,1.3122,78.55,78.55,157.09
41,0.6084,0.8344,1.3177,78.55,78.55,157.09
42,0.6095,0.8374,1.3195,78.55,78.55,157.09
43,0.6058,0.8344,1.3433,78.55,78.55,157.09
44,0.6075,0.8371,1.3730,78.55,78.55,157.09
45,0.6011,0.8314,1.3730,78.55,78.55,157.09
46,0.6032,0.8354,1.3496,78.55,78.55,157.09
47,0.6148,0.8412,1.3245,78.55,78.55,157.09
48,0.6044,0.8358,1.3396,78.55,78.55,157.09
49,0.6089,0.8396,1.3490,78.55,78.55,157.09
50,0.6105,0.8406,1.3607,78.55,78.55,157.09
51,0.6021,0.8354,1.3767,78.55,78.55,157.09
52,0.6066,0.8388,1.3598,78.55,78.55,157.09
53,0.6042,0.8370,1.3723,78.55,78.55,157.09
54,0.6039,0.8400,1.3574,78.55,78.55,157.09
