round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1124,0.1124,2.3024,0.00,78.55,78.55
2,0.1319,0.1284,2.4451,78.55,78.55,157.09
3,0.1591,0.3007,2.3607,78.55,78.55,157.09
4,0.1909,0.4012,2.2604,78.55,78.55,157.09
5,0.2497,0.4518,2.1647,78.55,78.55,157.09
6,0.3106,0.4803,2.0734,78.55,78.55,157.09
7,0.3597,0.4945,1.9911,78.55,78.55,157.09
8,0.3891,0.5165,1.9181,78.55,78.55,157.09
9,0.4193,0.5250,1.8482,78.55,78.55,157.09
10,0.4406,0.5488,1.7899,78.55,78.55,157.09
11,0.4682,0.5576,1.7288,78.55,78.55,157.09
12,0.4891,0.5724,1.6755,78.55,78.55,157.09
13,0.5041,0.5817,1.6386,78.55,78.55,157.09
14,0.5144,0.5905,1.5955,78.55,78.55,157.09
15,0.5294,0.5922,1.5551,78.55,78.55,157.09
16,0.5393,0.6081,1.5349,78.55,78.55,157.09
17,0.5620,0.6146,1.5032,78.55,78.55,157.09
18,0.5603,0.6225,1.4660,78.55,78.55,157.09
19,0.5734,0.6292,1.4208,78.55,78.55,157.09
20,0.5809,0.6307,1.4094,78.55,78.55,157.09
21,0.5884,0.6414,1.3803,78.55,78.55,157.09
22,0.5905,0.6449,1.3642,78.55,78.55,157.09
23,0.6014,0.6468,1.3401,78.55,78.55,157.09
24,0.6118,0.6578,1.3152,78.55,78.55,157.09
25,0.6184,0.6581,1.2859,78.55,78.55,157.09
26,0.6230,0.6633,1.2821,78.55,78.55,157.09
27,0.6274,0.6700,1.2584,78.55,78.55,157.09
28,0.6281,0.6703,1.2574,78.55,78.55,157.09
29,0.6340,0.6712,1.2470,78.55,78.55,157.09
30,0.6396,0.6734,1.2044,78.55,78.55,157.09
31,0.6401,0.6774,1.2074,78.55,78.55,157.09
32,0.6521,0.6825,1.1926,78.55,78.55,157.09
33,0.6517,0.6807,1.2072,78.55,78.55,157.09
34,0.6580,0.6903,1.1624,78.55,78.55,157.09
35,0.6555,0.6968,1.1609,78.55,78.55,157.09
36,0.6622,0.6938,1.1358,78.55,78.55,157.09
37,0.6642,0.6889,1.1870,78.55,78.55,157.09
38,0.6727,0.6984,1.1261,78.55,78.55,157.09
39,0.6809,0.7086,1.0938,78.55,78.55,157.09
40,0.6816,0.7099,1.0822,78.55,78.55,157.09
41,0.6788,0.7048,1.0891,78.55,78.55,157.09
42,0.6777,0.7077,1.0823,78.55,78.55,157.09
43,0.6847,0.7135,1.0836,78.55,78.55,157.09
44,0.6834,0.7133,1.0653,78.55,78.55,157.09
45,0.6753,0.7050,1.0722,78.55,78.55,157.09
46,0.6890,0.7155,1.0435,78.55,78.55,157.09
47,0.6965,0.7157,1.0677,78.55,78.55,157.09
48,0.6892,0.7187,1.0361,78.55,78.55,157.09
49,0.6892,0.7164,1.0481,78.55,78.55,157.09
50,0.6941,0.7200,1.0275,78.55,78.55,157.09
51,0.6973,0.7253,1.0174,78.55,78.55,157.09
52,0.6961,0.7236,0.9979,78.55,78.55,157.09
53,0.7101,0.7305,0.9903,78.55,78.55,157.09
54,0.7029,0.7262,0.9950,78.55,78.55,157.09
55,0.7036,0.7278,1.0052,78.55,78.55,157.09
56,0.6979,0.7191,1.0013,78.55,78.55,157.09
57,0.7131,0.7320,0.9803,78.55,78.55,157.09
58,0.7146,0.7288,0.9757,78.55,78.55,157.09
59,0.7097,0.7316,0.9714,78.55,78.55,157.09
60,0.7096,0.7321,0.9807,78.55,78.55,157.09
61,0.7146,0.7318,0.9809,78.55,78.55,157.09
62,0.7094,0.7312,0.9624,78.55,78.55,157.09
63,0.7149,0.7331,0.9687,78.55,78.55,157.09
64,0.7181,0.7427,0.9379,78.55,78.55,157.09
65,0.7154,0.7364,0.9551,78.55,78.55,157.09
66,0.7153,0.7340,0.9627,78.55,78.55,157.09
67,0.7129,0.7335,0.9688,78.55,78.55,157.09
68,0.7175,0.7306,0.9567,78.55,78.55,157.09
69,0.7220,0.7391,0.9395,78.55,78.55,157.09
70,0.7252,0.7397,0.9316,78.55,78.55,157.09
71,0.7152,0.7317,0.9543,78.55,78.55,157.09
72,0.7274,0.7428,0.9367,78.55,78.55,157.09
73,0.7245,0.7407,0.9253,78.55,78.55,157.09
74,0.7297,0.7451,0.8976,78.55,78.55,157.09
75,0.7263,0.7406,0.9161,78.55,78.55,157.09
76,0.7139,0.7202,0.9990,78.55,78.55,157.09
77,0.7311,0.7431,0.9000,78.55,78.55,157.09
78,0.7319,0.7431,0.8925,78.55,78.55,157.09
79,0.7306,0.7420,0.9052,78.55,78.55,157.09
80,0.7350,0.7398,0.8800,78.55,78.55,157.09
81,0.7314,0.7442,0.9050,78.55,78.55,157.09
82,0.7283,0.7405,0.9427,78.55,78.55,157.09
83,0.7125,0.7302,0.9220,78.55,78.55,157.09
84,0.7380,0.7506,0.8744,78.55,78.55,157.09
85,0.7319,0.7489,0.8810,78.55,78.55,157.09
86,0.7323,0.7468,0.8844,78.55,78.55,157.09
87,0.7200,0.7268,0.9120,78.55,78.55,157.09
88,0.7359,0.7461,0.8837,78.55,78.55,157.09
89,0.7402,0.7520,0.8582,78.55,78.55,157.09
90,0.7383,0.7501,0.8701,78.55,78.55,157.09
91,0.7359,0.7397,0.8753,78.55,78.55,157.09
92,0.7419,0.7470,0.8541,78.55,78.55,157.09
93,0.7369,0.7426,0.8909,78.55,78.55,157.09
94,0.7444,0.7545,0.8510,78.55,78.55,157.09
95,0.7376,0.7444,0.8829,78.55,78.55,157.09
96,0.7392,0.7432,0.8964,78.55,78.55,157.09
97,0.7383,0.7467,0.8925,78.55,78.55,157.09
98,0.7427,0.7470,0.8631,78.55,78.55,157.09
99,0.7391,0.7470,0.8654,78.55,78.55,157.09
100,0.7359,0.7421,0.9342,78.55,78.55,157.09
101,0.7456,0.7493,0.8712,78.55,78.55,157.09
