round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1121,0.1121,2.3023,0.00,0.00,0.00
2,0.6421,0.1856,1.2655,0.00,0.00,0.00
3,0.7296,0.2370,0.8986,0.00,0.00,0.00
4,0.7882,0.2894,0.7147,0.00,0.00,0.00
5,0.8364,0.3344,0.5926,0.00,0.00,0.00
6,0.8647,0.3655,0.5105,0.00,0.00,0.00
7,0.8846,0.3906,0.4355,0.00,0.00,0.00
8,0.8978,0.4124,0.3802,0.00,0.00,0.00
9,0.9075,0.4299,0.3490,0.00,0.00,0.00
10,0.9179,0.4484,0.3037,0.00,0.00,0.00
11,0.9269,0.4617,0.2729,0.00,0.00,0.00
12,0.9307,0.4743,0.2561,0.00,0.00,0.00
13,0.9364,0.4891,0.2370,0.00,0.00,0.00
14,0.9384,0.4923,0.2171,0.00,0.00,0.00
15,0.9477,0.5097,0.1916,0.00,0.00,0.00
16,0.9489,0.5178,0.1791,0.00,0.00,0.00
17,0.9509,0.5206,0.1655,0.00,0.00,0.00
18,0.9536,0.5273,0.1570,0.00,0.00,0.00
19,0.9548,0.5340,0.1449,0.00,0.00,0.00
20,0.9522,0.5321,0.1429,0.00,0.00,0.00
21,0.9578,0.5415,0.1305,0.00,0.00,0.00
22,0.9600,0.5506,0.1230,0.00,0.00,0.00
23,0.9607,0.5547,0.1190,0.00,0.00,0.00
24,0.9620,0.5608,0.1126,0.00,0.00,0.00
25,0.9606,0.5597,0.1074,0.00,0.00,0.00
26,0.9648,0.5657,0.0993,0.00,0.00,0.00
27,0.9654,0.5746,0.0929,0.00,0.00,0.00
28,0.9667,0.5778,0.0872,0.00,0.00,0.00
29,0.9690,0.5849,0.0814,0.00,0.00,0.00
30,0.9668,0.5830,0.0809,0.00,0.00,0.00
31,0.9697,0.5942,0.0740,0.00,0.00,0.00
32,0.9693,0.5972,0.0743,0.00,0.00,0.00
33,0.9702,0.6023,0.0723,0.00,0.00,0.00
34,0.9720,0.6064,0.0632,0.00,0.00,0.00
35,0.9718,0.6073,0.0636,0.00,0.00,0.00
36,0.9732,0.6103,0.0581,0.00,0.00,0.00
37,0.9682,0.6068,0.0642,0.00,0.00,0.00
38,0.9725,0.6128,0.0572,0.00,0.00,0.00
39,0.9719,0.6131,0.0544,0.00,0.00,0.00
40,0.9714,0.6146,0.0552,0.00,0.00,0.00
41,0.9697,0.6207,0.0625,0.00,0.00,0.00
42,0.9745,0.6239,0.0463,0.00,0.00,0.00
43,0.9701,0.6218,0.0598,0.00,0.00,0.00
44,0.9758,0.6308,0.0416,0.00,0.00,0.00
45,0.9724,0.6234,0.0484,0.00,0.00,0.00
46,0.9749,0.6380,0.0425,0.00,0.00,0.00
47,0.9609,0.6252,0.0917,0.00,0.00,0.00
48,0.9726,0.6368,0.0450,0.00,0.00,0.00
49,0.9738,0.6373,0.0426,0.00,0.00,0.00
50,0.9736,0.6365,0.0403,0.00,0.00,0.00
51,0.9709,0.6280,0.0471,0.00,0.00,0.00
52,0.9744,0.6387,0.0400,0.00,0.00,0.00
53,0.9748,0.6401,0.0385,0.00,0.00,0.00
54,0.9769,0.6501,0.0323,0.00,0.00,0.00
55,0.9765,0.6499,0.0317,0.00,0.00,0.00
56,0.9766,0.6439,0.0318,0.00,0.00,0.00
57,0.9785,0.6524,0.0265,0.00,0.00,0.00
58,0.9740,0.6461,0.0433,0.00,0.00,0.00
59,0.9750,0.6483,0.0335,0.00,0.00,0.00
60,0.9753,0.6512,0.0318,0.00,0.00,0.00
61,0.9785,0.6577,0.0238,0.00,0.00,0.00
62,0.9764,0.6506,0.0285,0.00,0.00,0.00
63,0.9781,0.6585,0.0247,0.00,0.00,0.00
64,0.9782,0.6576,0.0261,0.00,0.00,0.00
65,0.9787,0.6601,0.0226,0.00,0.00,0.00
66,0.9751,0.6589,0.0312,0.00,0.00,0.00
67,0.9772,0.6574,0.0268,0.00,0.00,0.00
68,0.9776,0.6689,0.0241,0.00,0.00,0.00
69,0.9805,0.6707,0.0183,0.00,0.00,0.00
70,0.9801,0.6693,0.0182,0.00,0.00,0.00
71,0.9776,0.6668,0.0219,0.00,0.00,0.00
72,0.9787,0.6661,0.0193,0.00,0.00,0.00
73,0.9801,0.6738,0.0167,0.00,0.00,0.00
74,0.9802,0.6729,0.0169,0.00,0.00,0.00
75,0.9802,0.6743,0.0159,0.00,0.00,0.00
76,0.9800,0.6737,0.0177,0.00,0.00,0.00
77,0.9784,0.6706,0.0184,0.00,0.00,0.00
78,0.9791,0.6758,0.0163,0.00,0.00,0.00
79,0.9786,0.6735,0.0200,0.00,0.00,0.00
80,0.9741,0.6645,0.0337,0.00,0.00,0.00
81,0.9741,0.6631,0.0330,0.00,0.00,0.00
82,0.9792,0.6790,0.0167,0.00,0.00,0.00
83,0.9800,0.6798,0.0149,0.00,0.00,0.00
84,0.9811,0.6813,0.0131,0.00,0.00,0.00
85,0.9813,0.6814,0.0129,0.00,0.00,0.00
86,0.9801,0.6802,0.0137,0.00,0.00,0.00
87,0.9798,0.6802,0.0138,0.00,0.00,0.00
88,0.9796,0.6805,0.0129,0.00,0.00,0.00
89,0.9801,0.6824,0.0123,0.00,0.00,0.00
90,0.9717,0.6822,0.0398,0.00,0.00,0.00
91,0.9616,0.6645,0.0716,0.00,0.00,0.00
92,0.9798,0.6811,0.0156,0.00,0.00,0.00
93,0.9808,0.6848,0.0109,0.00,0.00,0.00
94,0.9796,0.6780,0.0147,0.00,0.00,0.00
95,0.9808,0.6850,0.0111,0.00,0.00,0.00
96,0.9791,0.6806,0.0157,0.00,0.00,0.00
97,0.9767,0.6826,0.0197,0.00,0.00,0.00
98,0.9805,0.6824,0.0115,0.00,0.00,0.00
99,0.9810,0.6890,0.0101,0.00,0.00,0.00
100,0.9768,0.6770,0.0212,0.00,0.00,0.00
101,0.9739,0.6795,0.0300,0.00,0.00,0.00
