round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1106,0.1106,2.3024,0.00,0.00,0.00
2,0.8192,0.1188,1.1745,0.00,0.00,0.00
3,0.8643,0.1308,0.8000,0.00,0.00,0.00
4,0.9170,0.1483,0.4651,0.00,0.00,0.00
5,0.9464,0.1623,0.2827,0.00,0.00,0.00
6,0.9619,0.1712,0.1927,0.00,0.00,0.00
7,0.9692,0.1759,0.1436,0.00,0.00,0.00
8,0.9749,0.1814,0.1136,0.00,0.00,0.00
9,0.9799,0.1844,0.0937,0.00,0.00,0.00
10,0.9821,0.1879,0.0806,0.00,0.00,0.00
11,0.9857,0.1900,0.0684,0.00,0.00,0.00
12,0.9861,0.1914,0.0590,0.00,0.00,0.00
13,0.9882,0.1925,0.0521,0.00,0.00,0.00
14,0.9887,0.1931,0.0462,0.00,0.00,0.00
15,0.9900,0.1937,0.0409,0.00,0.00,0.00
16,0.9896,0.1941,0.0379,0.00,0.00,0.00
17,0.9909,0.1949,0.0332,0.00,0.00,0.00
18,0.9909,0.1950,0.0314,0.00,0.00,0.00
19,0.9912,0.1955,0.0278,0.00,0.00,0.00
20,0.9917,0.1956,0.0256,0.00,0.00,0.00
21,0.9922,0.1960,0.0232,0.00,0.00,0.00
22,0.9927,0.1964,0.0217,0.00,0.00,0.00
23,0.9910,0.1964,0.0220,0.00,0.00,0.00
24,0.9917,0.1961,0.0195,0.00,0.00,0.00
25,0.9928,0.1968,0.0172,0.00,0.00,0.00
26,0.9928,0.1970,0.0165,0.00,0.00,0.00
27,0.9931,0.1970,0.0151,0.00,0.00,0.00
28,0.9930,0.1970,0.0144,0.00,0.00,0.00
29,0.9936,0.1973,0.0133,0.00,0.00,0.00
30,0.9935,0.1973,0.0126,0.00,0.00,0.00
31,0.9934,0.1973,0.0119,0.00,0.00,0.00
32,0.9938,0.1973,0.0114,0.00,0.00,0.00
33,0.9933,0.1973,0.0109,0.00,0.00,0.00
34,0.9943,0.1975,0.0101,0.00,0.00,0.00
35,0.9940,0.1974,0.0095,0.00,0.00,0.00
36,0.9942,0.1975,0.0091,0.00,0.00,0.00
37,0.9940,0.1975,0.0090,0.00,0.00,0.00
38,0.9942,0.1976,0.0082,0.00,0.00,0.00
39,0.9940,0.1976,0.0079,0.00,0.00,0.00
40,0.9940,0.1975,0.0077,0.00,0.00,0.00
41,0.9942,0.1977,0.0072,0.00,0.00,0.00
42,0.9942,0.1976,0.0069,0.00,0.00,0.00
43,0.9943,0.1977,0.0065,0.00,0.00,0.00
44,0.9945,0.1977,0.0063,0.00,0.00,0.00
45,0.9946,0.1977,0.0061,0.00,0.00,0.00
46,0.9945,0.1977,0.0058,0.00,0.00,0.00
47,0.9944,0.1978,0.0056,0.00,0.00,0.00
48,0.9947,0.1978,0.0054,0.00,0.00,0.00
49,0.9950,0.1978,0.0052,0.00,0.00,0.00
50,0.9947,0.1978,0.0050,0.00,0.00,0.00
51,0.9948,0.1978,0.0049,0.00,0.00,0.00
52,0.9946,0.1978,0.0050,0.00,0.00,0.00
53,0.9950,0.1979,0.0045,0.00,0.00,0.00
54,0.9949,0.1978,0.0044,0.00,0.00,0.00
55,0.9944,0.1978,0.0047,0.00,0.00,0.00
56,0.9942,0.1978,0.0041,0.00,0.00,0.00
57,0.9948,0.1979,0.0040,0.00,0.00,0.00
58,0.9947,0.1979,0.0039,0.00,0.00,0.00
59,0.9948,0.1979,0.0037,0.00,0.00,0.00
60,0.9951,0.1979,0.0036,0.00,0.00,0.00
61,0.9950,0.1979,0.0035,0.00,0.00,0.00
62,0.9950,0.1979,0.0035,0.00,0.00,0.00
63,0.9947,0.1979,0.0033,0.00,0.00,0.00
64,0.9948,0.1980,0.0032,0.00,0.00,0.00
65,0.9946,0.1979,0.0032,0.00,0.00,0.00
66,0.9948,0.1979,0.0030,0.00,0.00,0.00
67,0.9946,0.1979,0.0037,0.00,0.00,0.00
68,0.9953,0.1980,0.0030,0.00,0.00,0.00
69,0.9949,0.1980,0.0028,0.00,0.00,0.00
70,0.9946,0.1980,0.0034,0.00,0.00,0.00
71,0.9949,0.1980,0.0027,0.00,0.00,0.00
72,0.9949,0.1980,0.0027,0.00,0.00,0.00
73,0.9950,0.1980,0.0026,0.00,0.00,0.00
74,0.9947,0.1980,0.0025,0.00,0.00,0.00
75,0.9950,0.1980,0.0025,0.00,0.00,0.00
76,0.9951,0.1980,0.0024,0.00,0.00,0.00
77,0.9950,0.1980,0.0024,0.00,0.00,0.00
78,0.9951,0.1980,0.0023,0.00,0.00,0.00
79,0.9951,0.1981,0.0023,0.00,0.00,0.00
80,0.9947,0.1981,0.0022,0.00,0.00,0.00
81,0.9950,0.1981,0.0022,0.00,0.00,0.00
82,0.9954,0.1981,0.0022,0.00,0.00,0.00
83,0.9950,0.1980,0.0021,0.00,0.00,0.00
84,0.9951,0.1980,0.0021,0.00,0.00,0.00
85,0.9953,0.1981,0.0020,0.00,0.00,0.00
86,0.9951,0.1981,0.0020,0.00,0.00,0.00
87,0.9951,0.1981,0.0019,0.00,0.00,0.00
88,0.9949,0.1981,0.0019,0.00,0.00,0.00
89,0.9950,0.1980,0.0019,0.00,0.00,0.00
90,0.9951,0.1981,0.0018,0.00,0.00,0.00
91,0.9953,0.1981,0.0018,0.00,0.00,0.00
92,0.9953,0.1981,0.0018,0.00,0.00,0.00
93,0.9952,0.1981,0.0017,0.00,0.00,0.00
94,0.9952,0.1981,0.0017,0.00,0.00,0.00
95,0.9953,0.1981,0.0017,0.00,0.00,0.00
96,0.9952,0.1981,0.0017,0.00,0.00,0.00
