round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3036,0.1000,0.1000,2.3036,0.00,78.63,78.63
2,0.1095,0.1334,2.1518,0.1777,0.1017,1.3749,78.63,78.63,157.27
3,0.1797,0.1682,2.1857,0.1774,0.1117,0.9578,78.63,78.63,157.27
4,0.2162,0.1852,2.2247,0.1925,0.1168,0.8218,78.63,78.63,157.27
5,0.2410,0.1972,2.2359,0.1997,0.1230,0.7504,78.63,78.63,157.27
6,0.2493,0.2099,2.2395,0.2017,0.1290,0.7100,78.63,78.63,157.27
7,0.2465,0.2199,2.2410,0.2089,0.1315,0.6814,78.63,78.63,157.27
8,0.2489,0.2261,2.2391,0.2128,0.1351,0.6628,78.63,78.63,157.27
9,0.2489,0.2315,2.2402,0.2174,0.1390,0.6458,78.63,78.63,157.27
10,0.2576,0.2393,2.2321,0.2233,0.1381,0.6316,78.63,78.63,157.27
11,0.2558,0.2391,2.2346,0.2240,0.1401,0.6171,78.63,78.63,157.27
12,0.2507,0.2431,2.2380,0.2256,0.1422,0.6070,78.63,78.63,157.27
13,0.2555,0.2464,2.2338,0.2315,0.1456,0.5951,78.63,78.63,157.27
14,0.2545,0.2492,2.2342,0.2298,0.1440,0.5838,78.63,78.63,157.27
15,0.2622,0.2530,2.2260,0.2337,0.1474,0.5733,78.63,78.63,157.27
16,0.2603,0.2533,2.2340,0.2360,0.1467,0.5684,78.63,78.63,157.27
17,0.2729,0.2576,2.2261,0.2404,0.1515,0.5571,78.63,78.63,157.27
18,0.2688,0.2582,2.2311,0.2422,0.1485,0.5585,78.63,78.63,157.27
19,0.2728,0.2622,2.2185,0.2462,0.1502,0.5405,78.63,78.63,157.27
20,0.2748,0.2628,2.2189,0.2450,0.1511,0.5299,78.63,78.63,157.27
21,0.2749,0.2619,2.2286,0.2375,0.1537,0.5367,78.63,78.63,157.27
22,0.2817,0.2672,2.2121,0.2465,0.1549,0.5140,78.63,78.63,157.27
23,0.2806,0.2724,2.2057,0.2468,0.1572,0.5248,78.63,78.63,157.27
24,0.2791,0.2650,2.2463,0.2458,0.1536,0.5071,78.63,78.63,157.27
25,0.2786,0.2699,2.2045,0.2450,0.1566,0.5001,78.63,78.63,157.27
26,0.2775,0.2704,2.2089,0.2517,0.1569,0.4993,78.63,78.63,157.27
27,0.2865,0.2748,2.2094,0.2430,0.1598,0.4985,78.63,78.63,157.27
28,0.2879,0.2754,2.2041,0.2451,0.1589,0.4897,78.63,78.63,157.27
29,0.2822,0.2748,2.1970,0.2514,0.1609,0.4855,78.63,78.63,157.27
30,0.2805,0.2788,2.1907,0.2710,0.1623,0.4743,78.63,78.63,157.27
31,0.2867,0.2783,2.1956,0.2511,0.1605,0.4724,78.63,78.63,157.27
32,0.2803,0.2776,2.1994,0.2597,0.1612,0.4789,78.63,78.63,157.27
33,0.2881,0.2821,2.1853,0.2616,0.1678,0.4662,78.63,78.63,157.27
34,0.2790,0.2761,2.2117,0.2514,0.1604,0.4634,78.63,78.63,157.27
35,0.2836,0.2771,2.2004,0.2687,0.1650,0.5274,78.63,78.63,157.27
36,0.2874,0.2827,2.1777,0.2597,0.1636,0.4484,78.63,78.63,157.27
37,0.2851,0.2871,2.1632,0.2527,0.1643,0.4567,78.63,78.63,157.27
38,0.2824,0.2859,2.1631,0.2600,0.1666,0.4732,78.63,78.63,157.27
39,0.2829,0.2864,2.1707,0.2663,0.1684,0.4455,78.63,78.63,157.27
40,0.2778,0.2852,2.1638,0.2941,0.1650,0.4460,78.63,78.63,157.27
41,0.2912,0.2850,2.1820,0.2825,0.1682,0.4370,78.63,78.63,157.27
42,0.2806,0.2877,2.1600,0.2844,0.1716,0.4364,78.63,78.63,157.27
43,0.2905,0.2916,2.1644,0.3028,0.1674,0.4475,78.63,78.63,157.27
44,0.2845,0.2906,2.1604,0.2722,0.1698,0.4731,78.63,78.63,157.27
45,0.2864,0.2919,2.1556,0.2609,0.1741,0.4242,78.63,78.63,157.27
46,0.2803,0.2865,2.1677,0.2861,0.1698,0.4401,78.63,78.63,157.27
47,0.2841,0.2912,2.1617,0.2740,0.1720,0.4289,78.63,78.63,157.27
48,0.2881,0.2911,2.1588,0.2574,0.1683,0.4412,78.63,78.63,157.27
49,0.2796,0.2925,2.1588,0.2681,0.1719,0.4689,78.63,78.63,157.27
50,0.2854,0.2918,2.1734,0.2451,0.1736,0.4127,78.63,78.63,157.27
