round,global_local_test_acc,global_global_test_acc,global_train_loss,personalized_local_test_acc,personalized_global_test_acc,personalized_train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3032,0.1000,0.1000,2.3032,0.00,196.58,196.58
2,0.2790,0.1044,2.3069,0.4999,0.1000,2.3019,196.58,196.58,393.17
3,0.4477,0.1398,2.2787,0.5007,0.1002,2.1143,196.58,196.58,393.17
4,0.4162,0.1721,2.2317,0.5346,0.1067,1.7432,196.58,196.58,393.17
5,0.3839,0.1849,2.2033,0.6170,0.1235,1.3465,196.58,196.58,393.17
6,0.3656,0.1914,2.1872,0.6979,0.1390,1.0864,196.58,196.58,393.17
7,0.3557,0.1973,2.1761,0.7371,0.1471,0.9567,196.58,196.58,393.17
8,0.3470,0.2033,2.1670,0.7530,0.1505,0.8962,196.58,196.58,393.17
9,0.3430,0.2087,2.1596,0.7620,0.1520,0.8662,196.58,196.58,393.17
10,0.3367,0.2132,2.1532,0.7658,0.1530,0.8489,196.58,196.58,393.17
11,0.3315,0.2170,2.1471,0.7698,0.1541,0.8372,196.58,196.58,393.17
12,0.3287,0.2219,2.1411,0.7759,0.1547,0.8281,196.58,196.58,393.17
13,0.3267,0.2269,2.1356,0.7809,0.1557,0.8200,196.58,196.58,393.17
14,0.3243,0.2314,2.1302,0.7857,0.1566,0.8124,196.58,196.58,393.17
15,0.3248,0.2351,2.1244,0.7885,0.1575,0.8051,196.58,196.58,393.17
16,0.3247,0.2383,2.1186,0.7930,0.1583,0.7977,196.58,196.58,393.17
17,0.3262,0.2441,2.1135,0.7965,0.1589,0.7919,196.58,196.58,393.17
18,0.3256,0.2469,2.1084,0.8000,0.1602,0.7831,196.58,196.58,393.17
19,0.3274,0.2496,2.1027,0.8042,0.1602,0.7777,196.58,196.58,393.17
20,0.3253,0.2522,2.0975,0.8071,0.1614,0.7692,196.58,196.58,393.17
21,0.3286,0.2558,2.0920,0.8084,0.1618,0.7626,196.58,196.58,393.17
22,0.3331,0.2580,2.0866,0.8147,0.1625,0.7562,196.58,196.58,393.17
23,0.3350,0.2611,2.0816,0.8147,0.1627,0.7496,196.58,196.58,393.17
24,0.3357,0.2642,2.0760,0.8142,0.1627,0.7457,196.58,196.58,393.17
25,0.3395,0.2680,2.0713,0.8197,0.1636,0.7369,196.58,196.58,393.17
26,0.3435,0.2694,2.0670,0.8190,0.1637,0.7334,196.58,196.58,393.17
27,0.3434,0.2695,2.0616,0.8208,0.1637,0.7291,196.58,196.58,393.17
28,0.3446,0.2692,2.0566,0.8247,0.1649,0.7198,196.58,196.58,393.17
29,0.3481,0.2708,2.0513,0.8267,0.1646,0.7168,196.58,196.58,393.17
30,0.3486,0.2729,2.0464,0.8253,0.1651,0.7113,196.58,196.58,393.17
31,0.3492,0.2725,2.0412,0.8275,0.1655,0.7045,196.58,196.58,393.17
32,0.3540,0.2734,2.0363,0.8256,0.1651,0.7021,196.58,196.58,393.17
33,0.3501,0.2753,2.0311,0.8294,0.1654,0.6976,196.58,196.58,393.17
34,0.3553,0.2763,2.0266,0.8278,0.1653,0.6948,196.58,196.58,393.17
35,0.3580,0.2776,2.0216,0.8293,0.1656,0.6888,196.58,196.58,393.17
36,0.3591,0.2771,2.0167,0.8248,0.1654,0.6876,196.58,196.58,393.17
37,0.3611,0.2765,2.0109,0.8322,0.1667,0.6745,196.58,196.58,393.17
38,0.3653,0.2770,2.0071,0.8325,0.1656,0.6793,196.58,196.58,393.17
39,0.3659,0.2786,2.0010,0.8349,0.1663,0.6693,196.58,196.58,393.17
40,0.3649,0.2781,1.9964,0.8371,0.1669,0.6642,196.58,196.58,393.17
41,0.3631,0.2797,1.9919,0.8340,0.1664,0.6631,196.58,196.58,393.17
42,0.3681,0.2801,1.9886,0.8349,0.1669,0.6577,196.58,196.58,393.17
43,0.3660,0.2823,1.9832,0.8309,0.1665,0.6569,196.58,196.58,393.17
44,0.3680,0.2844,1.9777,0.8366,0.1668,0.6521,196.58,196.58,393.17
45,0.3712,0.2826,1.9753,0.8321,0.1667,0.6454,196.58,196.58,393.17
46,0.3733,0.2827,1.9714,0.8380,0.1674,0.6383,196.58,196.58,393.17
47,0.3767,0.2840,1.9675,0.8403,0.1674,0.6369,196.58,196.58,393.17
48,0.3802,0.2836,1.9644,0.8334,0.1662,0.6417,196.58,196.58,393.17
49,0.3797,0.2847,1.9605,0.8315,0.1664,0.6373,196.58,196.58,393.17
50,0.3812,0.2839,1.9568,0.8327,0.1662,0.6339,196.58,196.58,393.17
51,0.3821,0.2858,1.9507,0.8412,0.1674,0.6234,196.58,196.58,393.17
52,0.3774,0.2886,1.9469,0.8407,0.1675,0.6214,196.58,196.58,393.17
53,0.3877,0.2896,1.9425,0.8427,0.1679,0.6108,196.58,196.58,393.17
54,0.3893,0.2891,1.9407,0.8400,0.1676,0.6180,196.58,196.58,393.17
55,0.3847,0.2919,1.9347,0.8423,0.1684,0.6013,196.58,196.58,393.17
56,0.3846,0.2906,1.9334,0.8409,0.1680,0.6042,196.58,196.58,393.17
57,0.3906,0.2904,1.9314,0.8388,0.1680,0.5979,196.58,196.58,393.17
58,0.3895,0.2924,1.9242,0.8436,0.1682,0.5949,196.58,196.58,393.17
59,0.3942,0.2881,1.9272,0.8446,0.1678,0.5977,196.58,196.58,393.17
60,0.3932,0.2920,1.9203,0.8434,0.1686,0.5845,196.58,196.58,393.17
61,0.3955,0.2940,1.9156,0.8311,0.1674,0.5931,196.58,196.58,393.17
62,0.3947,0.2960,1.9115,0.8455,0.1684,0.5825,196.58,196.58,393.17
63,0.4007,0.2931,1.9113,0.8366,0.1678,0.5850,196.58,196.58,393.17
64,0.3986,0.2952,1.9076,0.8448,0.1678,0.5797,196.58,196.58,393.17
65,0.3984,0.2942,1.9067,0.8420,0.1683,0.5777,196.58,196.58,393.17
66,0.3999,0.2967,1.9004,0.8374,0.1679,0.5745,196.58,196.58,393.17
67,0.4024,0.2967,1.8986,0.8402,0.1680,0.5791,196.58,196.58,393.17
68,0.4003,0.2983,1.8974,0.8452,0.1685,0.5648,196.58,196.58,393.17
69,0.4024,0.2997,1.8932,0.8402,0.1680,0.5769,196.58,196.58,393.17
70,0.4030,0.3002,1.8867,0.8430,0.1687,0.5598,196.58,196.58,393.17
71,0.3988,0.3006,1.8833,0.8404,0.1677,0.5671,196.58,196.58,393.17
72,0.4045,0.3014,1.8811,0.8493,0.1689,0.5490,196.58,196.58,393.17
73,0.4043,0.3014,1.8826,0.8451,0.1686,0.5544,196.58,196.58,393.17
74,0.4076,0.3010,1.8785,0.8406,0.1673,0.5709,196.58,196.58,393.17
75,0.4085,0.3023,1.8751,0.8412,0.1680,0.5509,196.58,196.58,393.17
76,0.4064,0.3039,1.8716,0.8446,0.1688,0.5420,196.58,196.58,393.17
77,0.4077,0.3064,1.8661,0.8382,0.1676,0.5528,196.58,196.58,393.17
78,0.4031,0.3060,1.8635,0.8451,0.1685,0.5460,196.58,196.58,393.17
79,0.4058,0.3060,1.8660,0.8385,0.1684,0.5485,196.58,196.58,393.17
80,0.4129,0.3062,1.8624,0.8434,0.1683,0.5444,196.58,196.58,393.17
81,0.4081,0.3059,1.8583,0.8461,0.1697,0.5260,196.58,196.58,393.17
82,0.4099,0.3076,1.8559,0.8419,0.1689,0.5364,196.58,196.58,393.17
83,0.4118,0.3096,1.8512,0.8485,0.1700,0.5166,196.58,196.58,393.17
84,0.4153,0.3085,1.8519,0.8519,0.1691,0.5249,196.58,196.58,393.17
85,0.4175,0.3064,1.8514,0.8461,0.1691,0.5242,196.58,196.58,393.17
86,0.4210,0.3047,1.8534,0.8541,0.1704,0.5096,196.58,196.58,393.17
87,0.4152,0.3094,1.8446,0.8392,0.1681,0.5300,196.58,196.58,393.17
88,0.4193,0.3081,1.8456,0.8472,0.1694,0.5183,196.58,196.58,393.17
89,0.4204,0.3074,1.8430,0.8420,0.1682,0.5312,196.58,196.58,393.17
90,0.4160,0.3105,1.8390,0.8479,0.1688,0.5164,196.58,196.58,393.17
91,0.4215,0.3076,1.8361,0.8406,0.1684,0.5175,196.58,196.58,393.17
92,0.4191,0.3099,1.8357,0.8325,0.1667,0.5434,196.58,196.58,393.17
93,0.4207,0.3120,1.8315,0.8350,0.1672,0.5402,196.58,196.58,393.17
94,0.4160,0.3145,1.8252,0.8433,0.1688,0.5071,196.58,196.58,393.17
95,0.4184,0.3165,1.8232,0.8392,0.1673,0.5282,196.58,196.58,393.17
96,0.4187,0.3161,1.8223,0.8362,0.1678,0.5152,196.58,196.58,393.17
97,0.4240,0.3149,1.8232,0.8486,0.1694,0.4951,196.58,196.58,393.17
98,0.4226,0.3146,1.8186,0.8471,0.1694,0.5028,196.58,196.58,393.17
99,0.4260,0.3148,1.8199,0.8427,0.1683,0.5151,196.58,196.58,393.17
100,0.4228,0.3137,1.8176,0.8534,0.1702,0.4903,196.58,196.58,393.17
101,0.4254,0.3173,1.8089,0.8462,0.1691,0.4987,196.58,196.58,393.17
