round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3028,,,,,,,0.00,117.95,117.95
2,0.1000,,1.6351,,,,,,,117.95,117.95,235.90
3,0.1086,,0.8758,,,,,,,117.95,117.95,235.90
4,0.1264,,0.6969,,,,,,,117.95,117.95,235.90
5,0.1349,,0.6217,,,,,,,117.95,117.95,235.90
6,0.1408,,0.5808,,,,,,,117.95,117.95,235.90
7,0.1437,,0.5563,,,,,,,117.95,117.95,235.90
8,0.1450,,0.5397,,,,,,,117.95,117.95,235.90
9,0.1469,,0.5305,,,,,,,117.95,117.95,235.90
10,0.1472,,0.5225,,,,,,,117.95,117.95,235.90
11,0.1482,,0.5172,,,,,,,117.95,117.95,235.90
12,0.1495,,0.5123,,,,,,,117.95,117.95,235.90
13,0.1502,,0.5087,,,,,,,117.95,117.95,235.90
14,0.1516,,0.5039,,,,,,,117.95,117.95,235.90
15,0.1527,,0.5009,,,,,,,117.95,117.95,235.90
16,0.1531,,0.4964,,,,,,,117.95,117.95,235.90
17,0.1539,,0.4909,,,,,,,117.95,117.95,235.90
18,0.1543,,0.4877,,,,,,,117.95,117.95,235.90
19,0.1547,,0.4833,,,,,,,117.95,117.95,235.90
20,0.1551,,0.4779,,,,,,,117.95,117.95,235.90
21,0.1556,,0.4737,,,,,,,117.95,117.95,235.90
22,0.1561,,0.4692,,,,,,,117.95,117.95,235.90
23,0.1561,,0.4660,,,,,,,117.95,117.95,235.90
24,0.1563,,0.4602,,,,,,,117.95,117.95,235.90
25,0.1568,,0.4578,,,,,,,117.95,117.95,235.90
26,0.1569,,0.4556,,,,,,,117.95,117.95,235.90
27,0.1575,,0.4498,,,,,,,117.95,117.95,235.90
28,0.1579,,0.4479,,,,,,,117.95,117.95,235.90
29,0.1589,,0.4443,,,,,,,117.95,117.95,235.90
30,0.1591,,0.4386,,,,,,,117.95,117.95,235.90
31,0.1585,,0.4392,,,,,,,117.95,117.95,235.90
32,0.1601,,0.4346,,,,,,,117.95,117.95,235.90
33,0.1611,,0.4313,,,,,,,117.95,117.95,235.90
34,0.1612,,0.4308,,,,,,,117.95,117.95,235.90
35,0.1610,,0.4344,,,,,,,117.95,117.95,235.90
36,0.1621,,0.4285,,,,,,,117.95,117.95,235.90
37,0.1622,,0.4246,,,,,,,117.95,117.95,235.90
38,0.1628,,0.4275,,,,,,,117.95,117.95,235.90
39,0.1625,,0.4258,,,,,,,117.95,117.95,235.90
40,0.1622,,0.4264,,,,,,,117.95,117.95,235.90
41,0.1632,,0.4228,,,,,,,117.95,117.95,235.90
42,0.1637,,0.4164,,,,,,,117.95,117.95,235.90
43,0.1631,,0.4220,,,,,,,117.95,117.95,235.90
44,0.1645,,0.4130,,,,,,,117.95,117.95,235.90
45,0.1652,,0.4027,,,,,,,117.95,117.95,235.90
46,0.1652,,0.4085,,,,,,,117.95,117.95,235.90
47,0.1646,,0.4169,,,,,,,117.95,117.95,235.90
48,0.1634,,0.4177,,,,,,,117.95,117.95,235.90
49,0.1642,,0.4127,,,,,,,117.95,117.95,235.90
50,0.1645,,0.4084,,,,,,,117.95,117.95,235.90
51,0.1659,,0.4072,,,,,,,117.95,117.95,235.90
52,0.1388,,1.2133,,,,,,,117.95,196.58,314.53
53,0.1597,,1.4499,,,,,,,196.58,196.58,393.17
54,0.1638,,0.7352,,,,,,,196.58,196.58,393.17
55,0.1487,,0.5686,,,,,,,196.58,196.58,393.17
56,0.1520,,0.5179,,,,,,,196.58,196.58,393.17
57,0.1530,,0.5169,,,,,,,196.58,196.58,393.17
