round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,117.95036316,117.95036316,0.00000000,117.95036316,117.95036316,117.95036316
1,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.50000000,0.00000000,,,0.00000000,0.00000000,,,30,30,0,0,3000,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,117.95036316,235.90072632,353.85108948,176.92554474
2,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.54316667,0.00000000,,,0.04075298,0.00000000,,,30,30,0,0,3259,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,235.90072632,353.85108948,589.75181580,196.58393860
3,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.63183333,0.00000000,,,0.05312694,0.00000000,,,30,30,0,0,3791,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,353.85108948,471.80145264,825.65254211,206.41313553
4,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.67450000,0.00000000,,,0.04960427,0.00000000,,,30,30,0,0,4047,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,471.80145264,589.75181580,1061.55326843,212.31065369
5,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.70400000,0.00000000,,,0.04561433,0.00000000,,,30,30,0,0,4224,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,589.75181580,707.70217896,1297.45399475,216.24233246
6,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.71850000,0.00000000,,,0.04875363,0.00000000,,,30,30,0,0,4311,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,707.70217896,825.65254211,1533.35472107,219.05067444
7,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.72500000,0.00000000,,,0.04449719,0.00000000,,,30,30,0,0,4350,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,825.65254211,943.60290527,1769.25544739,221.15693092
8,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.73433333,0.00000000,,,0.04665000,0.00000000,,,30,30,0,0,4406,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,943.60290527,1061.55326843,2005.15617371,222.79513041
9,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.73616667,0.00000000,,,0.04883106,0.00000000,,,30,30,0,0,4417,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1061.55326843,1179.50363159,2241.05690002,224.10569000
10,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.74116667,0.00000000,,,0.05654914,0.00000000,,,30,30,0,0,4447,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1179.50363159,1297.45399475,2476.95762634,225.17796603
11,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.74766667,0.00000000,,,0.05541861,0.00000000,,,30,30,0,0,4486,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1297.45399475,1415.40435791,2712.85835266,226.07152939
12,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.75100000,0.00000000,,,0.05817216,0.00000000,,,30,30,0,0,4506,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1415.40435791,1533.35472107,2948.75907898,226.82762146
13,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.75816667,0.00000000,,,0.06066964,0.00000000,,,30,30,0,0,4549,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1533.35472107,1651.30508423,3184.65980530,227.47570038
14,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76350000,0.00000000,,,0.06413722,0.00000000,,,30,30,0,0,4581,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1651.30508423,1769.25544739,3420.56053162,228.03736877
15,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76533333,0.00000000,,,0.06507602,0.00000000,,,30,30,0,0,4592,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1769.25544739,1887.20581055,3656.46125793,228.52882862
16,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76950000,0.00000000,,,0.06560424,0.00000000,,,30,30,0,0,4617,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1887.20581055,2005.15617371,3892.36198425,228.96246966
17,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.77133333,0.00000000,,,0.06535714,0.00000000,,,30,30,0,0,4628,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2005.15617371,2123.10653687,4128.26271057,229.34792837
18,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.77333333,0.00000000,,,0.06668750,0.00000000,,,30,30,0,0,4640,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2123.10653687,2241.05690002,4364.16343689,229.69281247
19,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.77550000,0.00000000,,,0.06642477,0.00000000,,,30,30,0,0,4653,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2241.05690002,2359.00726318,4600.06416321,230.00320816
20,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.77816667,0.00000000,,,0.06862317,0.00000000,,,30,30,0,0,4669,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2359.00726318,2476.95762634,4835.96488953,230.28404236
