round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3054,0.00,196.58,196.58
2,0.5000,,1.8300,196.58,196.58,393.17
3,0.5067,,1.0613,196.58,196.58,393.17
4,0.5527,,0.8201,196.58,196.58,393.17
5,0.6095,,0.7139,196.58,196.58,393.17
6,0.6551,,0.6518,196.58,196.58,393.17
7,0.6854,,0.6109,196.58,196.58,393.17
8,0.7132,,0.5784,196.58,196.58,393.17
9,0.7284,,0.5573,196.58,196.58,393.17
10,0.7406,,0.5417,196.58,196.58,393.17
11,0.7475,,0.5316,196.58,196.58,393.17
12,0.7550,,0.5204,196.58,196.58,393.17
13,0.7627,,0.5125,196.58,196.58,393.17
14,0.7685,,0.5040,196.58,196.58,393.17
15,0.7715,,0.4989,196.58,196.58,393.17
16,0.7760,,0.4922,196.58,196.58,393.17
17,0.7796,,0.4850,196.58,196.58,393.17
18,0.7841,,0.4782,196.58,196.58,393.17
19,0.7863,,0.4724,196.58,196.58,393.17
20,0.7895,,0.4669,196.58,196.58,393.17
21,0.7921,,0.4610,196.58,196.58,393.17
22,0.7957,,0.4548,196.58,196.58,393.17
23,0.7987,,0.4499,196.58,196.58,393.17
24,0.8009,,0.4434,196.58,196.58,393.17
25,0.8012,,0.4385,196.58,196.58,393.17
26,0.8048,,0.4323,196.58,196.58,393.17
27,0.8073,,0.4279,196.58,196.58,393.17
28,0.8110,,0.4220,196.58,196.58,393.17
29,0.8122,,0.4178,196.58,196.58,393.17
30,0.8138,,0.4135,196.58,196.58,393.17
31,0.8127,,0.4142,196.58,196.58,393.17
32,0.8166,,0.4078,196.58,196.58,393.17
33,0.8182,,0.4037,196.58,196.58,393.17
34,0.8186,,0.4025,196.58,196.58,393.17
35,0.8206,,0.3986,196.58,196.58,393.17
36,0.8223,,0.3972,196.58,196.58,393.17
37,0.8252,,0.3919,196.58,196.58,393.17
38,0.8258,,0.3899,196.58,196.58,393.17
39,0.8258,,0.3893,196.58,196.58,393.17
40,0.8287,,0.3844,196.58,196.58,393.17
41,0.8311,,0.3774,196.58,196.58,393.17
42,0.8305,,0.3797,196.58,196.58,393.17
43,0.8307,,0.3800,196.58,196.58,393.17
44,0.8329,,0.3755,196.58,196.58,393.17
45,0.8340,,0.3703,196.58,196.58,393.17
46,0.8341,,0.3719,196.58,196.58,393.17
47,0.8349,,0.3731,196.58,196.58,393.17
48,0.8367,,0.3678,196.58,196.58,393.17
49,0.8367,,0.3674,196.58,196.58,393.17
50,0.8389,,0.3629,196.58,196.58,393.17
51,0.8388,,0.3616,196.58,196.58,393.17
52,0.8400,,0.3585,196.58,196.58,393.17
53,0.8379,,0.3678,196.58,196.58,393.17
54,0.8414,,0.3579,196.58,196.58,393.17
55,0.8419,,0.3570,196.58,196.58,393.17
56,0.8404,,0.3627,196.58,196.58,393.17
57,0.8434,,0.3521,196.58,196.58,393.17
58,0.8425,,0.3577,196.58,196.58,393.17
59,0.8424,,0.3570,196.58,196.58,393.17
60,0.8459,,0.3483,196.58,196.58,393.17
61,0.8438,,0.3567,196.58,196.58,393.17
62,0.8405,,0.3604,196.58,196.58,393.17
63,0.8489,,0.3440,196.58,196.58,393.17
64,0.8463,,0.3478,196.58,196.58,393.17
65,0.8462,,0.3472,196.58,196.58,393.17
66,0.8450,,0.3499,196.58,196.58,393.17
67,0.8479,,0.3450,196.58,196.58,393.17
68,0.8466,,0.3505,196.58,196.58,393.17
69,0.8480,,0.3483,196.58,196.58,393.17
70,0.8520,,0.3348,196.58,196.58,393.17
71,0.8528,,0.3390,196.58,196.58,393.17
72,0.8477,,0.3470,196.58,196.58,393.17
73,0.8524,,0.3343,196.58,196.58,393.17
74,0.8548,,0.3299,196.58,196.58,393.17
75,0.8501,,0.3442,196.58,196.58,393.17
76,0.8533,,0.3379,196.58,196.58,393.17
77,0.8505,,0.3478,196.58,196.58,393.17
78,0.8553,,0.3351,196.58,196.58,393.17
79,0.8530,,0.3373,196.58,196.58,393.17
80,0.8535,,0.3384,196.58,196.58,393.17
81,0.8551,,0.3359,196.58,196.58,393.17
82,0.8548,,0.3371,196.58,196.58,393.17
83,0.8574,,0.3305,196.58,196.58,393.17
84,0.8535,,0.3335,196.58,196.58,393.17
85,0.8566,,0.3327,196.58,196.58,393.17
86,0.8564,,0.3337,196.58,196.58,393.17
87,0.8559,,0.3385,196.58,196.58,393.17
88,0.8582,,0.3266,196.58,196.58,393.17
89,0.8585,,0.3304,196.58,196.58,393.17
90,0.8556,,0.3382,196.58,196.58,393.17
91,0.8580,,0.3240,196.58,196.58,393.17
92,0.8587,,0.3238,196.58,196.58,393.17
93,0.8587,,0.3261,196.58,196.58,393.17
94,0.8612,,0.3205,196.58,196.58,393.17
95,0.8553,,0.3346,196.58,196.58,393.17
96,0.8629,,0.3151,196.58,196.58,393.17
97,0.8598,,0.3301,196.58,196.58,393.17
98,0.8639,,0.3135,196.58,196.58,393.17
99,0.8596,,0.3278,196.58,196.58,393.17
100,0.8586,,0.3278,196.58,196.58,393.17
101,0.8567,,0.3340,196.58,196.58,393.17
