round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,78.63,78.63
2,0.1471,0.1392,2.1269,78.63,78.63,157.27
3,0.1870,0.1788,1.9411,78.63,78.63,157.27
4,0.2121,0.2014,1.8398,78.63,78.63,157.27
5,0.2275,0.2202,1.7540,78.63,78.63,157.27
6,0.2429,0.2367,1.6852,78.63,78.63,157.27
7,0.2527,0.2506,1.6169,78.63,78.63,157.27
8,0.2662,0.2632,1.5542,78.63,78.63,157.27
9,0.2791,0.2726,1.5037,78.63,78.63,157.27
10,0.2872,0.2805,1.4600,78.63,78.63,157.27
11,0.2974,0.2903,1.4208,78.63,78.63,157.27
12,0.3087,0.2976,1.3867,78.63,78.63,157.27
13,0.3099,0.3013,1.3725,78.63,78.63,157.27
14,0.3164,0.3076,1.3409,78.63,78.63,157.27
15,0.3232,0.3151,1.3152,78.63,78.63,157.27
16,0.3344,0.3242,1.2898,78.63,78.63,157.27
17,0.3434,0.3297,1.2690,78.63,78.63,157.27
18,0.3521,0.3391,1.2436,78.63,78.63,157.27
19,0.3572,0.3398,1.2305,78.63,78.63,157.27
20,0.3655,0.3485,1.2128,78.63,78.63,157.27
21,0.3632,0.3515,1.2044,78.63,78.63,157.27
22,0.3623,0.3576,1.1891,78.63,78.63,157.27
23,0.3759,0.3631,1.1667,78.63,78.63,157.27
24,0.3805,0.3664,1.1673,78.63,78.63,157.27
25,0.3859,0.3740,1.1399,78.63,78.63,157.27
26,0.3931,0.3786,1.1280,78.63,78.63,157.27
27,0.3955,0.3849,1.1094,78.63,78.63,157.27
28,0.4022,0.3895,1.0887,78.63,78.63,157.27
29,0.4013,0.3899,1.0910,78.63,78.63,157.27
30,0.4113,0.3983,1.0737,78.63,78.63,157.27
31,0.4167,0.3974,1.0695,78.63,78.63,157.27
32,0.4035,0.4036,1.0570,78.63,78.63,157.27
33,0.4055,0.4025,1.0597,78.63,78.63,157.27
34,0.4018,0.4053,1.0535,78.63,78.63,157.27
35,0.4127,0.4068,1.0485,78.63,78.63,157.27
36,0.4161,0.4117,1.0518,78.63,78.63,157.27
37,0.4200,0.4185,1.0218,78.63,78.63,157.27
38,0.4276,0.4240,1.0197,78.63,78.63,157.27
39,0.4130,0.4117,1.0332,78.63,78.63,157.27
40,0.4359,0.4292,1.0020,78.63,78.63,157.27
41,0.4247,0.4305,0.9972,78.63,78.63,157.27
42,0.4287,0.4340,0.9898,78.63,78.63,157.27
43,0.4391,0.4383,0.9740,78.63,78.63,157.27
44,0.4443,0.4418,0.9652,78.63,78.63,157.27
45,0.4467,0.4440,0.9728,78.63,78.63,157.27
46,0.4381,0.4369,0.9841,78.63,78.63,157.27
47,0.4541,0.4500,0.9399,78.63,78.63,157.27
48,0.4450,0.4465,0.9545,78.63,78.63,157.27
49,0.4521,0.4508,0.9362,78.63,78.63,157.27
50,0.4655,0.4611,0.9222,78.63,78.63,157.27
51,0.4616,0.4589,0.9188,78.63,78.63,157.27
52,0.4586,0.4588,0.9260,78.63,78.63,157.27
53,0.4663,0.4639,0.9085,78.63,78.63,157.27
54,0.4618,0.4650,0.9009,78.63,78.63,157.27
55,0.4668,0.4699,0.8946,78.63,78.63,157.27
56,0.4706,0.4673,0.9079,78.63,78.63,157.27
57,0.4709,0.4699,0.8985,78.63,78.63,157.27
58,0.4656,0.4655,0.8977,78.63,78.63,157.27
59,0.4784,0.4745,0.8816,78.63,78.63,157.27
60,0.4778,0.4756,0.8942,78.63,78.63,157.27
61,0.4841,0.4785,0.8689,78.63,78.63,157.27
62,0.4876,0.4862,0.8442,78.63,78.63,157.27
63,0.4830,0.4761,0.8951,78.63,78.63,157.27
64,0.4873,0.4870,0.8527,78.63,78.63,157.27
65,0.4909,0.4895,0.8482,78.63,78.63,157.27
66,0.4948,0.4913,0.8524,78.63,78.63,157.27
67,0.5029,0.4975,0.8334,78.63,78.63,157.27
68,0.4904,0.4878,0.8444,78.63,78.63,157.27
69,0.4902,0.4936,0.8282,78.63,78.63,157.27
70,0.5078,0.5021,0.8075,78.63,78.63,157.27
71,0.5030,0.4997,0.8226,78.63,78.63,157.27
72,0.5019,0.4997,0.8118,78.63,78.63,157.27
73,0.5077,0.5035,0.8105,78.63,78.63,157.27
74,0.5070,0.4996,0.8359,78.63,78.63,157.27
75,0.5169,0.5073,0.7959,78.63,78.63,157.27
76,0.5055,0.5010,0.8117,78.63,78.63,157.27
77,0.5044,0.4995,0.8189,78.63,78.63,157.27
78,0.5113,0.5075,0.7988,78.63,78.63,157.27
79,0.5156,0.5193,0.7720,78.63,78.63,157.27
80,0.5156,0.5113,0.7805,78.63,78.63,157.27
81,0.5209,0.5175,0.7825,78.63,78.63,157.27
82,0.5240,0.5228,0.7612,78.63,78.63,157.27
83,0.5201,0.5174,0.7733,78.63,78.63,157.27
84,0.5294,0.5251,0.7546,78.63,78.63,157.27
85,0.5282,0.5267,0.7531,78.63,78.63,157.27
86,0.5363,0.5308,0.7471,78.63,78.63,157.27
87,0.5287,0.5249,0.7563,78.63,78.63,157.27
88,0.5358,0.5347,0.7325,78.63,78.63,157.27
89,0.5403,0.5338,0.7251,78.63,78.63,157.27
90,0.5374,0.5382,0.7250,78.63,78.63,157.27
91,0.5193,0.5211,0.7631,78.63,78.63,157.27
92,0.5376,0.5268,0.7671,78.63,78.63,157.27
93,0.5368,0.5354,0.7174,78.63,78.63,157.27
94,0.5202,0.5192,0.7632,78.63,78.63,157.27
95,0.5370,0.5346,0.7301,78.63,78.63,157.27
96,0.5209,0.5153,0.8172,78.63,78.63,157.27
97,0.5337,0.5331,0.7734,78.63,78.63,157.27
98,0.5522,0.5406,0.7123,78.63,78.63,157.27
99,0.5361,0.5413,0.7418,78.63,78.63,157.27
100,0.5472,0.5419,0.7150,78.63,78.63,157.27
101,0.5544,0.5535,0.6842,78.63,78.63,157.27
