round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3019,,,,,,,0.00,117.95,117.95
2,0.0992,,2.1840,,,,,,,117.95,117.95,235.90
3,0.1012,,1.8102,,,,,,,117.95,117.95,235.90
4,0.1286,,1.4417,,,,,,,117.95,117.95,235.90
5,0.1377,,1.2299,,,,,,,117.95,117.95,235.90
6,0.1410,,1.0947,,,,,,,117.95,117.95,235.90
7,0.1422,,0.9941,,,,,,,117.95,117.95,235.90
8,0.1443,,0.9129,,,,,,,117.95,117.95,235.90
9,0.1455,,0.8469,,,,,,,117.95,117.95,235.90
10,0.1460,,0.7928,,,,,,,117.95,117.95,235.90
11,0.1474,,0.7484,,,,,,,117.95,117.95,235.90
12,0.1484,,0.7118,,,,,,,117.95,117.95,235.90
13,0.1492,,0.6789,,,,,,,117.95,117.95,235.90
14,0.1494,,0.6524,,,,,,,117.95,117.95,235.90
15,0.1503,,0.6263,,,,,,,117.95,117.95,235.90
16,0.1505,,0.6049,,,,,,,117.95,117.95,235.90
17,0.1514,,0.5867,,,,,,,117.95,117.95,235.90
18,0.1519,,0.5708,,,,,,,117.95,117.95,235.90
19,0.1522,,0.5552,,,,,,,117.95,117.95,235.90
20,0.1526,,0.5435,,,,,,,117.95,117.95,235.90
21,0.1522,,0.5324,,,,,,,117.95,117.95,235.90
22,0.1526,,0.5226,,,,,,,117.95,117.95,235.90
23,0.1535,,0.5160,,,,,,,117.95,117.95,235.90
24,0.1532,,0.5092,,,,,,,117.95,117.95,235.90
25,0.1537,,0.5008,,,,,,,117.95,117.95,235.90
26,0.1551,,0.4926,,,,,,,117.95,117.95,235.90
27,0.1539,,0.4896,,,,,,,117.95,117.95,235.90
28,0.1545,,0.4836,,,,,,,117.95,117.95,235.90
29,0.1533,,0.4852,,,,,,,117.95,117.95,235.90
30,0.1563,,0.4727,,,,,,,117.95,117.95,235.90
31,0.1561,,0.4716,,,,,,,117.95,117.95,235.90
32,0.1566,,0.4659,,,,,,,117.95,117.95,235.90
33,0.1566,,0.4621,,,,,,,117.95,117.95,235.90
34,0.1568,,0.4596,,,,,,,117.95,117.95,235.90
35,0.1568,,0.4564,,,,,,,117.95,117.95,235.90
36,0.1587,,0.4504,,,,,,,117.95,117.95,235.90
37,0.1576,,0.4522,,,,,,,117.95,117.95,235.90
38,0.1562,,0.4554,,,,,,,117.95,117.95,235.90
39,0.1587,,0.4467,,,,,,,117.95,117.95,235.90
40,0.1585,,0.4460,,,,,,,117.95,117.95,235.90
41,0.1596,,0.4366,,,,,,,117.95,117.95,235.90
42,0.1598,,0.4362,,,,,,,117.95,117.95,235.90
43,0.1608,,0.4323,,,,,,,117.95,117.95,235.90
44,0.1609,,0.4278,,,,,,,117.95,117.95,235.90
45,0.1617,,0.4258,,,,,,,117.95,117.95,235.90
46,0.1625,,0.4228,,,,,,,117.95,117.95,235.90
47,0.1628,,0.4170,,,,,,,117.95,117.95,235.90
48,0.1627,,0.4188,,,,,,,117.95,117.95,235.90
49,0.1628,,0.4144,,,,,,,117.95,117.95,235.90
50,0.1633,,0.4111,,,,,,,117.95,117.95,235.90
51,0.1641,,0.4079,,,,,,,117.95,117.95,235.90
52,0.1338,,1.2580,,,,,,,117.95,196.58,314.53
53,0.1358,,1.4834,,,,,,,196.58,196.58,393.17
54,0.1349,,0.7994,,,,,,,196.58,196.58,393.17
55,0.1452,,0.5729,,,,,,,196.58,196.58,393.17
56,0.1485,,0.5437,,,,,,,196.58,196.58,393.17
57,0.1503,,0.5311,,,,,,,196.58,196.58,393.17
58,0.1547,,0.5189,,,,,,,196.58,196.58,393.17
59,0.1564,,0.5157,,,,,,,196.58,196.58,393.17
60,0.1564,,0.5196,,,,,,,196.58,196.58,393.17
61,0.1543,,0.5241,,,,,,,196.58,196.58,393.17
62,0.1551,,0.5223,,,,,,,196.58,196.58,393.17
63,0.1561,,0.5193,,,,,,,196.58,196.58,393.17
64,0.1558,,0.5271,,,,,,,196.58,196.58,393.17
65,0.1561,,0.5215,,,,,,,196.58,196.58,393.17
66,0.1529,,0.5752,,,,,,,196.58,196.58,393.17
67,0.1569,,0.5288,,,,,,,196.58,196.58,393.17
68,0.1550,,0.5441,,,,,,,196.58,196.58,393.17
69,0.1601,,0.4987,,,,,,,196.58,196.58,393.17
