round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,117.95036316,117.95036316,0.00000000,117.95036316,117.95036316,117.95036316
1,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.49566667,0.00008333,,,0.01078064,0.00031180,,,30,30,0,0,2974,6000,2,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,117.95036316,235.90072632,353.85108948,176.92554474
2,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.50433333,0.00045833,,,0.00813770,0.00104499,,,30,30,0,0,3026,6000,11,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,235.90072632,353.85108948,589.75181580,196.58393860
3,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.64300000,0.00000000,,,0.03527511,0.00000000,,,30,30,0,0,3858,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,353.85108948,471.80145264,825.65254211,206.41313553
4,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.68850000,0.00000000,,,0.02760284,0.00000000,,,30,30,0,0,4131,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,471.80145264,589.75181580,1061.55326843,212.31065369
5,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.70500000,0.00000000,,,0.03230067,0.00000000,,,30,30,0,0,4230,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,589.75181580,707.70217896,1297.45399475,216.24233246
6,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.71100000,0.00000000,,,0.03500952,0.00000000,,,30,30,0,0,4266,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,707.70217896,825.65254211,1533.35472107,219.05067444
7,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.72133333,0.00000000,,,0.03468749,0.00000000,,,30,30,0,0,4328,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,825.65254211,943.60290527,1769.25544739,221.15693092
8,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.72750000,0.00000000,,,0.03417480,0.00000000,,,30,30,0,0,4365,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,943.60290527,1061.55326843,2005.15617371,222.79513041
9,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.73000000,0.00000000,,,0.03902990,0.00000000,,,30,30,0,0,4380,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1061.55326843,1179.50363159,2241.05690002,224.10569000
