round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3036,0.00,78.63,78.63
2,0.5055,0.1013,1.5904,78.63,78.63,157.27
3,0.6598,0.1318,1.0043,78.63,78.63,157.27
4,0.7254,0.1447,0.8388,78.63,78.63,157.27
5,0.7211,0.1443,0.7684,78.63,78.63,157.27
6,0.7198,0.1439,0.7360,78.63,78.63,157.27
7,0.7324,0.1462,0.7092,78.63,78.63,157.27
8,0.7391,0.1477,0.6859,78.63,78.63,157.27
9,0.7461,0.1493,0.6653,78.63,78.63,157.27
10,0.7512,0.1499,0.6518,78.63,78.63,157.27
11,0.7570,0.1515,0.6327,78.63,78.63,157.27
12,0.7666,0.1533,0.6150,78.63,78.63,157.27
13,0.7657,0.1532,0.6082,78.63,78.63,157.27
14,0.7707,0.1545,0.5919,78.63,78.63,157.27
15,0.7827,0.1565,0.5744,78.63,78.63,157.27
16,0.7859,0.1573,0.5614,78.63,78.63,157.27
17,0.7848,0.1569,0.5567,78.63,78.63,157.27
18,0.7841,0.1570,0.5510,78.63,78.63,157.27
19,0.8011,0.1603,0.5271,78.63,78.63,157.27
20,0.7973,0.1595,0.5252,78.63,78.63,157.27
21,0.8057,0.1614,0.5082,78.63,78.63,157.27
22,0.7977,0.1596,0.5165,78.63,78.63,157.27
23,0.8002,0.1599,0.5061,78.63,78.63,157.27
24,0.8008,0.1601,0.5033,78.63,78.63,157.27
25,0.8059,0.1609,0.4983,78.63,78.63,157.27
26,0.8220,0.1642,0.4714,78.63,78.63,157.27
27,0.8149,0.1628,0.4777,78.63,78.63,157.27
28,0.8192,0.1641,0.4659,78.63,78.63,157.27
29,0.8264,0.1651,0.4534,78.63,78.63,157.27
30,0.8188,0.1638,0.4585,78.63,78.63,157.27
31,0.8259,0.1648,0.4499,78.63,78.63,157.27
32,0.8334,0.1668,0.4303,78.63,78.63,157.27
33,0.8321,0.1664,0.4322,78.63,78.63,157.27
34,0.8191,0.1636,0.4501,78.63,78.63,157.27
35,0.8241,0.1651,0.4373,78.63,78.63,157.27
36,0.8307,0.1660,0.4286,78.63,78.63,157.27
37,0.8282,0.1656,0.4309,78.63,78.63,157.27
38,0.8197,0.1641,0.4430,78.63,78.63,157.27
39,0.8289,0.1657,0.4221,78.63,78.63,157.27
40,0.8441,0.1688,0.4019,78.63,78.63,157.27
41,0.8349,0.1668,0.4160,78.63,78.63,157.27
42,0.8499,0.1699,0.3889,78.63,78.63,157.27
43,0.8512,0.1703,0.3871,78.63,78.63,157.27
44,0.8471,0.1694,0.3918,78.63,78.63,157.27
45,0.8512,0.1702,0.3848,78.63,78.63,157.27
46,0.8424,0.1685,0.3935,78.63,78.63,157.27
47,0.8435,0.1687,0.3916,78.63,78.63,157.27
48,0.8460,0.1695,0.3871,78.63,78.63,157.27
49,0.8483,0.1697,0.3783,78.63,78.63,157.27
50,0.8522,0.1706,0.3679,78.63,78.63,157.27
51,0.8484,0.1703,0.3685,78.63,78.63,157.27
52,0.8509,0.1703,0.3673,78.63,78.63,157.27
53,0.8381,0.1676,0.3923,78.63,78.63,157.27
54,0.8585,0.1723,0.3489,78.63,78.63,157.27
55,0.8456,0.1695,0.3677,78.63,78.63,157.27
56,0.8513,0.1707,0.3607,78.63,78.63,157.27
57,0.8447,0.1693,0.3745,78.63,78.63,157.27
58,0.8524,0.1706,0.3592,78.63,78.63,157.27
59,0.8452,0.1693,0.3707,78.63,78.63,157.27
60,0.8486,0.1697,0.3648,78.63,78.63,157.27
61,0.8417,0.1681,0.3761,78.63,78.63,157.27
62,0.8497,0.1701,0.3595,78.63,78.63,157.27
63,0.8583,0.1720,0.3433,78.63,78.63,157.27
64,0.8506,0.1700,0.3558,78.63,78.63,157.27
65,0.8586,0.1720,0.3364,78.63,78.63,157.27
66,0.8604,0.1724,0.3313,78.63,78.63,157.27
67,0.8633,0.1728,0.3318,78.63,78.63,157.27
68,0.8688,0.1740,0.3206,78.63,78.63,157.27
69,0.8608,0.1726,0.3301,78.63,78.63,157.27
70,0.8639,0.1732,0.3246,78.63,78.63,157.27
71,0.8583,0.1721,0.3339,78.63,78.63,157.27
72,0.8404,0.1686,0.3693,78.63,78.63,157.27
73,0.8614,0.1725,0.3301,78.63,78.63,157.27
74,0.8507,0.1704,0.3483,78.63,78.63,157.27
75,0.8645,0.1734,0.3195,78.63,78.63,157.27
76,0.8547,0.1717,0.3348,78.63,78.63,157.27
77,0.8604,0.1724,0.3316,78.63,78.63,157.27
78,0.8485,0.1706,0.3470,78.63,78.63,157.27
79,0.8674,0.1742,0.3158,78.63,78.63,157.27
80,0.8676,0.1743,0.3123,78.63,78.63,157.27
81,0.8565,0.1719,0.3316,78.63,78.63,157.27
82,0.8677,0.1740,0.3108,78.63,78.63,157.27
83,0.8686,0.1740,0.3084,78.63,78.63,157.27
84,0.8737,0.1752,0.2967,78.63,78.63,157.27
85,0.8712,0.1744,0.3004,78.63,78.63,157.27
86,0.8718,0.1750,0.2988,78.63,78.63,157.27
87,0.8715,0.1744,0.2979,78.63,78.63,157.27
88,0.8543,0.1710,0.3305,78.63,78.63,157.27
89,0.8572,0.1721,0.3213,78.63,78.63,157.27
90,0.8730,0.1749,0.2940,78.63,78.63,157.27
91,0.8612,0.1727,0.3157,78.63,78.63,157.27
92,0.8705,0.1742,0.2981,78.63,78.63,157.27
93,0.8706,0.1744,0.2970,78.63,78.63,157.27
94,0.8650,0.1737,0.3084,78.63,78.63,157.27
95,0.8707,0.1745,0.3007,78.63,78.63,157.27
96,0.8613,0.1727,0.3141,78.63,78.63,157.27
97,0.8610,0.1727,0.3106,78.63,78.63,157.27
98,0.8642,0.1732,0.3092,78.63,78.63,157.27
99,0.8600,0.1726,0.3143,78.63,78.63,157.27
100,0.8566,0.1720,0.3227,78.63,78.63,157.27
101,0.8704,0.1743,0.2931,78.63,78.63,157.27
