round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3036,0.00,196.58,196.58
2,0.2005,,2.2507,196.58,196.58,393.17
3,0.2890,,2.0289,196.58,196.58,393.17
4,0.3491,,1.6825,196.58,196.58,393.17
5,0.3822,,1.3951,196.58,196.58,393.17
6,0.3919,,1.1826,196.58,196.58,393.17
7,0.3960,,1.0295,196.58,196.58,393.17
8,0.4017,,0.9210,196.58,196.58,393.17
9,0.4060,,0.8449,196.58,196.58,393.17
10,0.4075,,0.7919,196.58,196.58,393.17
11,0.4117,,0.7518,196.58,196.58,393.17
12,0.4139,,0.7205,196.58,196.58,393.17
13,0.4177,,0.6960,196.58,196.58,393.17
14,0.4187,,0.6753,196.58,196.58,393.17
15,0.4210,,0.6572,196.58,196.58,393.17
16,0.4239,,0.6421,196.58,196.58,393.17
17,0.4246,,0.6296,196.58,196.58,393.17
18,0.4288,,0.6155,196.58,196.58,393.17
19,0.4290,,0.6047,196.58,196.58,393.17
20,0.4300,,0.5955,196.58,196.58,393.17
21,0.4332,,0.5838,196.58,196.58,393.17
22,0.4327,,0.5779,196.58,196.58,393.17
23,0.4343,,0.5671,196.58,196.58,393.17
24,0.4350,,0.5602,196.58,196.58,393.17
25,0.4368,,0.5522,196.58,196.58,393.17
26,0.4382,,0.5429,196.58,196.58,393.17
27,0.4397,,0.5343,196.58,196.58,393.17
28,0.4399,,0.5297,196.58,196.58,393.17
29,0.4404,,0.5231,196.58,196.58,393.17
30,0.4448,,0.5147,196.58,196.58,393.17
31,0.4438,,0.5106,196.58,196.58,393.17
32,0.4461,,0.5034,196.58,196.58,393.17
33,0.4457,,0.5000,196.58,196.58,393.17
34,0.4480,,0.4928,196.58,196.58,393.17
35,0.4481,,0.4898,196.58,196.58,393.17
36,0.4510,,0.4796,196.58,196.58,393.17
37,0.4514,,0.4769,196.58,196.58,393.17
38,0.4504,,0.4754,196.58,196.58,393.17
39,0.4536,,0.4656,196.58,196.58,393.17
40,0.4510,,0.4682,196.58,196.58,393.17
41,0.4531,,0.4613,196.58,196.58,393.17
42,0.4534,,0.4570,196.58,196.58,393.17
43,0.4533,,0.4564,196.58,196.58,393.17
44,0.4521,,0.4543,196.58,196.58,393.17
45,0.4562,,0.4446,196.58,196.58,393.17
46,0.4565,,0.4412,196.58,196.58,393.17
47,0.4553,,0.4436,196.58,196.58,393.17
48,0.4552,,0.4390,196.58,196.58,393.17
49,0.4562,,0.4374,196.58,196.58,393.17
50,0.4533,,0.4417,196.58,196.58,393.17
51,0.4544,,0.4356,196.58,196.58,393.17
52,0.4569,,0.4328,196.58,196.58,393.17
53,0.4548,,0.4352,196.58,196.58,393.17
54,0.4613,,0.4163,196.58,196.58,393.17
55,0.4566,,0.4247,196.58,196.58,393.17
56,0.4608,,0.4133,196.58,196.58,393.17
57,0.4600,,0.4135,196.58,196.58,393.17
58,0.4626,,0.4097,196.58,196.58,393.17
59,0.4644,,0.4004,196.58,196.58,393.17
60,0.4617,,0.4071,196.58,196.58,393.17
61,0.4671,,0.3919,196.58,196.58,393.17
62,0.4641,,0.3999,196.58,196.58,393.17
63,0.4662,,0.3945,196.58,196.58,393.17
64,0.4651,,0.3944,196.58,196.58,393.17
65,0.4669,,0.3886,196.58,196.58,393.17
66,0.4648,,0.3935,196.58,196.58,393.17
67,0.4627,,0.4027,196.58,196.58,393.17
68,0.4669,,0.3862,196.58,196.58,393.17
69,0.4662,,0.3892,196.58,196.58,393.17
70,0.4689,,0.3825,196.58,196.58,393.17
71,0.4666,,0.3841,196.58,196.58,393.17
72,0.4683,,0.3778,196.58,196.58,393.17
73,0.4708,,0.3751,196.58,196.58,393.17
74,0.4687,,0.3776,196.58,196.58,393.17
75,0.4672,,0.3830,196.58,196.58,393.17
76,0.4664,,0.3858,196.58,196.58,393.17
77,0.4711,,0.3662,196.58,196.58,393.17
78,0.4684,,0.3706,196.58,196.58,393.17
79,0.4678,,0.3746,196.58,196.58,393.17
80,0.4640,,0.3844,196.58,196.58,393.17
81,0.4677,,0.3721,196.58,196.58,393.17
82,0.4710,,0.3679,196.58,196.58,393.17
83,0.4718,,0.3624,196.58,196.58,393.17
84,0.4710,,0.3599,196.58,196.58,393.17
85,0.4658,,0.3748,196.58,196.58,393.17
86,0.4728,,0.3565,196.58,196.58,393.17
87,0.4688,,0.3637,196.58,196.58,393.17
88,0.4754,,0.3452,196.58,196.58,393.17
89,0.4711,,0.3636,196.58,196.58,393.17
90,0.4725,,0.3534,196.58,196.58,393.17
91,0.4736,,0.3500,196.58,196.58,393.17
92,0.4674,,0.3734,196.58,196.58,393.17
93,0.4754,,0.3469,196.58,196.58,393.17
94,0.4714,,0.3537,196.58,196.58,393.17
95,0.4745,,0.3449,196.58,196.58,393.17
96,0.4794,,0.3322,196.58,196.58,393.17
97,0.4755,,0.3410,196.58,196.58,393.17
98,0.4718,,0.3501,196.58,196.58,393.17
99,0.4767,,0.3350,196.58,196.58,393.17
100,0.4717,,0.3474,196.58,196.58,393.17
101,0.4748,,0.3409,196.58,196.58,393.17
