round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3036,0.00,0.00,0.00
2,0.1323,0.1065,1.5196,196.58,196.58,393.17
3,0.1162,0.1091,1.0173,196.58,196.58,393.17
4,0.1202,0.1136,0.8407,196.58,196.58,393.17
5,0.1249,0.1174,0.7212,196.58,196.58,393.17
6,0.1324,0.1214,0.6561,196.58,196.58,393.17
7,0.1370,0.1247,0.6223,196.58,196.58,393.17
8,0.1465,0.1279,0.5927,196.58,196.58,393.17
9,0.1401,0.1265,0.5672,196.58,196.58,393.17
10,0.1494,0.1306,0.5541,196.58,196.58,393.17
11,0.1554,0.1325,0.5399,196.58,196.58,393.17
12,0.1595,0.1339,0.5302,196.58,196.58,393.17
13,0.1642,0.1377,0.5194,196.58,196.58,393.17
14,0.1517,0.1404,0.5092,196.58,196.58,393.17
15,0.1651,0.1409,0.5037,196.58,196.58,393.17
16,0.1666,0.1407,0.4925,196.58,196.58,393.17
17,0.1660,0.1433,0.4924,196.58,196.58,393.17
18,0.1676,0.1449,0.4828,196.58,196.58,393.17
19,0.1653,0.1471,0.4732,196.58,196.58,393.17
20,0.1717,0.1486,0.4698,196.58,196.58,393.17
21,0.1687,0.1491,0.4711,196.58,196.58,393.17
22,0.1638,0.1488,0.4642,196.58,196.58,393.17
23,0.1642,0.1520,0.4575,196.58,196.58,393.17
24,0.1620,0.1521,0.4714,196.58,196.58,393.17
25,0.1746,0.1548,0.4570,196.58,196.58,393.17
26,0.1712,0.1506,0.4520,196.58,196.58,393.17
27,0.1793,0.1553,0.4693,196.58,196.58,393.17
28,0.1796,0.1549,0.4339,196.58,196.58,393.17
29,0.1782,0.1586,0.4369,196.58,196.58,393.17
30,0.1722,0.1576,0.4344,196.58,196.58,393.17
31,0.1803,0.1577,0.4370,196.58,196.58,393.17
32,0.1781,0.1586,0.4283,196.58,196.58,393.17
33,0.1843,0.1621,0.4259,196.58,196.58,393.17
