round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3019,,,,,,,0.00,0.00,0.00
2,0.1001,,2.0356,,,,,,,117.95,117.95,235.90
3,0.1257,,1.3559,,,,,,,117.95,117.95,235.90
4,0.1434,,0.8527,,,,,,,117.95,117.95,235.90
5,0.1476,,0.6943,,,,,,,117.95,117.95,235.90
6,0.1487,,0.6303,,,,,,,117.95,117.95,235.90
7,0.1491,,0.5926,,,,,,,117.95,117.95,235.90
8,0.1507,,0.5684,,,,,,,117.95,117.95,235.90
9,0.1524,,0.5495,,,,,,,117.95,117.95,235.90
10,0.1517,,0.5357,,,,,,,117.95,117.95,235.90
11,0.1530,,0.5222,,,,,,,117.95,117.95,235.90
12,0.1533,,0.5133,,,,,,,117.95,117.95,235.90
13,0.1538,,0.5038,,,,,,,117.95,117.95,235.90
14,0.1550,,0.4965,,,,,,,117.95,117.95,235.90
15,0.1560,,0.4867,,,,,,,117.95,117.95,235.90
16,0.1564,,0.4799,,,,,,,117.95,117.95,235.90
17,0.1564,,0.4717,,,,,,,117.95,117.95,235.90
18,0.1571,,0.4646,,,,,,,117.95,117.95,235.90
19,0.1561,,0.4646,,,,,,,117.95,117.95,235.90
20,0.1562,,0.4567,,,,,,,117.95,117.95,235.90
21,0.1576,,0.4510,,,,,,,117.95,117.95,235.90
22,0.1578,,0.4450,,,,,,,117.95,117.95,235.90
23,0.1584,,0.4396,,,,,,,117.95,117.95,235.90
24,0.1587,,0.4346,,,,,,,117.95,117.95,235.90
25,0.1584,,0.4297,,,,,,,117.95,117.95,235.90
26,0.1576,,0.4369,,,,,,,117.95,117.95,235.90
27,0.1582,,0.4310,,,,,,,117.95,117.95,235.90
28,0.1585,,0.4263,,,,,,,117.95,117.95,235.90
29,0.1570,,0.4391,,,,,,,117.95,117.95,235.90
30,0.1592,,0.4230,,,,,,,117.95,117.95,235.90
31,0.1579,,0.4305,,,,,,,117.95,117.95,235.90
32,0.1573,,0.4384,,,,,,,117.95,117.95,235.90
33,0.1566,,0.4286,,,,,,,117.95,117.95,235.90
34,0.1600,,0.4142,,,,,,,117.95,117.95,235.90
35,0.1576,,0.4321,,,,,,,117.95,117.95,235.90
36,0.1594,,0.4212,,,,,,,117.95,117.95,235.90
37,0.1573,,0.4243,,,,,,,117.95,117.95,235.90
38,0.1598,,0.4208,,,,,,,117.95,117.95,235.90
39,0.1591,,0.4148,,,,,,,117.95,117.95,235.90
40,0.1604,,0.4107,,,,,,,117.95,117.95,235.90
41,0.1596,,0.4118,,,,,,,117.95,117.95,235.90
42,0.1592,,0.4076,,,,,,,117.95,117.95,235.90
43,0.1573,,0.4229,,,,,,,117.95,117.95,235.90
44,0.1573,,0.4239,,,,,,,117.95,117.95,235.90
45,0.1597,,0.4036,,,,,,,117.95,117.95,235.90
46,0.1598,,0.4040,,,,,,,117.95,117.95,235.90
47,0.1602,,0.3985,,,,,,,117.95,117.95,235.90
48,0.1607,,0.3969,,,,,,,117.95,117.95,235.90
49,0.1610,,0.3951,,,,,,,117.95,117.95,235.90
50,0.1582,,0.4097,,,,,,,117.95,117.95,235.90
51,0.1576,,0.4080,,,,,,,117.95,117.95,235.90
52,0.1362,,1.4057,,,,,,,117.95,117.95,235.90
53,0.1537,,0.5515,,,,,,,196.58,196.58,393.17
54,0.1545,,0.4902,,,,,,,196.58,196.58,393.17
55,0.1551,,0.4784,,,,,,,196.58,196.58,393.17
56,0.1559,,0.4790,,,,,,,196.58,196.58,393.17
57,0.1554,,0.4695,,,,,,,196.58,196.58,393.17
58,0.1576,,0.4530,,,,,,,196.58,196.58,393.17
59,0.1566,,0.4515,,,,,,,196.58,196.58,393.17
60,0.1572,,0.4509,,,,,,,196.58,196.58,393.17
61,0.1573,,0.4464,,,,,,,196.58,196.58,393.17
62,0.1551,,0.4493,,,,,,,196.58,196.58,393.17
63,0.1575,,0.4444,,,,,,,196.58,196.58,393.17
64,0.1569,,0.4401,,,,,,,196.58,196.58,393.17
65,0.1565,,0.4470,,,,,,,196.58,196.58,393.17
66,0.1568,,0.4371,,,,,,,196.58,196.58,393.17
67,0.1586,,0.4263,,,,,,,196.58,196.58,393.17
68,0.1578,,0.4296,,,,,,,196.58,196.58,393.17
69,0.1588,,0.4222,,,,,,,196.58,196.58,393.17
70,0.1588,,0.4194,,,,,,,196.58,196.58,393.17
71,0.1574,,0.4243,,,,,,,196.58,196.58,393.17
72,0.1587,,0.4194,,,,,,,196.58,196.58,393.17
73,0.1589,,0.4125,,,,,,,196.58,196.58,393.17
74,0.1595,,0.4079,,,,,,,196.58,196.58,393.17
75,0.1607,,0.4058,,,,,,,196.58,196.58,393.17
76,0.1601,,0.4064,,,,,,,196.58,196.58,393.17
77,0.1594,,0.4013,,,,,,,196.58,196.58,393.17
78,0.1591,,0.4109,,,,,,,196.58,196.58,393.17
79,0.1602,,0.3986,,,,,,,196.58,196.58,393.17
80,0.1601,,0.3937,,,,,,,196.58,196.58,393.17
81,0.1611,,0.3962,,,,,,,196.58,196.58,393.17
82,0.1589,,0.3938,,,,,,,196.58,196.58,393.17
83,0.1606,,0.4010,,,,,,,196.58,196.58,393.17
84,0.1593,,0.3961,,,,,,,196.58,196.58,393.17
85,0.1580,,0.4055,,,,,,,196.58,196.58,393.17
86,0.1601,,0.3881,,,,,,,196.58,196.58,393.17
87,0.1608,,0.3875,,,,,,,196.58,196.58,393.17
88,0.1599,,0.3872,,,,,,,196.58,196.58,393.17
89,0.1611,,0.3804,,,,,,,196.58,196.58,393.17
90,0.1607,,0.3837,,,,,,,196.58,196.58,393.17
91,0.1630,,0.3696,,,,,,,196.58,196.58,393.17
92,0.1608,,0.3810,,,,,,,196.58,196.58,393.17
93,0.1628,,0.3635,,,,,,,196.58,196.58,393.17
94,0.1597,,0.3859,,,,,,,196.58,196.58,393.17
95,0.1623,,0.3780,,,,,,,196.58,196.58,393.17
96,0.1631,,0.3569,,,,,,,196.58,196.58,393.17
97,0.1624,,0.3550,,,,,,,196.58,196.58,393.17
98,0.1634,,0.3527,,,,,,,196.58,196.58,393.17
99,0.1624,,0.3699,,,,,,,196.58,196.58,393.17
100,0.1620,,0.3606,,,,,,,196.58,196.58,393.17
101,0.1597,,0.3875,,,,,,,196.58,196.58,393.17
