round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.50033333,0.00000000,,,0.00124722,0.00000000,,,30,30,0,0,3002,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,117.95036316,117.95036316,235.90072632,117.95036316
2,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.62866667,0.00000000,,,0.06410842,0.00000000,,,30,30,0,0,3772,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,235.90072632,235.90072632,471.80145264,157.26715088
3,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.71716667,0.00000000,,,0.03310799,0.00000000,,,30,30,0,0,4303,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,353.85108948,353.85108948,707.70217896,176.92554474
4,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.73816667,0.00000000,,,0.05065378,0.00000000,,,30,30,0,0,4429,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,471.80145264,471.80145264,943.60290527,188.72058105
5,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.74366667,0.00000000,,,0.04567883,0.00000000,,,30,30,0,0,4462,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,589.75181580,589.75181580,1179.50363159,196.58393860
6,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.74533333,0.00000000,,,0.04762586,0.00000000,,,30,30,0,0,4472,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,707.70217896,707.70217896,1415.40435791,202.20062256
7,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.75366667,0.00000000,,,0.05152561,0.00000000,,,30,30,0,0,4522,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,825.65254211,825.65254211,1651.30508423,206.41313553
8,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76216667,0.00000000,,,0.05617952,0.00000000,,,30,30,0,0,4573,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,943.60290527,943.60290527,1887.20581055,209.68953451
9,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.75866667,0.00000000,,,0.04979848,0.00000000,,,30,30,0,0,4552,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1061.55326843,1061.55326843,2123.10653687,212.31065369
10,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76500000,0.00000000,,,0.05927338,0.00000000,,,30,30,0,0,4590,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1179.50363159,1179.50363159,2359.00726318,214.45520574
11,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76666667,0.00000000,,,0.06167568,0.00000000,,,30,30,0,0,4600,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1297.45399475,1297.45399475,2594.90798950,216.24233246
12,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76916667,0.00000000,,,0.06384987,0.00000000,,,30,30,0,0,4615,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1415.40435791,1415.40435791,2830.80871582,217.75451660
13,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.77516667,0.00000000,,,0.06308042,0.00000000,,,30,30,0,0,4651,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1533.35472107,1533.35472107,3066.70944214,219.05067444
14,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78016667,0.00000000,,,0.05797246,0.00000000,,,30,30,0,0,4681,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1651.30508423,1651.30508423,3302.61016846,220.17401123
15,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78183333,0.00000000,,,0.06147470,0.00000000,,,30,30,0,0,4691,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1769.25544739,1769.25544739,3538.51089478,221.15693092
16,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78200000,0.00000000,,,0.06462198,0.00000000,,,30,30,0,0,4692,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1887.20581055,1887.20581055,3774.41162109,222.02421301
17,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78533333,0.00000000,,,0.06094989,0.00000000,,,30,30,0,0,4712,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2005.15617371,2005.15617371,4010.31234741,222.79513041
18,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78033333,0.00000000,,,0.06434197,0.00000000,,,30,30,0,0,4682,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2123.10653687,2123.10653687,4246.21307373,223.48489862
19,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78116667,0.00000000,,,0.06973382,0.00000000,,,30,30,0,0,4687,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2241.05690002,2241.05690002,4482.11380005,224.10569000
20,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78816667,0.00000000,,,0.06340982,0.00000000,,,30,30,0,0,4729,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2359.00726318,2359.00726318,4718.01452637,224.66735840
21,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78916667,0.00000000,,,0.06447329,0.00000000,,,30,30,0,0,4735,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2476.95762634,2476.95762634,4953.91525269,225.17796603
22,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.79200000,0.00000000,,,0.06504614,0.00000000,,,30,30,0,0,4752,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2594.90798950,2594.90798950,5189.81597900,225.64417300
23,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.79366667,0.00000000,,,0.06373033,0.00000000,,,30,30,0,0,4762,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2712.85835266,2712.85835266,5425.71670532,226.07152939
24,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.79216667,0.00000000,,,0.06925416,0.00000000,,,30,30,0,0,4753,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2830.80871582,2830.80871582,5661.61743164,226.46469727
25,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78800000,0.00000000,,,0.06987608,0.00000000,,,30,30,0,0,4728,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2948.75907898,2948.75907898,5897.51815796,226.82762146
26,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.79083333,0.00000000,,,0.06561356,0.00000000,,,30,30,0,0,4745,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,3066.70944214,3066.70944214,6133.41888428,227.16366238
27,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.79233333,0.00000000,,,0.06869902,0.00000000,,,30,30,0,0,4754,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,3184.65980530,3184.65980530,6369.31961060,227.47570038
28,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78500000,0.00000000,,,0.06654572,0.00000000,,,30,30,0,0,4710,6000,0,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,3302.61016846,3302.61016846,6605.22033691,227.76621851
