round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3032,0.00,0.00,0.00
2,0.6937,0.1387,1.0224,78.63,78.63,157.27
3,0.7607,0.1522,0.6033,78.63,78.63,157.27
4,0.7736,0.1546,0.5431,78.63,78.63,157.27
5,0.7864,0.1572,0.5052,78.63,78.63,157.27
6,0.7953,0.1587,0.4776,78.63,78.63,157.27
7,0.7959,0.1593,0.4582,78.63,78.63,157.27
8,0.8079,0.1619,0.4319,78.63,78.63,157.27
9,0.8159,0.1633,0.4109,78.63,78.63,157.27
10,0.8131,0.1625,0.4128,78.63,78.63,157.27
11,0.8172,0.1636,0.3977,78.63,78.63,157.27
12,0.8184,0.1637,0.3911,78.63,78.63,157.27
13,0.8142,0.1626,0.4061,78.63,78.63,157.27
14,0.8265,0.1659,0.3707,78.63,78.63,157.27
15,0.8300,0.1661,0.3641,78.63,78.63,157.27
16,0.8252,0.1657,0.3667,78.63,78.63,157.27
17,0.8276,0.1652,0.3688,78.63,78.63,157.27
18,0.8287,0.1656,0.3606,78.63,78.63,157.27
19,0.8279,0.1652,0.3659,78.63,78.63,157.27
20,0.8355,0.1675,0.3427,78.63,78.63,157.27
21,0.8275,0.1661,0.3582,78.63,78.63,157.27
22,0.8343,0.1668,0.3464,78.63,78.63,157.27
23,0.8358,0.1664,0.3515,78.63,78.63,157.27
24,0.8400,0.1681,0.3370,78.63,78.63,157.27
25,0.8343,0.1669,0.3509,78.63,78.63,157.27
26,0.8444,0.1686,0.3333,78.63,78.63,157.27
27,0.8263,0.1659,0.3429,78.63,78.63,157.27
28,0.8295,0.1664,0.3427,78.63,78.63,157.27
29,0.8479,0.1693,0.3162,78.63,78.63,157.27
30,0.8441,0.1688,0.3227,78.63,78.63,157.27
31,0.8398,0.1679,0.3217,78.63,78.63,157.27
32,0.8509,0.1704,0.3027,78.63,78.63,157.27
33,0.8363,0.1679,0.3295,78.63,78.63,157.27
34,0.8454,0.1697,0.3116,78.63,78.63,157.27
35,0.8424,0.1676,0.3335,78.63,78.63,157.27
36,0.8452,0.1683,0.3164,78.63,78.63,157.27
37,0.8392,0.1672,0.3242,78.63,78.63,157.27
38,0.8426,0.1675,0.3256,78.63,78.63,157.27
39,0.8369,0.1677,0.3257,78.63,78.63,157.27
40,0.8370,0.1677,0.3302,78.63,78.63,157.27
41,0.8495,0.1693,0.3124,78.63,78.63,157.27
42,0.8551,0.1711,0.2991,78.63,78.63,157.27
43,0.8561,0.1701,0.2957,78.63,78.63,157.27
44,0.8508,0.1690,0.3125,78.63,78.63,157.27
45,0.8549,0.1711,0.2967,78.63,78.63,157.27
46,0.8406,0.1686,0.3165,78.63,78.63,157.27
47,0.8471,0.1690,0.3087,78.63,78.63,157.27
48,0.8377,0.1673,0.3139,78.63,78.63,157.27
49,0.8469,0.1692,0.3050,78.63,78.63,157.27
50,0.8507,0.1698,0.2913,78.63,78.63,157.27
51,0.8313,0.1656,0.3358,78.63,78.63,157.27
52,0.8619,0.1712,0.2830,78.63,78.63,157.27
53,0.8631,0.1715,0.2742,78.63,78.63,157.27
54,0.8498,0.1699,0.2993,78.63,78.63,157.27
55,0.8714,0.1735,0.2604,78.63,78.63,157.27
56,0.8574,0.1720,0.2725,78.63,78.63,157.27
57,0.8465,0.1692,0.3069,78.63,78.63,157.27
58,0.8456,0.1693,0.2927,78.63,78.63,157.27
59,0.8550,0.1710,0.2917,78.63,78.63,157.27
60,0.8468,0.1689,0.3214,78.63,78.63,157.27
61,0.8710,0.1737,0.2527,78.63,78.63,157.27
62,0.8599,0.1720,0.2816,78.63,78.63,157.27
63,0.8329,0.1670,0.3297,78.63,78.63,157.27
64,0.8577,0.1706,0.2844,78.63,78.63,157.27
65,0.8445,0.1694,0.2891,78.63,78.63,157.27
66,0.8505,0.1704,0.2767,78.63,78.63,157.27
67,0.8363,0.1673,0.3183,78.63,78.63,157.27
68,0.8546,0.1714,0.2818,78.63,78.63,157.27
69,0.8629,0.1721,0.2597,78.63,78.63,157.27
70,0.8736,0.1744,0.2409,78.63,78.63,157.27
71,0.8460,0.1696,0.2967,78.63,78.63,157.27
72,0.8653,0.1736,0.2558,78.63,78.63,157.27
73,0.8602,0.1721,0.2661,78.63,78.63,157.27
74,0.8619,0.1727,0.2515,78.63,78.63,157.27
75,0.8669,0.1731,0.2455,78.63,78.63,157.27
76,0.8816,0.1764,0.2227,78.63,78.63,157.27
77,0.8690,0.1740,0.2461,78.63,78.63,157.27
78,0.8638,0.1732,0.2448,78.63,78.63,157.27
79,0.8619,0.1728,0.2515,78.63,78.63,157.27
80,0.8713,0.1743,0.2402,78.63,78.63,157.27
81,0.8719,0.1739,0.2392,78.63,78.63,157.27
82,0.8773,0.1755,0.2239,78.63,78.63,157.27
83,0.8773,0.1746,0.2332,78.63,78.63,157.27
84,0.8739,0.1745,0.2266,78.63,78.63,157.27
85,0.8623,0.1725,0.2463,78.63,78.63,157.27
