round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1001,,2.3032,0.00,0.00,0.00
2,0.4169,,2.0471,196.58,196.58,393.17
3,0.5290,,1.3967,196.58,196.58,393.17
4,0.6151,,0.8812,196.58,196.58,393.17
5,0.6226,,0.7105,196.58,196.58,393.17
6,0.6272,,0.6420,196.58,196.58,393.17
7,0.6288,,0.5997,196.58,196.58,393.17
8,0.6340,,0.5718,196.58,196.58,393.17
9,0.6372,,0.5515,196.58,196.58,393.17
10,0.6405,,0.5350,196.58,196.58,393.17
11,0.6422,,0.5220,196.58,196.58,393.17
12,0.6449,,0.5114,196.58,196.58,393.17
13,0.6492,,0.4999,196.58,196.58,393.17
14,0.6514,,0.4910,196.58,196.58,393.17
15,0.6558,,0.4803,196.58,196.58,393.17
16,0.6596,,0.4697,196.58,196.58,393.17
17,0.6592,,0.4629,196.58,196.58,393.17
18,0.6613,,0.4556,196.58,196.58,393.17
19,0.6632,,0.4484,196.58,196.58,393.17
20,0.6671,,0.4399,196.58,196.58,393.17
21,0.6698,,0.4312,196.58,196.58,393.17
22,0.6704,,0.4260,196.58,196.58,393.17
23,0.6699,,0.4223,196.58,196.58,393.17
24,0.6731,,0.4173,196.58,196.58,393.17
25,0.6734,,0.4121,196.58,196.58,393.17
26,0.6716,,0.4124,196.58,196.58,393.17
27,0.6721,,0.4093,196.58,196.58,393.17
28,0.6735,,0.4060,196.58,196.58,393.17
29,0.6774,,0.4003,196.58,196.58,393.17
30,0.6742,,0.4005,196.58,196.58,393.17
31,0.6741,,0.3979,196.58,196.58,393.17
32,0.6736,,0.4005,196.58,196.58,393.17
33,0.6677,,0.4090,196.58,196.58,393.17
34,0.6812,,0.3859,196.58,196.58,393.17
35,0.6753,,0.3954,196.58,196.58,393.17
36,0.6806,,0.3827,196.58,196.58,393.17
37,0.6826,,0.3812,196.58,196.58,393.17
38,0.6837,,0.3788,196.58,196.58,393.17
39,0.6843,,0.3786,196.58,196.58,393.17
40,0.6772,,0.3895,196.58,196.58,393.17
41,0.6797,,0.3830,196.58,196.58,393.17
42,0.6803,,0.3768,196.58,196.58,393.17
43,0.6809,,0.3759,196.58,196.58,393.17
44,0.6811,,0.3743,196.58,196.58,393.17
45,0.6811,,0.3764,196.58,196.58,393.17
46,0.6792,,0.3750,196.58,196.58,393.17
47,0.6794,,0.3809,196.58,196.58,393.17
48,0.6887,,0.3576,196.58,196.58,393.17
49,0.6830,,0.3737,196.58,196.58,393.17
50,0.6839,,0.3649,196.58,196.58,393.17
51,0.6878,,0.3593,196.58,196.58,393.17
52,0.6871,,0.3577,196.58,196.58,393.17
53,0.6904,,0.3548,196.58,196.58,393.17
54,0.6910,,0.3484,196.58,196.58,393.17
55,0.6859,,0.3578,196.58,196.58,393.17
56,0.6841,,0.3579,196.58,196.58,393.17
57,0.6923,,0.3456,196.58,196.58,393.17
58,0.6838,,0.3658,196.58,196.58,393.17
59,0.6907,,0.3504,196.58,196.58,393.17
60,0.6892,,0.3510,196.58,196.58,393.17
61,0.6919,,0.3447,196.58,196.58,393.17
62,0.6879,,0.3480,196.58,196.58,393.17
63,0.6919,,0.3424,196.58,196.58,393.17
64,0.6874,,0.3504,196.58,196.58,393.17
65,0.6938,,0.3355,196.58,196.58,393.17
66,0.6902,,0.3483,196.58,196.58,393.17
67,0.6918,,0.3398,196.58,196.58,393.17
68,0.6887,,0.3451,196.58,196.58,393.17
69,0.6960,,0.3322,196.58,196.58,393.17
70,0.6949,,0.3365,196.58,196.58,393.17
71,0.6978,,0.3293,196.58,196.58,393.17
72,0.6936,,0.3304,196.58,196.58,393.17
73,0.6892,,0.3461,196.58,196.58,393.17
74,0.6874,,0.3493,196.58,196.58,393.17
75,0.6899,,0.3398,196.58,196.58,393.17
76,0.6898,,0.3496,196.58,196.58,393.17
77,0.6962,,0.3323,196.58,196.58,393.17
78,0.6931,,0.3357,196.58,196.58,393.17
79,0.6854,,0.3431,196.58,196.58,393.17
80,0.7011,,0.3222,196.58,196.58,393.17
81,0.6963,,0.3296,196.58,196.58,393.17
82,0.6863,,0.3448,196.58,196.58,393.17
83,0.6910,,0.3372,196.58,196.58,393.17
84,0.6889,,0.3416,196.58,196.58,393.17
85,0.6910,,0.3334,196.58,196.58,393.17
86,0.7047,,0.3131,196.58,196.58,393.17
87,0.6965,,0.3233,196.58,196.58,393.17
88,0.6884,,0.3452,196.58,196.58,393.17
89,0.6916,,0.3416,196.58,196.58,393.17
90,0.7004,,0.3151,196.58,196.58,393.17
91,0.6950,,0.3292,196.58,196.58,393.17
92,0.6957,,0.3295,196.58,196.58,393.17
93,0.6958,,0.3303,196.58,196.58,393.17
94,0.7026,,0.3112,196.58,196.58,393.17
95,0.7006,,0.3125,196.58,196.58,393.17
96,0.6978,,0.3257,196.58,196.58,393.17
97,0.6996,,0.3169,196.58,196.58,393.17
98,0.6971,,0.3165,196.58,196.58,393.17
99,0.6957,,0.3258,196.58,196.58,393.17
100,0.6935,,0.3308,196.58,196.58,393.17
101,0.7017,,0.3085,196.58,196.58,393.17
