round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3032,0.00,78.63,78.63
2,0.1145,0.1247,2.0826,78.63,78.63,157.27
3,0.1697,0.1632,2.1304,78.63,78.63,157.27
4,0.2080,0.1862,2.1755,78.63,78.63,157.27
5,0.2199,0.2006,2.1970,78.63,78.63,157.27
6,0.2236,0.2147,2.2071,78.63,78.63,157.27
7,0.2265,0.2233,2.2054,78.63,78.63,157.27
8,0.2288,0.2281,2.2077,78.63,78.63,157.27
9,0.2426,0.2369,2.2119,78.63,78.63,157.27
10,0.2364,0.2386,2.2098,78.63,78.63,157.27
11,0.2409,0.2432,2.2113,78.63,78.63,157.27
12,0.2477,0.2452,2.2184,78.63,78.63,157.27
13,0.2510,0.2483,2.2159,78.63,78.63,157.27
14,0.2490,0.2498,2.2160,78.63,78.63,157.27
15,0.2512,0.2506,2.2262,78.63,78.63,157.27
16,0.2513,0.2530,2.2225,78.63,78.63,157.27
17,0.2626,0.2562,2.2286,78.63,78.63,157.27
18,0.2565,0.2552,2.2292,78.63,78.63,157.27
19,0.2601,0.2563,2.2259,78.63,78.63,157.27
20,0.2595,0.2592,2.2243,78.63,78.63,157.27
21,0.2571,0.2569,2.2300,78.63,78.63,157.27
22,0.2679,0.2567,2.2315,78.63,78.63,157.27
23,0.2631,0.2608,2.2284,78.63,78.63,157.27
24,0.2611,0.2595,2.2267,78.63,78.63,157.27
25,0.2706,0.2626,2.2122,78.63,78.63,157.27
26,0.2674,0.2619,2.2305,78.63,78.63,157.27
27,0.2760,0.2654,2.2167,78.63,78.63,157.27
28,0.2787,0.2697,2.2209,78.63,78.63,157.27
29,0.2822,0.2675,2.2143,78.63,78.63,157.27
30,0.2760,0.2655,2.2347,78.63,78.63,157.27
31,0.2796,0.2705,2.2242,78.63,78.63,157.27
32,0.2816,0.2754,2.1964,78.63,78.63,157.27
33,0.2845,0.2777,2.2014,78.63,78.63,157.27
34,0.2875,0.2842,2.1654,78.63,78.63,157.27
35,0.2859,0.2802,2.1824,78.63,78.63,157.27
36,0.2906,0.2837,2.1903,78.63,78.63,157.27
37,0.2842,0.2846,2.1793,78.63,78.63,157.27
38,0.2926,0.2863,2.1730,78.63,78.63,157.27
39,0.2883,0.2875,2.1950,78.63,78.63,157.27
40,0.2880,0.2940,2.1653,78.63,78.63,157.27
41,0.2876,0.2836,2.2026,78.63,78.63,157.27
42,0.2816,0.2850,2.1789,78.63,78.63,157.27
43,0.2885,0.2876,2.1837,78.63,78.63,157.27
44,0.2841,0.2884,2.1776,78.63,78.63,157.27
45,0.2930,0.2925,2.1570,78.63,78.63,157.27
46,0.2963,0.2988,2.1478,78.63,78.63,157.27
47,0.2883,0.2899,2.1961,78.63,78.63,157.27
48,0.2981,0.2935,2.1694,78.63,78.63,157.27
49,0.2943,0.2937,2.1804,78.63,78.63,157.27
50,0.2941,0.2992,2.1600,78.63,78.63,157.27
51,0.2787,0.2979,2.1508,78.63,78.63,157.27
52,0.2846,0.2963,2.1530,78.63,78.63,157.27
53,0.2969,0.3001,2.1404,78.63,78.63,157.27
54,0.2917,0.2966,2.1596,78.63,78.63,157.27
55,0.2975,0.3000,2.1417,78.63,78.63,157.27
56,0.2934,0.2964,2.1608,78.63,78.63,157.27
57,0.2905,0.3007,2.1320,78.63,78.63,157.27
58,0.2858,0.2953,2.1734,78.63,78.63,157.27
59,0.2855,0.3010,2.1353,78.63,78.63,157.27
60,0.3022,0.3089,2.1139,78.63,78.63,157.27
61,0.2964,0.3096,2.1194,78.63,78.63,157.27
62,0.2893,0.3025,2.1454,78.63,78.63,157.27
63,0.2976,0.3063,2.1201,78.63,78.63,157.27
64,0.3003,0.3059,2.1202,78.63,78.63,157.27
65,0.2884,0.3011,2.1369,78.63,78.63,157.27
66,0.2984,0.3047,2.1308,78.63,78.63,157.27
67,0.2995,0.3073,2.1463,78.63,78.63,157.27
68,0.2975,0.3087,2.1375,78.63,78.63,157.27
69,0.2871,0.3007,2.1672,78.63,78.63,157.27
70,0.2876,0.3105,2.1294,78.63,78.63,157.27
71,0.3024,0.3103,2.1254,78.63,78.63,157.27
72,0.2935,0.2989,2.1850,78.63,78.63,157.27
73,0.3084,0.3088,2.1255,78.63,78.63,157.27
74,0.2891,0.3110,2.1298,78.63,78.63,157.27
75,0.2914,0.3110,2.1158,78.63,78.63,157.27
76,0.2949,0.3114,2.1173,78.63,78.63,157.27
77,0.2967,0.3097,2.1314,78.63,78.63,157.27
78,0.2916,0.3093,2.1259,78.63,78.63,157.27
79,0.2951,0.3147,2.1244,78.63,78.63,157.27
80,0.2923,0.3103,2.1324,78.63,78.63,157.27
81,0.2979,0.3124,2.1115,78.63,78.63,157.27
82,0.2907,0.3088,2.1197,78.63,78.63,157.27
83,0.2995,0.3130,2.1175,78.63,78.63,157.27
84,0.2847,0.3075,2.1328,78.63,78.63,157.27
85,0.3009,0.3172,2.1015,78.63,78.63,157.27
86,0.3035,0.3106,2.1312,78.63,78.63,157.27
87,0.3035,0.3131,2.1272,78.63,78.63,157.27
88,0.2970,0.3137,2.0965,78.63,78.63,157.27
89,0.2950,0.3097,2.1421,78.63,78.63,157.27
90,0.2960,0.3146,2.1076,78.63,78.63,157.27
91,0.3055,0.3182,2.0988,78.63,78.63,157.27
92,0.2953,0.3186,2.1001,78.63,78.63,157.27
93,0.2931,0.3114,2.0898,78.63,78.63,157.27
94,0.3104,0.3194,2.0761,78.63,78.63,157.27
95,0.2964,0.3186,2.0957,78.63,78.63,157.27
96,0.3127,0.3226,2.0746,78.63,78.63,157.27
97,0.2990,0.3199,2.0979,78.63,78.63,157.27
98,0.3059,0.3141,2.1401,78.63,78.63,157.27
99,0.3092,0.3153,2.1321,78.63,78.63,157.27
100,0.3188,0.3153,2.1169,78.63,78.63,157.27
101,0.3125,0.3147,2.1183,78.63,78.63,157.27
