round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3019,,,,,,,0.00,117.95,117.95
2,0.1117,,2.2383,,,,,,,117.95,117.95,235.90
3,0.1319,,2.0231,,,,,,,117.95,117.95,235.90
4,0.1675,,1.8337,,,,,,,117.95,117.95,235.90
5,0.1841,,1.7458,,,,,,,117.95,117.95,235.90
6,0.1898,,1.7019,,,,,,,117.95,117.95,235.90
7,0.1933,,1.6732,,,,,,,117.95,117.95,235.90
8,0.1990,,1.6526,,,,,,,117.95,117.95,235.90
9,0.2027,,1.6357,,,,,,,117.95,117.95,235.90
10,0.2078,,1.6221,,,,,,,117.95,117.95,235.90
11,0.2119,,1.6099,,,,,,,117.95,117.95,235.90
12,0.2127,,1.5990,,,,,,,117.95,117.95,235.90
13,0.2137,,1.5898,,,,,,,117.95,117.95,235.90
14,0.2126,,1.5810,,,,,,,117.95,117.95,235.90
15,0.2111,,1.5738,,,,,,,117.95,117.95,235.90
16,0.2089,,1.5664,,,,,,,117.95,117.95,235.90
17,0.2066,,1.5597,,,,,,,117.95,117.95,235.90
18,0.2065,,1.5529,,,,,,,117.95,117.95,235.90
19,0.2055,,1.5460,,,,,,,117.95,117.95,235.90
20,0.2042,,1.5408,,,,,,,117.95,117.95,235.90
21,0.2021,,1.5358,,,,,,,117.95,117.95,235.90
22,0.2019,,1.5299,,,,,,,117.95,117.95,235.90
23,0.2020,,1.5244,,,,,,,117.95,117.95,235.90
24,0.2007,,1.5202,,,,,,,117.95,117.95,235.90
25,0.1997,,1.5159,,,,,,,117.95,117.95,235.90
26,0.1986,,1.5111,,,,,,,117.95,117.95,235.90
27,0.1987,,1.5066,,,,,,,117.95,117.95,235.90
28,0.1980,,1.5028,,,,,,,117.95,117.95,235.90
29,0.1968,,1.4996,,,,,,,117.95,117.95,235.90
30,0.1981,,1.4959,,,,,,,117.95,117.95,235.90
31,0.1989,,1.4901,,,,,,,117.95,117.95,235.90
32,0.1972,,1.4875,,,,,,,117.95,117.95,235.90
33,0.1991,,1.4830,,,,,,,117.95,117.95,235.90
34,0.2006,,1.4779,,,,,,,117.95,117.95,235.90
35,0.2018,,1.4751,,,,,,,117.95,117.95,235.90
36,0.2029,,1.4694,,,,,,,117.95,117.95,235.90
37,0.2017,,1.4697,,,,,,,117.95,117.95,235.90
38,0.2028,,1.4636,,,,,,,117.95,117.95,235.90
39,0.2017,,1.4633,,,,,,,117.95,117.95,235.90
40,0.2011,,1.4604,,,,,,,117.95,117.95,235.90
41,0.2042,,1.4548,,,,,,,117.95,117.95,235.90
42,0.2030,,1.4546,,,,,,,117.95,117.95,235.90
43,0.2033,,1.4494,,,,,,,117.95,117.95,235.90
44,0.2091,,1.4399,,,,,,,117.95,117.95,235.90
45,0.1993,,1.4498,,,,,,,117.95,117.95,235.90
46,0.2036,,1.4410,,,,,,,117.95,117.95,235.90
47,0.2054,,1.4379,,,,,,,117.95,117.95,235.90
48,0.2073,,1.4328,,,,,,,117.95,117.95,235.90
49,0.2090,,1.4241,,,,,,,117.95,117.95,235.90
50,0.2090,,1.4228,,,,,,,117.95,117.95,235.90
51,0.2094,,1.4190,,,,,,,117.95,117.95,235.90
52,0.1650,,1.8175,,,,,,,117.95,196.58,314.53
53,0.1590,,2.2799,,,,,,,196.58,196.58,393.17
54,0.1703,,2.4128,,,,,,,196.58,196.58,393.17
55,0.1875,,2.1830,,,,,,,196.58,196.58,393.17
56,0.1982,,2.0675,,,,,,,196.58,196.58,393.17
57,0.2112,,2.0438,,,,,,,196.58,196.58,393.17
58,0.2150,,2.0343,,,,,,,196.58,196.58,393.17
59,0.2167,,2.0301,,,,,,,196.58,196.58,393.17
60,0.2210,,2.0242,,,,,,,196.58,196.58,393.17
61,0.2246,,2.0194,,,,,,,196.58,196.58,393.17
62,0.2282,,2.0112,,,,,,,196.58,196.58,393.17
63,0.2280,,2.0122,,,,,,,196.58,196.58,393.17
64,0.2295,,2.0074,,,,,,,196.58,196.58,393.17
65,0.2347,,2.0028,,,,,,,196.58,196.58,393.17
66,0.2343,,1.9981,,,,,,,196.58,196.58,393.17
67,0.2356,,1.9927,,,,,,,196.58,196.58,393.17
68,0.2368,,1.9911,,,,,,,196.58,196.58,393.17
69,0.2368,,1.9878,,,,,,,196.58,196.58,393.17
70,0.2410,,1.9845,,,,,,,196.58,196.58,393.17
71,0.2434,,1.9785,,,,,,,196.58,196.58,393.17
72,0.2448,,1.9775,,,,,,,196.58,196.58,393.17
73,0.2457,,1.9723,,,,,,,196.58,196.58,393.17
74,0.2480,,1.9702,,,,,,,196.58,196.58,393.17
75,0.2505,,1.9649,,,,,,,196.58,196.58,393.17
76,0.2528,,1.9614,,,,,,,196.58,196.58,393.17
77,0.2560,,1.9584,,,,,,,196.58,196.58,393.17
78,0.2566,,1.9563,,,,,,,196.58,196.58,393.17
79,0.2580,,1.9522,,,,,,,196.58,196.58,393.17
80,0.2583,,1.9488,,,,,,,196.58,196.58,393.17
81,0.2620,,1.9441,,,,,,,196.58,196.58,393.17
82,0.2659,,1.9383,,,,,,,196.58,196.58,393.17
83,0.2629,,1.9403,,,,,,,196.58,196.58,393.17
84,0.2670,,1.9389,,,,,,,196.58,196.58,393.17
85,0.2694,,1.9337,,,,,,,196.58,196.58,393.17
86,0.2702,,1.9289,,,,,,,196.58,196.58,393.17
87,0.2742,,1.9236,,,,,,,196.58,196.58,393.17
88,0.2753,,1.9178,,,,,,,196.58,196.58,393.17
89,0.2757,,1.9151,,,,,,,196.58,196.58,393.17
90,0.2786,,1.9101,,,,,,,196.58,196.58,393.17
91,0.2808,,1.9040,,,,,,,196.58,196.58,393.17
92,0.2836,,1.8989,,,,,,,196.58,196.58,393.17
93,0.2840,,1.8956,,,,,,,196.58,196.58,393.17
94,0.2863,,1.8928,,,,,,,196.58,196.58,393.17
95,0.2867,,1.8915,,,,,,,196.58,196.58,393.17
96,0.2862,,1.8907,,,,,,,196.58,196.58,393.17
97,0.2902,,1.8864,,,,,,,196.58,196.58,393.17
98,0.2918,,1.8818,,,,,,,196.58,196.58,393.17
99,0.2941,,1.8739,,,,,,,196.58,196.58,393.17
100,0.2932,,1.8750,,,,,,,196.58,196.58,393.17
101,0.2912,,1.8781,,,,,,,196.58,196.58,393.17
