round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,117.95036316,117.95036316,0.00000000,117.95036316,117.95036316,117.95036316
1,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.33050000,0.05704167,,,0.22266324,0.05409625,,,30,30,0,0,1983,6000,1369,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,117.95036316,235.90072632,353.85108948,176.92554474
2,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.43666667,0.05579167,,,0.07570043,0.02476238,,,30,30,0,0,2620,6000,1339,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,235.90072632,353.85108948,589.75181580,196.58393860
3,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41066667,0.10679167,,,0.11910593,0.03615171,,,30,30,0,0,2464,6000,2563,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,353.85108948,471.80145264,825.65254211,206.41313553
4,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.40516667,0.12870833,,,0.14843901,0.03386629,,,30,30,0,0,2431,6000,3089,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,471.80145264,589.75181580,1061.55326843,212.31065369
5,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.40333333,0.13650000,,,0.14869058,0.02967954,,,30,30,0,0,2420,6000,3276,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,589.75181580,707.70217896,1297.45399475,216.24233246
6,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.40666667,0.13987500,,,0.14655109,0.02795523,,,30,30,0,0,2440,6000,3357,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,707.70217896,825.65254211,1533.35472107,219.05067444
7,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.40833333,0.14666667,,,0.14082101,0.02881936,,,30,30,0,0,2450,6000,3520,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,825.65254211,943.60290527,1769.25544739,221.15693092
8,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41416667,0.14987500,,,0.13935616,0.02901212,,,30,30,0,0,2485,6000,3597,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,943.60290527,1061.55326843,2005.15617371,222.79513041
9,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41866667,0.15512500,,,0.13715522,0.03004224,,,30,30,0,0,2512,6000,3723,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1061.55326843,1179.50363159,2241.05690002,224.10569000
10,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41983333,0.15987500,,,0.13629920,0.03139856,,,30,30,0,0,2519,6000,3837,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1179.50363159,1297.45399475,2476.95762634,225.17796603
11,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42133333,0.16050000,,,0.13303467,0.03243359,,,30,30,0,0,2528,6000,3852,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1297.45399475,1415.40435791,2712.85835266,226.07152939
12,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42983333,0.15966667,,,0.13126616,0.03104589,,,30,30,0,0,2579,6000,3832,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1415.40435791,1533.35472107,2948.75907898,226.82762146
13,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.43066667,0.15804167,,,0.12949088,0.03259551,,,30,30,0,0,2584,6000,3793,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1533.35472107,1651.30508423,3184.65980530,227.47570038
