round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3036,0.00,196.58,196.58
2,0.1986,0.0970,2.3123,196.58,196.58,393.17
3,0.2846,0.1366,2.2894,196.58,196.58,393.17
4,0.3102,0.1756,2.2374,196.58,196.58,393.17
5,0.2985,0.1895,2.2077,196.58,196.58,393.17
6,0.2988,0.1996,2.1911,196.58,196.58,393.17
7,0.2971,0.2082,2.1792,196.58,196.58,393.17
8,0.2975,0.2152,2.1698,196.58,196.58,393.17
9,0.2947,0.2202,2.1616,196.58,196.58,393.17
10,0.2928,0.2262,2.1538,196.58,196.58,393.17
11,0.2946,0.2305,2.1463,196.58,196.58,393.17
12,0.2960,0.2344,2.1391,196.58,196.58,393.17
13,0.2964,0.2366,2.1325,196.58,196.58,393.17
14,0.2973,0.2401,2.1256,196.58,196.58,393.17
15,0.2982,0.2430,2.1194,196.58,196.58,393.17
16,0.3008,0.2450,2.1134,196.58,196.58,393.17
17,0.3035,0.2482,2.1074,196.58,196.58,393.17
18,0.3061,0.2496,2.1013,196.58,196.58,393.17
19,0.3092,0.2519,2.0959,196.58,196.58,393.17
20,0.3110,0.2535,2.0900,196.58,196.58,393.17
21,0.3138,0.2564,2.0852,196.58,196.58,393.17
22,0.3173,0.2587,2.0800,196.58,196.58,393.17
23,0.3180,0.2610,2.0747,196.58,196.58,393.17
24,0.3210,0.2623,2.0696,196.58,196.58,393.17
25,0.3227,0.2641,2.0648,196.58,196.58,393.17
26,0.3252,0.2648,2.0603,196.58,196.58,393.17
27,0.3297,0.2668,2.0551,196.58,196.58,393.17
28,0.3330,0.2689,2.0504,196.58,196.58,393.17
29,0.3332,0.2709,2.0449,196.58,196.58,393.17
30,0.3350,0.2722,2.0399,196.58,196.58,393.17
31,0.3383,0.2738,2.0359,196.58,196.58,393.17
32,0.3433,0.2749,2.0314,196.58,196.58,393.17
33,0.3407,0.2754,2.0270,196.58,196.58,393.17
34,0.3434,0.2778,2.0221,196.58,196.58,393.17
35,0.3439,0.2786,2.0172,196.58,196.58,393.17
36,0.3446,0.2800,2.0119,196.58,196.58,393.17
37,0.3477,0.2813,2.0078,196.58,196.58,393.17
38,0.3496,0.2798,2.0050,196.58,196.58,393.17
39,0.3514,0.2830,1.9995,196.58,196.58,393.17
40,0.3550,0.2838,1.9957,196.58,196.58,393.17
41,0.3508,0.2857,1.9901,196.58,196.58,393.17
42,0.3584,0.2851,1.9877,196.58,196.58,393.17
43,0.3590,0.2851,1.9835,196.58,196.58,393.17
44,0.3589,0.2879,1.9785,196.58,196.58,393.17
45,0.3592,0.2881,1.9743,196.58,196.58,393.17
46,0.3611,0.2905,1.9692,196.58,196.58,393.17
47,0.3671,0.2889,1.9674,196.58,196.58,393.17
48,0.3680,0.2934,1.9604,196.58,196.58,393.17
49,0.3683,0.2922,1.9580,196.58,196.58,393.17
