round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3030,0.00,196.58,196.58
2,0.1543,,2.3090,196.58,196.58,393.17
3,0.1797,,2.2895,196.58,196.58,393.17
4,0.2135,,2.2482,196.58,196.58,393.17
5,0.2222,,2.2232,196.58,196.58,393.17
6,0.2279,,2.2079,196.58,196.58,393.17
7,0.2341,,2.1965,196.58,196.58,393.17
8,0.2353,,2.1868,196.58,196.58,393.17
9,0.2373,,2.1783,196.58,196.58,393.17
10,0.2387,,2.1703,196.58,196.58,393.17
11,0.2416,,2.1630,196.58,196.58,393.17
12,0.2422,,2.1558,196.58,196.58,393.17
13,0.2435,,2.1490,196.58,196.58,393.17
14,0.2474,,2.1425,196.58,196.58,393.17
15,0.2502,,2.1361,196.58,196.58,393.17
16,0.2535,,2.1298,196.58,196.58,393.17
17,0.2569,,2.1236,196.58,196.58,393.17
18,0.2595,,2.1178,196.58,196.58,393.17
19,0.2625,,2.1121,196.58,196.58,393.17
20,0.2637,,2.1067,196.58,196.58,393.17
21,0.2664,,2.1012,196.58,196.58,393.17
22,0.2708,,2.0959,196.58,196.58,393.17
23,0.2740,,2.0906,196.58,196.58,393.17
24,0.2773,,2.0853,196.58,196.58,393.17
25,0.2807,,2.0802,196.58,196.58,393.17
26,0.2822,,2.0749,196.58,196.58,393.17
27,0.2862,,2.0693,196.58,196.58,393.17
28,0.2898,,2.0645,196.58,196.58,393.17
29,0.2925,,2.0593,196.58,196.58,393.17
30,0.2956,,2.0539,196.58,196.58,393.17
31,0.2999,,2.0494,196.58,196.58,393.17
32,0.3030,,2.0439,196.58,196.58,393.17
33,0.3060,,2.0391,196.58,196.58,393.17
34,0.3069,,2.0343,196.58,196.58,393.17
35,0.3086,,2.0287,196.58,196.58,393.17
36,0.3097,,2.0232,196.58,196.58,393.17
37,0.3126,,2.0187,196.58,196.58,393.17
38,0.3136,,2.0144,196.58,196.58,393.17
39,0.3177,,2.0088,196.58,196.58,393.17
40,0.3176,,2.0034,196.58,196.58,393.17
41,0.3187,,2.0000,196.58,196.58,393.17
42,0.3195,,1.9946,196.58,196.58,393.17
43,0.3198,,1.9899,196.58,196.58,393.17
44,0.3217,,1.9852,196.58,196.58,393.17
45,0.3226,,1.9799,196.58,196.58,393.17
46,0.3261,,1.9759,196.58,196.58,393.17
47,0.3274,,1.9729,196.58,196.58,393.17
48,0.3273,,1.9677,196.58,196.58,393.17
49,0.3289,,1.9650,196.58,196.58,393.17
50,0.3301,,1.9604,196.58,196.58,393.17
51,0.3299,,1.9570,196.58,196.58,393.17
52,0.3312,,1.9543,196.58,196.58,393.17
53,0.3312,,1.9507,196.58,196.58,393.17
54,0.3326,,1.9457,196.58,196.58,393.17
55,0.3327,,1.9407,196.58,196.58,393.17
56,0.3332,,1.9394,196.58,196.58,393.17
57,0.3340,,1.9345,196.58,196.58,393.17
58,0.3340,,1.9308,196.58,196.58,393.17
59,0.3344,,1.9269,196.58,196.58,393.17
60,0.3366,,1.9255,196.58,196.58,393.17
61,0.3366,,1.9215,196.58,196.58,393.17
62,0.3374,,1.9211,196.58,196.58,393.17
63,0.3373,,1.9185,196.58,196.58,393.17
64,0.3396,,1.9145,196.58,196.58,393.17
65,0.3390,,1.9107,196.58,196.58,393.17
66,0.3392,,1.9062,196.58,196.58,393.17
67,0.3414,,1.9053,196.58,196.58,393.17
68,0.3412,,1.9035,196.58,196.58,393.17
69,0.3401,,1.9018,196.58,196.58,393.17
70,0.3399,,1.8957,196.58,196.58,393.17
71,0.3430,,1.8918,196.58,196.58,393.17
72,0.3429,,1.8900,196.58,196.58,393.17
73,0.3446,,1.8876,196.58,196.58,393.17
74,0.3418,,1.8874,196.58,196.58,393.17
75,0.3455,,1.8834,196.58,196.58,393.17
76,0.3448,,1.8787,196.58,196.58,393.17
77,0.3453,,1.8782,196.58,196.58,393.17
78,0.3476,,1.8693,196.58,196.58,393.17
79,0.3468,,1.8669,196.58,196.58,393.17
80,0.3498,,1.8666,196.58,196.58,393.17
81,0.3494,,1.8628,196.58,196.58,393.17
82,0.3527,,1.8666,196.58,196.58,393.17
83,0.3503,,1.8640,196.58,196.58,393.17
84,0.3512,,1.8592,196.58,196.58,393.17
85,0.3518,,1.8551,196.58,196.58,393.17
86,0.3563,,1.8563,196.58,196.58,393.17
87,0.3534,,1.8552,196.58,196.58,393.17
88,0.3538,,1.8505,196.58,196.58,393.17
89,0.3528,,1.8481,196.58,196.58,393.17
90,0.3547,,1.8447,196.58,196.58,393.17
91,0.3548,,1.8431,196.58,196.58,393.17
92,0.3547,,1.8380,196.58,196.58,393.17
93,0.3555,,1.8362,196.58,196.58,393.17
94,0.3562,,1.8325,196.58,196.58,393.17
95,0.3565,,1.8329,196.58,196.58,393.17
96,0.3595,,1.8311,196.58,196.58,393.17
97,0.3593,,1.8306,196.58,196.58,393.17
98,0.3584,,1.8267,196.58,196.58,393.17
99,0.3576,,1.8241,196.58,196.58,393.17
100,0.3595,,1.8211,196.58,196.58,393.17
101,0.3634,,1.8206,196.58,196.58,393.17
