round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,78.63,78.63
2,0.1756,0.1431,2.2116,78.63,78.63,157.27
3,0.2452,0.2128,2.1133,78.63,78.63,157.27
4,0.2656,0.2396,2.0514,78.63,78.63,157.27
5,0.2738,0.2551,2.0023,78.63,78.63,157.27
6,0.2865,0.2709,1.9617,78.63,78.63,157.27
7,0.2905,0.2805,1.9240,78.63,78.63,157.27
8,0.2987,0.2911,1.8898,78.63,78.63,157.27
9,0.3051,0.2982,1.8645,78.63,78.63,157.27
10,0.3131,0.3081,1.8407,78.63,78.63,157.27
11,0.3193,0.3127,1.8247,78.63,78.63,157.27
12,0.3250,0.3202,1.8113,78.63,78.63,157.27
13,0.3279,0.3235,1.8089,78.63,78.63,157.27
14,0.3343,0.3294,1.7977,78.63,78.63,157.27
15,0.3434,0.3391,1.7829,78.63,78.63,157.27
16,0.3473,0.3446,1.7701,78.63,78.63,157.27
17,0.3544,0.3514,1.7685,78.63,78.63,157.27
18,0.3564,0.3511,1.7675,78.63,78.63,157.27
19,0.3604,0.3596,1.7598,78.63,78.63,157.27
20,0.3665,0.3649,1.7495,78.63,78.63,157.27
21,0.3749,0.3715,1.7407,78.63,78.63,157.27
22,0.3770,0.3757,1.7328,78.63,78.63,157.27
23,0.3802,0.3855,1.7284,78.63,78.63,157.27
24,0.3863,0.3899,1.7243,78.63,78.63,157.27
25,0.3967,0.3981,1.7029,78.63,78.63,157.27
26,0.3997,0.4012,1.6929,78.63,78.63,157.27
27,0.4085,0.4036,1.6901,78.63,78.63,157.27
28,0.4129,0.4155,1.6775,78.63,78.63,157.27
29,0.4194,0.4188,1.6777,78.63,78.63,157.27
30,0.4267,0.4302,1.6503,78.63,78.63,157.27
31,0.4241,0.4289,1.6484,78.63,78.63,157.27
32,0.4308,0.4356,1.6433,78.63,78.63,157.27
33,0.4378,0.4405,1.6372,78.63,78.63,157.27
34,0.4357,0.4399,1.6491,78.63,78.63,157.27
35,0.4490,0.4509,1.6123,78.63,78.63,157.27
36,0.4480,0.4510,1.6205,78.63,78.63,157.27
37,0.4590,0.4589,1.5951,78.63,78.63,157.27
38,0.4578,0.4595,1.6035,78.63,78.63,157.27
39,0.4570,0.4575,1.6248,78.63,78.63,157.27
40,0.4677,0.4676,1.5875,78.63,78.63,157.27
41,0.4738,0.4715,1.5935,78.63,78.63,157.27
42,0.4641,0.4685,1.6032,78.63,78.63,157.27
43,0.4777,0.4781,1.5755,78.63,78.63,157.27
44,0.4647,0.4667,1.6031,78.63,78.63,157.27
45,0.4763,0.4766,1.5959,78.63,78.63,157.27
46,0.4687,0.4712,1.6089,78.63,78.63,157.27
47,0.4809,0.4827,1.5827,78.63,78.63,157.27
48,0.4784,0.4796,1.5982,78.63,78.63,157.27
49,0.4845,0.4832,1.5855,78.63,78.63,157.27
50,0.4826,0.4828,1.5933,78.63,78.63,157.27
51,0.4869,0.4881,1.5658,78.63,78.63,157.27
52,0.4886,0.4879,1.5820,78.63,78.63,157.27
53,0.4892,0.4897,1.5985,78.63,78.63,157.27
54,0.4788,0.4892,1.5858,78.63,78.63,157.27
55,0.5009,0.5013,1.5661,78.63,78.63,157.27
56,0.5081,0.5048,1.5588,78.63,78.63,157.27
57,0.5104,0.5082,1.5573,78.63,78.63,157.27
58,0.4964,0.5005,1.5499,78.63,78.63,157.27
59,0.4983,0.4979,1.5654,78.63,78.63,157.27
60,0.4951,0.5042,1.5756,78.63,78.63,157.27
61,0.5043,0.5045,1.5701,78.63,78.63,157.27
62,0.5093,0.5108,1.5691,78.63,78.63,157.27
63,0.5046,0.5084,1.5618,78.63,78.63,157.27
64,0.5283,0.5215,1.5147,78.63,78.63,157.27
65,0.5125,0.5150,1.5393,78.63,78.63,157.27
66,0.5188,0.5141,1.5386,78.63,78.63,157.27
67,0.5135,0.5163,1.5426,78.63,78.63,157.27
68,0.5107,0.5167,1.5669,78.63,78.63,157.27
69,0.5357,0.5282,1.5006,78.63,78.63,157.27
70,0.5197,0.5242,1.5211,78.63,78.63,157.27
71,0.5323,0.5265,1.5292,78.63,78.63,157.27
72,0.5217,0.5271,1.5415,78.63,78.63,157.27
73,0.5263,0.5293,1.5160,78.63,78.63,157.27
74,0.5287,0.5252,1.5470,78.63,78.63,157.27
75,0.5264,0.5274,1.5427,78.63,78.63,157.27
76,0.5196,0.5241,1.5326,78.63,78.63,157.27
77,0.5347,0.5320,1.5316,78.63,78.63,157.27
78,0.5237,0.5276,1.5332,78.63,78.63,157.27
79,0.5307,0.5335,1.5388,78.63,78.63,157.27
80,0.5378,0.5354,1.5260,78.63,78.63,157.27
81,0.5220,0.5266,1.5461,78.63,78.63,157.27
82,0.5264,0.5278,1.5719,78.63,78.63,157.27
83,0.5363,0.5342,1.5415,78.63,78.63,157.27
84,0.5315,0.5332,1.5425,78.63,78.63,157.27
85,0.5254,0.5324,1.5442,78.63,78.63,157.27
86,0.5314,0.5428,1.5174,78.63,78.63,157.27
87,0.5458,0.5470,1.5143,78.63,78.63,157.27
88,0.5264,0.5331,1.5632,78.63,78.63,157.27
89,0.5399,0.5412,1.5343,78.63,78.63,157.27
90,0.5356,0.5386,1.5525,78.63,78.63,157.27
91,0.5456,0.5481,1.5414,78.63,78.63,157.27
92,0.5498,0.5518,1.4909,78.63,78.63,157.27
93,0.5323,0.5363,1.5467,78.63,78.63,157.27
94,0.5432,0.5464,1.5152,78.63,78.63,157.27
95,0.5529,0.5551,1.4911,78.63,78.63,157.27
96,0.5435,0.5446,1.5076,78.63,78.63,157.27
97,0.5501,0.5492,1.5366,78.63,78.63,157.27
98,0.5471,0.5437,1.5325,78.63,78.63,157.27
99,0.5358,0.5474,1.5125,78.63,78.63,157.27
100,0.5394,0.5468,1.5368,78.63,78.63,157.27
101,0.5422,0.5457,1.5353,78.63,78.63,157.27
