round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3019,,,,,,,0.00,117.79,117.79
2,0.1112,,2.2376,,,,,,,117.79,117.79,235.58
3,0.1312,,2.0208,,,,,,,117.79,117.79,235.58
4,0.1663,,1.8292,,,,,,,117.79,117.79,235.58
5,0.1842,,1.7394,,,,,,,117.79,117.79,235.58
6,0.1890,,1.6935,,,,,,,117.79,117.79,235.58
7,0.1935,,1.6629,,,,,,,117.79,117.79,235.58
8,0.1974,,1.6404,,,,,,,117.79,117.79,235.58
9,0.2015,,1.6215,,,,,,,117.79,117.79,235.58
10,0.2043,,1.6060,,,,,,,117.79,117.79,235.58
11,0.2082,,1.5918,,,,,,,117.79,117.79,235.58
12,0.2095,,1.5788,,,,,,,117.79,117.79,235.58
13,0.2097,,1.5676,,,,,,,117.79,117.79,235.58
14,0.2090,,1.5567,,,,,,,117.79,117.79,235.58
15,0.2064,,1.5474,,,,,,,117.79,117.79,235.58
16,0.2046,,1.5378,,,,,,,117.79,117.79,235.58
17,0.2029,,1.5289,,,,,,,117.79,117.79,235.58
18,0.2004,,1.5200,,,,,,,117.79,117.79,235.58
19,0.2013,,1.5108,,,,,,,117.79,117.79,235.58
20,0.1993,,1.5034,,,,,,,117.79,117.79,235.58
21,0.1969,,1.4962,,,,,,,117.79,117.79,235.58
22,0.1972,,1.4881,,,,,,,117.79,117.79,235.58
23,0.1986,,1.4802,,,,,,,117.79,117.79,235.58
24,0.1972,,1.4738,,,,,,,117.79,117.79,235.58
25,0.1969,,1.4674,,,,,,,117.79,117.79,235.58
26,0.1966,,1.4600,,,,,,,117.79,117.79,235.58
27,0.1976,,1.4532,,,,,,,117.79,117.79,235.58
28,0.1969,,1.4472,,,,,,,117.79,117.79,235.58
29,0.1942,,1.4413,,,,,,,117.79,117.79,235.58
30,0.1948,,1.4352,,,,,,,117.79,117.79,235.58
31,0.1967,,1.4270,,,,,,,117.79,117.79,235.58
32,0.1952,,1.4222,,,,,,,117.79,117.79,235.58
33,0.1967,,1.4150,,,,,,,117.79,117.79,235.58
34,0.1989,,1.4069,,,,,,,117.79,117.79,235.58
35,0.1973,,1.4018,,,,,,,117.79,117.79,235.58
36,0.1986,,1.3934,,,,,,,117.79,117.79,235.58
37,0.1971,,1.3914,,,,,,,117.79,117.79,235.58
