round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,117.78923035,117.78923035,0.00000000,117.78923035,117.78923035,117.78923035
1,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.33183333,0.05608333,,,0.22250275,0.05394223,,,30,30,0,0,1991,6000,1346,24000,0,0,0,0,117.78923035,117.78923035,235.57846069,117.78923035,235.57846069,353.36769104,176.68384552
2,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.43850000,0.05441667,,,0.07412995,0.02415388,,,30,30,0,0,2631,6000,1306,24000,0,0,0,0,117.78923035,117.78923035,235.57846069,235.57846069,353.36769104,588.94615173,196.31538391
3,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41700000,0.10358333,,,0.12005277,0.03477567,,,30,30,0,0,2502,6000,2486,24000,0,0,0,0,117.78923035,117.78923035,235.57846069,353.36769104,471.15692139,824.52461243,206.13115311
4,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41916667,0.12550000,,,0.15039993,0.03349534,,,30,30,0,0,2515,6000,3012,24000,0,0,0,0,117.78923035,117.78923035,235.57846069,471.15692139,588.94615173,1060.10307312,212.02061462
5,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41716667,0.13191667,,,0.14875418,0.02891390,,,30,30,0,0,2503,6000,3166,24000,0,0,0,0,117.78923035,117.78923035,235.57846069,588.94615173,706.73538208,1295.68153381,215.94692230
6,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42616667,0.13537500,,,0.14644500,0.02734454,,,30,30,0,0,2557,6000,3249,24000,0,0,0,0,117.78923035,117.78923035,235.57846069,706.73538208,824.52461243,1531.25999451,218.75142779
7,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42566667,0.14033333,,,0.13980184,0.02668671,,,30,30,0,0,2554,6000,3368,24000,0,0,0,0,117.78923035,117.78923035,235.57846069,824.52461243,942.31384277,1766.83845520,220.85480690
8,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.43700000,0.14258333,,,0.13787434,0.02630734,,,30,30,0,0,2622,6000,3422,24000,0,0,0,0,117.78923035,117.78923035,235.57846069,942.31384277,1060.10307312,2002.41691589,222.49076843
9,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.43900000,0.14562500,,,0.13357520,0.02650029,,,30,30,0,0,2634,6000,3495,24000,0,0,0,0,117.78923035,117.78923035,235.57846069,1060.10307312,1177.89230347,2237.99537659,223.79953766
