round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3032,0.00,78.63,78.63
2,0.4983,0.1042,2.2012,78.63,78.63,157.27
3,0.4654,0.1434,2.1569,78.63,78.63,157.27
4,0.4297,0.1718,2.1542,78.63,78.63,157.27
5,0.3994,0.1910,2.1505,78.63,78.63,157.27
6,0.3832,0.2052,2.1460,78.63,78.63,157.27
7,0.3699,0.2184,2.1369,78.63,78.63,157.27
8,0.3641,0.2289,2.1285,78.63,78.63,157.27
9,0.3653,0.2378,2.1176,78.63,78.63,157.27
10,0.3640,0.2440,2.1091,78.63,78.63,157.27
11,0.3618,0.2477,2.0991,78.63,78.63,157.27
12,0.3682,0.2487,2.0880,78.63,78.63,157.27
13,0.3715,0.2516,2.0782,78.63,78.63,157.27
14,0.3689,0.2571,2.0655,78.63,78.63,157.27
15,0.3715,0.2552,2.0571,78.63,78.63,157.27
16,0.3689,0.2582,2.0455,78.63,78.63,157.27
17,0.3715,0.2598,2.0366,78.63,78.63,157.27
18,0.3819,0.2599,2.0279,78.63,78.63,157.27
19,0.3806,0.2625,2.0196,78.63,78.63,157.27
20,0.3753,0.2692,2.0081,78.63,78.63,157.27
21,0.3786,0.2686,2.0000,78.63,78.63,157.27
22,0.3783,0.2710,1.9932,78.63,78.63,157.27
23,0.3760,0.2759,1.9824,78.63,78.63,157.27
24,0.3845,0.2757,1.9768,78.63,78.63,157.27
25,0.3846,0.2782,1.9684,78.63,78.63,157.27
26,0.3840,0.2799,1.9622,78.63,78.63,157.27
27,0.3882,0.2831,1.9551,78.63,78.63,157.27
28,0.3927,0.2808,1.9520,78.63,78.63,157.27
29,0.3988,0.2863,1.9403,78.63,78.63,157.27
30,0.3943,0.2894,1.9313,78.63,78.63,157.27
31,0.3981,0.2870,1.9306,78.63,78.63,157.27
32,0.4071,0.2872,1.9272,78.63,78.63,157.27
33,0.3960,0.2980,1.9124,78.63,78.63,157.27
34,0.3976,0.2975,1.9038,78.63,78.63,157.27
35,0.4015,0.2973,1.9021,78.63,78.63,157.27
36,0.4043,0.2983,1.8979,78.63,78.63,157.27
37,0.4102,0.2961,1.8967,78.63,78.63,157.27
38,0.4056,0.2988,1.8926,78.63,78.63,157.27
39,0.4126,0.2940,1.8928,78.63,78.63,157.27
40,0.3960,0.3041,1.8818,78.63,78.63,157.27
41,0.4029,0.3051,1.8721,78.63,78.63,157.27
42,0.4101,0.3086,1.8639,78.63,78.63,157.27
43,0.4106,0.3108,1.8599,78.63,78.63,157.27
44,0.4029,0.3119,1.8529,78.63,78.63,157.27
45,0.4282,0.3017,1.8682,78.63,78.63,157.27
46,0.4083,0.3077,1.8560,78.63,78.63,157.27
47,0.4202,0.3120,1.8453,78.63,78.63,157.27
48,0.4071,0.3169,1.8315,78.63,78.63,157.27
49,0.4218,0.3155,1.8314,78.63,78.63,157.27
50,0.4007,0.3163,1.8317,78.63,78.63,157.27
51,0.4205,0.3172,1.8242,78.63,78.63,157.27
52,0.4188,0.3131,1.8346,78.63,78.63,157.27
53,0.4111,0.3178,1.8150,78.63,78.63,157.27
54,0.4269,0.3149,1.8219,78.63,78.63,157.27
55,0.4333,0.3173,1.8183,78.63,78.63,157.27
56,0.4239,0.3202,1.8066,78.63,78.63,157.27
57,0.4114,0.3203,1.8030,78.63,78.63,157.27
58,0.4318,0.3211,1.7976,78.63,78.63,157.27
59,0.4290,0.3220,1.7956,78.63,78.63,157.27
60,0.4398,0.3203,1.7908,78.63,78.63,157.27
61,0.4449,0.3149,1.8119,78.63,78.63,157.27
62,0.4245,0.3237,1.7794,78.63,78.63,157.27
63,0.4254,0.3279,1.7736,78.63,78.63,157.27
64,0.4290,0.3265,1.7747,78.63,78.63,157.27
65,0.4272,0.3305,1.7674,78.63,78.63,157.27
66,0.4305,0.3343,1.7642,78.63,78.63,157.27
67,0.4369,0.3288,1.7715,78.63,78.63,157.27
68,0.4415,0.3230,1.7787,78.63,78.63,157.27
69,0.4358,0.3299,1.7603,78.63,78.63,157.27
70,0.4496,0.3224,1.7733,78.63,78.63,157.27
71,0.4237,0.3434,1.7423,78.63,78.63,157.27
72,0.4320,0.3356,1.7492,78.63,78.63,157.27
73,0.4353,0.3301,1.7459,78.63,78.63,157.27
74,0.4328,0.3344,1.7378,78.63,78.63,157.27
75,0.4470,0.3299,1.7425,78.63,78.63,157.27
76,0.4231,0.3370,1.7324,78.63,78.63,157.27
77,0.4367,0.3398,1.7269,78.63,78.63,157.27
78,0.4335,0.3414,1.7156,78.63,78.63,157.27
79,0.4407,0.3417,1.7159,78.63,78.63,157.27
80,0.4399,0.3380,1.7204,78.63,78.63,157.27
81,0.4572,0.3392,1.7132,78.63,78.63,157.27
82,0.4476,0.3438,1.7045,78.63,78.63,157.27
83,0.4570,0.3386,1.7247,78.63,78.63,157.27
84,0.4574,0.3378,1.7188,78.63,78.63,157.27
85,0.4372,0.3468,1.6977,78.63,78.63,157.27
86,0.4444,0.3422,1.6980,78.63,78.63,157.27
87,0.4456,0.3451,1.7011,78.63,78.63,157.27
88,0.4512,0.3464,1.6956,78.63,78.63,157.27
89,0.4560,0.3319,1.7218,78.63,78.63,157.27
90,0.4620,0.3457,1.6869,78.63,78.63,157.27
91,0.4520,0.3510,1.6750,78.63,78.63,157.27
92,0.4651,0.3472,1.6844,78.63,78.63,157.27
93,0.4558,0.3469,1.6765,78.63,78.63,157.27
94,0.4544,0.3558,1.6572,78.63,78.63,157.27
95,0.4758,0.3424,1.6781,78.63,78.63,157.27
96,0.4537,0.3513,1.6638,78.63,78.63,157.27
97,0.4560,0.3478,1.6702,78.63,78.63,157.27
98,0.4705,0.3387,1.6806,78.63,78.63,157.27
99,0.4697,0.3473,1.6630,78.63,78.63,157.27
100,0.4639,0.3457,1.6639,78.63,78.63,157.27
101,0.4736,0.3391,1.6672,78.63,78.63,157.27
