round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1001,,2.3032,0.00,196.58,196.58
2,0.2424,,2.3068,196.58,196.58,393.17
3,0.3829,,2.2785,196.58,196.58,393.17
4,0.3636,,2.2315,196.58,196.58,393.17
5,0.3421,,2.2029,196.58,196.58,393.17
6,0.3297,,2.1871,196.58,196.58,393.17
7,0.3218,,2.1756,196.58,196.58,393.17
8,0.3165,,2.1674,196.58,196.58,393.17
9,0.3118,,2.1602,196.58,196.58,393.17
10,0.3090,,2.1534,196.58,196.58,393.17
11,0.3070,,2.1472,196.58,196.58,393.17
12,0.3066,,2.1415,196.58,196.58,393.17
13,0.3070,,2.1355,196.58,196.58,393.17
14,0.3056,,2.1302,196.58,196.58,393.17
15,0.3055,,2.1247,196.58,196.58,393.17
16,0.3054,,2.1194,196.58,196.58,393.17
17,0.3068,,2.1134,196.58,196.58,393.17
18,0.3079,,2.1079,196.58,196.58,393.17
19,0.3106,,2.1024,196.58,196.58,393.17
20,0.3128,,2.0968,196.58,196.58,393.17
21,0.3132,,2.0914,196.58,196.58,393.17
22,0.3169,,2.0865,196.58,196.58,393.17
23,0.3199,,2.0818,196.58,196.58,393.17
24,0.3217,,2.0770,196.58,196.58,393.17
25,0.3231,,2.0713,196.58,196.58,393.17
26,0.3250,,2.0661,196.58,196.58,393.17
27,0.3298,,2.0616,196.58,196.58,393.17
28,0.3336,,2.0561,196.58,196.58,393.17
29,0.3343,,2.0519,196.58,196.58,393.17
30,0.3342,,2.0466,196.58,196.58,393.17
31,0.3375,,2.0416,196.58,196.58,393.17
32,0.3380,,2.0374,196.58,196.58,393.17
33,0.3394,,2.0319,196.58,196.58,393.17
34,0.3395,,2.0266,196.58,196.58,393.17
35,0.3427,,2.0216,196.58,196.58,393.17
36,0.3434,,2.0172,196.58,196.58,393.17
37,0.3450,,2.0130,196.58,196.58,393.17
38,0.3473,,2.0078,196.58,196.58,393.17
39,0.3459,,2.0027,196.58,196.58,393.17
40,0.3495,,1.9972,196.58,196.58,393.17
41,0.3494,,1.9939,196.58,196.58,393.17
42,0.3520,,1.9899,196.58,196.58,393.17
43,0.3508,,1.9845,196.58,196.58,393.17
44,0.3546,,1.9815,196.58,196.58,393.17
45,0.3551,,1.9758,196.58,196.58,393.17
46,0.3573,,1.9701,196.58,196.58,393.17
47,0.3592,,1.9645,196.58,196.58,393.17
48,0.3578,,1.9620,196.58,196.58,393.17
49,0.3585,,1.9568,196.58,196.58,393.17
50,0.3611,,1.9521,196.58,196.58,393.17
51,0.3643,,1.9492,196.58,196.58,393.17
52,0.3646,,1.9464,196.58,196.58,393.17
53,0.3659,,1.9449,196.58,196.58,393.17
54,0.3667,,1.9386,196.58,196.58,393.17
55,0.3697,,1.9356,196.58,196.58,393.17
56,0.3700,,1.9336,196.58,196.58,393.17
57,0.3698,,1.9275,196.58,196.58,393.17
58,0.3698,,1.9244,196.58,196.58,393.17
59,0.3742,,1.9216,196.58,196.58,393.17
60,0.3741,,1.9172,196.58,196.58,393.17
61,0.3764,,1.9158,196.58,196.58,393.17
62,0.3739,,1.9121,196.58,196.58,393.17
63,0.3792,,1.9110,196.58,196.58,393.17
64,0.3756,,1.9043,196.58,196.58,393.17
65,0.3795,,1.9015,196.58,196.58,393.17
66,0.3833,,1.9001,196.58,196.58,393.17
67,0.3820,,1.8928,196.58,196.58,393.17
68,0.3849,,1.8952,196.58,196.58,393.17
69,0.3870,,1.8912,196.58,196.58,393.17
70,0.3860,,1.8915,196.58,196.58,393.17
71,0.3827,,1.8849,196.58,196.58,393.17
72,0.3868,,1.8816,196.58,196.58,393.17
73,0.3847,,1.8809,196.58,196.58,393.17
74,0.3895,,1.8783,196.58,196.58,393.17
75,0.3899,,1.8733,196.58,196.58,393.17
76,0.3892,,1.8730,196.58,196.58,393.17
77,0.3899,,1.8701,196.58,196.58,393.17
78,0.3892,,1.8659,196.58,196.58,393.17
79,0.3928,,1.8654,196.58,196.58,393.17
80,0.3927,,1.8624,196.58,196.58,393.17
81,0.3933,,1.8594,196.58,196.58,393.17
82,0.3968,,1.8585,196.58,196.58,393.17
83,0.3974,,1.8604,196.58,196.58,393.17
84,0.3977,,1.8587,196.58,196.58,393.17
85,0.3921,,1.8475,196.58,196.58,393.17
86,0.3975,,1.8472,196.58,196.58,393.17
87,0.3996,,1.8480,196.58,196.58,393.17
88,0.3994,,1.8459,196.58,196.58,393.17
89,0.3929,,1.8390,196.58,196.58,393.17
90,0.3990,,1.8298,196.58,196.58,393.17
91,0.3994,,1.8310,196.58,196.58,393.17
92,0.3986,,1.8290,196.58,196.58,393.17
93,0.4023,,1.8307,196.58,196.58,393.17
94,0.3991,,1.8262,196.58,196.58,393.17
95,0.4029,,1.8298,196.58,196.58,393.17
96,0.4028,,1.8252,196.58,196.58,393.17
97,0.4006,,1.8212,196.58,196.58,393.17
98,0.3992,,1.8136,196.58,196.58,393.17
99,0.4049,,1.8180,196.58,196.58,393.17
100,0.4049,,1.8146,196.58,196.58,393.17
101,0.4061,,1.8119,196.58,196.58,393.17
