round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,0.0000,,,,,,,0.00,0.00,0.00
2,0.1001,,0.0000,,,,,,,133.13,133.13,266.25
3,0.1006,,0.0000,,,,,,,133.13,133.13,266.25
4,0.1189,,0.0000,,,,,,,133.13,133.13,266.25
5,0.1370,,0.0000,,,,,,,133.13,133.13,266.25
6,0.1410,,0.0000,,,,,,,133.13,133.13,266.25
7,0.1430,,0.0000,,,,,,,133.13,133.13,266.25
8,0.1452,,0.0000,,,,,,,133.13,133.13,266.25
9,0.1463,,0.0000,,,,,,,133.13,133.13,266.25
10,0.1470,,0.0000,,,,,,,133.13,133.13,266.25
11,0.1474,,0.0000,,,,,,,133.13,133.13,266.25
12,0.1476,,0.0000,,,,,,,133.13,133.13,266.25
13,0.1484,,0.0000,,,,,,,133.13,133.13,266.25
14,0.1492,,0.0000,,,,,,,133.13,133.13,266.25
15,0.1496,,0.0000,,,,,,,133.13,133.13,266.25
16,0.1509,,0.0000,,,,,,,133.13,133.13,266.25
17,0.1505,,0.0000,,,,,,,133.13,133.13,266.25
18,0.1513,,0.0000,,,,,,,133.13,133.13,266.25
19,0.1518,,0.0000,,,,,,,133.13,133.13,266.25
20,0.1523,,0.0000,,,,,,,133.13,133.13,266.25
21,0.1527,,0.0000,,,,,,,133.13,133.13,266.25
22,0.1527,,0.0000,,,,,,,133.13,133.13,266.25
23,0.1523,,0.0000,,,,,,,133.13,133.13,266.25
24,0.1534,,0.0000,,,,,,,133.13,133.13,266.25
25,0.1542,,0.0000,,,,,,,133.13,133.13,266.25
26,0.1544,,0.0000,,,,,,,133.13,133.13,266.25
27,0.1553,,0.0000,,,,,,,133.13,133.13,266.25
28,0.1559,,0.0000,,,,,,,133.13,133.13,266.25
29,0.1564,,0.0000,,,,,,,133.13,133.13,266.25
30,0.1565,,0.0000,,,,,,,133.13,133.13,266.25
31,0.1567,,0.0000,,,,,,,133.13,133.13,266.25
32,0.1566,,0.0000,,,,,,,133.13,133.13,266.25
33,0.1574,,0.0000,,,,,,,133.13,133.13,266.25
34,0.1572,,0.0000,,,,,,,133.13,133.13,266.25
35,0.1579,,0.0000,,,,,,,133.13,133.13,266.25
36,0.1586,,0.0000,,,,,,,133.13,133.13,266.25
37,0.1587,,0.0000,,,,,,,133.13,133.13,266.25
38,0.1595,,0.0000,,,,,,,133.13,133.13,266.25
39,0.1603,,0.0000,,,,,,,133.13,133.13,266.25
40,0.1611,,0.0000,,,,,,,133.13,133.13,266.25
41,0.1613,,0.0000,,,,,,,133.13,133.13,266.25
42,0.1617,,0.0000,,,,,,,133.13,133.13,266.25
43,0.1628,,0.0000,,,,,,,133.13,133.13,266.25
44,0.1626,,0.0000,,,,,,,133.13,133.13,266.25
45,0.1629,,0.0000,,,,,,,133.13,133.13,266.25
46,0.1630,,0.0000,,,,,,,133.13,133.13,266.25
47,0.1634,,0.0000,,,,,,,133.13,133.13,266.25
