round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.33766667,0.04083333,,,0.22961102,0.05748853,,,30,30,0,0,2026,6000,980,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,133.12614441,133.12614441,266.25228882,133.12614441
2,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.50283333,0.00000000,,,0.00833500,0.00000000,,,30,30,0,0,3017,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,266.25228882,266.25228882,532.50457764,177.50152588
3,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.59400000,0.00000000,,,0.07660940,0.00000000,,,30,30,0,0,3564,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,399.37843323,399.37843323,798.75686646,199.68921661
4,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.68583333,0.00000000,,,0.04651314,0.00000000,,,30,30,0,0,4115,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,532.50457764,532.50457764,1065.00915527,213.00183105
5,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.70466667,0.00000000,,,0.03732589,0.00000000,,,30,30,0,0,4228,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,665.63072205,665.63072205,1331.26144409,221.87690735
6,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.71500000,0.00000000,,,0.03801316,0.00000000,,,30,30,0,0,4290,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,798.75686646,798.75686646,1597.51373291,228.21624756
7,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.72533333,0.00000000,,,0.03707949,0.00000000,,,30,30,0,0,4352,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,931.88301086,931.88301086,1863.76602173,232.97075272
8,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.73250000,0.00000000,,,0.03267899,0.00000000,,,30,30,0,0,4395,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,1065.00915527,1065.00915527,2130.01831055,236.66870117
9,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.73583333,0.00000000,,,0.03461896,0.00000000,,,30,30,0,0,4415,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,1198.13529968,1198.13529968,2396.27059937,239.62705994
10,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.73983333,0.00000000,,,0.03491617,0.00000000,,,30,30,0,0,4439,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,1331.26144409,1331.26144409,2662.52288818,242.04753529
11,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.74066667,0.00000000,,,0.03718721,0.00000000,,,30,30,0,0,4444,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,1464.38758850,1464.38758850,2928.77517700,244.06459808
12,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.74050000,0.00000000,,,0.04121792,0.00000000,,,30,30,0,0,4443,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,1597.51373291,1597.51373291,3195.02746582,245.77134352
13,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.74516667,0.00000000,,,0.04278791,0.00000000,,,30,30,0,0,4471,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,1730.63987732,1730.63987732,3461.27975464,247.23426819
14,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.75000000,0.00000000,,,0.04568005,0.00000000,,,30,30,0,0,4500,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,1863.76602173,1863.76602173,3727.53204346,248.50213623
15,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.75150000,0.00000000,,,0.04724317,0.00000000,,,30,30,0,0,4509,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,1996.89216614,1996.89216614,3993.78433228,249.61152077
16,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.75466667,0.00000000,,,0.04776563,0.00000000,,,30,30,0,0,4528,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,2130.01831055,2130.01831055,4260.03662109,250.59038948
17,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.75616667,0.00000000,,,0.04957626,0.00000000,,,30,30,0,0,4537,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,2263.14445496,2263.14445496,4526.28890991,251.46049500
18,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.75683333,0.00000000,,,0.05198531,0.00000000,,,30,30,0,0,4541,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,2396.27059937,2396.27059937,4792.54119873,252.23901046
19,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.75866667,0.00000000,,,0.05528612,0.00000000,,,30,30,0,0,4552,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,2529.39674377,2529.39674377,5058.79348755,252.93967438
20,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76166667,0.00000000,,,0.05864204,0.00000000,,,30,30,0,0,4570,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,2662.52288818,2662.52288818,5325.04577637,253.57360840
21,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76300000,0.00000000,,,0.05653318,0.00000000,,,30,30,0,0,4578,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,2795.64903259,2795.64903259,5591.29806519,254.14991205
22,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76466667,0.00000000,,,0.06013780,0.00000000,,,30,30,0,0,4588,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,2928.77517700,2928.77517700,5857.55035400,254.67610235
23,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.76683333,0.00000000,,,0.06325192,0.00000000,,,30,30,0,0,4601,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,3061.90132141,3061.90132141,6123.80264282,255.15844345
24,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.77133333,0.00000000,,,0.06435492,0.00000000,,,30,30,0,0,4628,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,3195.02746582,3195.02746582,6390.05493164,255.60219727
25,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.77116667,0.00000000,,,0.06397504,0.00000000,,,30,30,0,0,4627,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,3328.15361023,3328.15361023,6656.30722046,256.01181617
26,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.77533333,0.00000000,,,0.06279508,0.00000000,,,30,30,0,0,4652,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,3461.27975464,3461.27975464,6922.55950928,256.39109294
27,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.77866667,0.00000000,,,0.06628139,0.00000000,,,30,30,0,0,4672,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,3594.40589905,3594.40589905,7188.81179810,256.74327850
28,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78233333,0.00000000,,,0.06685473,0.00000000,,,30,30,0,0,4694,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,3727.53204346,3727.53204346,7455.06408691,257.07117541
29,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78200000,0.00000000,,,0.06703979,0.00000000,,,30,30,0,0,4692,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,3860.65818787,3860.65818787,7721.31637573,257.37721252
30,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78450000,0.00000000,,,0.06597158,0.00000000,,,30,30,0,0,4707,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,3993.78433228,3993.78433228,7987.56866455,257.66350531
31,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78533333,0.00000000,,,0.06873783,0.00000000,,,30,30,0,0,4712,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,4126.91047668,4126.91047668,8253.82095337,257.93190479
32,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78666667,0.00000000,,,0.06975353,0.00000000,,,30,30,0,0,4720,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,4260.03662109,4260.03662109,8520.07324219,258.18403764
33,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.78633333,0.00000000,,,0.06899195,0.00000000,,,30,30,0,0,4718,6000,0,24000,0,0,0,0,133.12614441,133.12614441,266.25228882,4393.16276550,4393.16276550,8786.32553101,258.42133915
