round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1001,,0.0000,0.00,0.00,0.00
2,0.3383,,0.0000,221.88,221.88,443.75
3,0.4167,,0.0000,221.88,221.88,443.75
4,0.4567,,0.0000,221.88,221.88,443.75
5,0.5307,,0.0000,221.88,221.88,443.75
6,0.5710,,0.0000,221.88,221.88,443.75
7,0.5901,,0.0000,221.88,221.88,443.75
8,0.5985,,0.0000,221.88,221.88,443.75
9,0.6054,,0.0000,221.88,221.88,443.75
10,0.6094,,0.0000,221.88,221.88,443.75
11,0.6139,,0.0000,221.88,221.88,443.75
12,0.6185,,0.0000,221.88,221.88,443.75
13,0.6219,,0.0000,221.88,221.88,443.75
14,0.6266,,0.0000,221.88,221.88,443.75
15,0.6301,,0.0000,221.88,221.88,443.75
16,0.6335,,0.0000,221.88,221.88,443.75
17,0.6347,,0.0000,221.88,221.88,443.75
18,0.6381,,0.0000,221.88,221.88,443.75
19,0.6403,,0.0000,221.88,221.88,443.75
20,0.6433,,0.0000,221.88,221.88,443.75
21,0.6464,,0.0000,221.88,221.88,443.75
22,0.6480,,0.0000,221.88,221.88,443.75
23,0.6505,,0.0000,221.88,221.88,443.75
24,0.6525,,0.0000,221.88,221.88,443.75
25,0.6538,,0.0000,221.88,221.88,443.75
26,0.6560,,0.0000,221.88,221.88,443.75
27,0.6577,,0.0000,221.88,221.88,443.75
28,0.6600,,0.0000,221.88,221.88,443.75
29,0.6610,,0.0000,221.88,221.88,443.75
30,0.6630,,0.0000,221.88,221.88,443.75
31,0.6638,,0.0000,221.88,221.88,443.75
32,0.6664,,0.0000,221.88,221.88,443.75
33,0.6681,,0.0000,221.88,221.88,443.75
34,0.6690,,0.0000,221.88,221.88,443.75
35,0.6703,,0.0000,221.88,221.88,443.75
36,0.6713,,0.0000,221.88,221.88,443.75
37,0.6736,,0.0000,221.88,221.88,443.75
38,0.6746,,0.0000,221.88,221.88,443.75
39,0.6767,,0.0000,221.88,221.88,443.75
40,0.6775,,0.0000,221.88,221.88,443.75
41,0.6800,,0.0000,221.88,221.88,443.75
42,0.6803,,0.0000,221.88,221.88,443.75
43,0.6802,,0.0000,221.88,221.88,443.75
44,0.6819,,0.0000,221.88,221.88,443.75
45,0.6843,,0.0000,221.88,221.88,443.75
46,0.6850,,0.0000,221.88,221.88,443.75
47,0.6863,,0.0000,221.88,221.88,443.75
48,0.6874,,0.0000,221.88,221.88,443.75
49,0.6884,,0.0000,221.88,221.88,443.75
50,0.6890,,0.0000,221.88,221.88,443.75
51,0.6910,,0.0000,221.88,221.88,443.75
52,0.6915,,0.0000,221.88,221.88,443.75
53,0.6919,,0.0000,221.88,221.88,443.75
54,0.6931,,0.0000,221.88,221.88,443.75
55,0.6932,,0.0000,221.88,221.88,443.75
56,0.6947,,0.0000,221.88,221.88,443.75
57,0.6960,,0.0000,221.88,221.88,443.75
58,0.6961,,0.0000,221.88,221.88,443.75
59,0.6973,,0.0000,221.88,221.88,443.75
60,0.6985,,0.0000,221.88,221.88,443.75
61,0.6995,,0.0000,221.88,221.88,443.75
62,0.6994,,0.0000,221.88,221.88,443.75
63,0.7012,,0.0000,221.88,221.88,443.75
64,0.7019,,0.0000,221.88,221.88,443.75
65,0.7022,,0.0000,221.88,221.88,443.75
66,0.7030,,0.0000,221.88,221.88,443.75
67,0.7039,,0.0000,221.88,221.88,443.75
68,0.7046,,0.0000,221.88,221.88,443.75
69,0.7048,,0.0000,221.88,221.88,443.75
70,0.7061,,0.0000,221.88,221.88,443.75
71,0.7067,,0.0000,221.88,221.88,443.75
72,0.7071,,0.0000,221.88,221.88,443.75
73,0.7062,,0.0000,221.88,221.88,443.75
74,0.7083,,0.0000,221.88,221.88,443.75
75,0.7090,,0.0000,221.88,221.88,443.75
76,0.7095,,0.0000,221.88,221.88,443.75
77,0.7087,,0.0000,221.88,221.88,443.75
78,0.7110,,0.0000,221.88,221.88,443.75
79,0.7087,,0.0000,221.88,221.88,443.75
80,0.7107,,0.0000,221.88,221.88,443.75
81,0.7111,,0.0000,221.88,221.88,443.75
82,0.7123,,0.0000,221.88,221.88,443.75
83,0.7116,,0.0000,221.88,221.88,443.75
84,0.7120,,0.0000,221.88,221.88,443.75
85,0.7130,,0.0000,221.88,221.88,443.75
86,0.7136,,0.0000,221.88,221.88,443.75
87,0.7142,,0.0000,221.88,221.88,443.75
88,0.7129,,0.0000,221.88,221.88,443.75
89,0.7148,,0.0000,221.88,221.88,443.75
90,0.7154,,0.0000,221.88,221.88,443.75
91,0.7154,,0.0000,221.88,221.88,443.75
92,0.7161,,0.0000,221.88,221.88,443.75
93,0.7169,,0.0000,221.88,221.88,443.75
94,0.7165,,0.0000,221.88,221.88,443.75
95,0.7173,,0.0000,221.88,221.88,443.75
96,0.7171,,0.0000,221.88,221.88,443.75
97,0.7164,,0.0000,221.88,221.88,443.75
98,0.7178,,0.0000,221.88,221.88,443.75
99,0.7180,,0.0000,221.88,221.88,443.75
100,0.7188,,0.0000,221.88,221.88,443.75
101,0.7190,,0.0000,221.88,221.88,443.75
