round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3032,0.00,0.00,0.00
2,0.1222,0.1176,2.0467,196.58,196.58,393.17
3,0.1517,0.1310,1.7450,196.58,196.58,393.17
4,0.1644,0.1518,1.6095,196.58,196.58,393.17
5,0.1860,0.1615,1.5782,196.58,196.58,393.17
6,0.1692,0.1622,1.5214,196.58,196.58,393.17
7,0.1630,0.1706,1.5095,196.58,196.58,393.17
8,0.1725,0.1732,1.4952,196.58,196.58,393.17
9,0.2032,0.1835,1.4696,196.58,196.58,393.17
10,0.1970,0.1859,1.4824,196.58,196.58,393.17
11,0.2116,0.1945,1.4420,196.58,196.58,393.17
12,0.2131,0.1923,1.4175,196.58,196.58,393.17
13,0.2216,0.2050,1.3975,196.58,196.58,393.17
14,0.2139,0.1998,1.3746,196.58,196.58,393.17
15,0.2102,0.2072,1.3774,196.58,196.58,393.17
16,0.2061,0.2096,1.3503,196.58,196.58,393.17
17,0.2376,0.2115,1.3451,196.58,196.58,393.17
18,0.2329,0.2159,1.3158,196.58,196.58,393.17
19,0.2379,0.2206,1.3013,196.58,196.58,393.17
20,0.2381,0.2202,1.3014,196.58,196.58,393.17
21,0.2557,0.2246,1.2839,196.58,196.58,393.17
22,0.2300,0.2229,1.2556,196.58,196.58,393.17
23,0.2717,0.2307,1.2771,196.58,196.58,393.17
24,0.2343,0.2320,1.2581,196.58,196.58,393.17
25,0.2620,0.2311,1.2559,196.58,196.58,393.17
26,0.2264,0.2372,1.2428,196.58,196.58,393.17
27,0.2698,0.2339,1.2404,196.58,196.58,393.17
28,0.2566,0.2389,1.2085,196.58,196.58,393.17
29,0.2570,0.2438,1.2180,196.58,196.58,393.17
30,0.2786,0.2397,1.1959,196.58,196.58,393.17
31,0.2470,0.2446,1.1999,196.58,196.58,393.17
32,0.2558,0.2496,1.1903,196.58,196.58,393.17
33,0.2738,0.2455,1.1786,196.58,196.58,393.17
34,0.2808,0.2498,1.1597,196.58,196.58,393.17
35,0.2634,0.2455,1.1672,196.58,196.58,393.17
36,0.2508,0.2537,1.1704,196.58,196.58,393.17
37,0.2570,0.2523,1.1596,196.58,196.58,393.17
38,0.2778,0.2587,1.1621,196.58,196.58,393.17
39,0.2687,0.2569,1.1672,196.58,196.58,393.17
40,0.2718,0.2567,1.1461,196.58,196.58,393.17
41,0.2758,0.2600,1.1274,196.58,196.58,393.17
42,0.2549,0.2568,1.1495,196.58,196.58,393.17
43,0.2720,0.2594,1.1419,196.58,196.58,393.17
44,0.2690,0.2603,1.1139,196.58,196.58,393.17
