round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3019,,,,,,,0.00,0.00,0.00
2,0.1002,,1.9390,,,,,,,117.95,117.95,235.90
3,0.1217,,1.0815,,,,,,,117.95,117.95,235.90
4,0.1438,,0.6825,,,,,,,117.95,117.95,235.90
5,0.1472,,0.5819,,,,,,,117.95,117.95,235.90
6,0.1490,,0.5421,,,,,,,117.95,117.95,235.90
7,0.1496,,0.5175,,,,,,,117.95,117.95,235.90
8,0.1508,,0.4981,,,,,,,117.95,117.95,235.90
9,0.1521,,0.4810,,,,,,,117.95,117.95,235.90
10,0.1524,,0.4664,,,,,,,117.95,117.95,235.90
11,0.1541,,0.4508,,,,,,,117.95,117.95,235.90
12,0.1557,,0.4367,,,,,,,117.95,117.95,235.90
13,0.1567,,0.4257,,,,,,,117.95,117.95,235.90
14,0.1582,,0.4124,,,,,,,117.95,117.95,235.90
15,0.1594,,0.4012,,,,,,,117.95,117.95,235.90
16,0.1589,,0.3911,,,,,,,117.95,117.95,235.90
17,0.1605,,0.3789,,,,,,,117.95,117.95,235.90
18,0.1608,,0.3691,,,,,,,117.95,117.95,235.90
19,0.1616,,0.3612,,,,,,,117.95,117.95,235.90
20,0.1609,,0.3573,,,,,,,117.95,117.95,235.90
21,0.1620,,0.3467,,,,,,,117.95,117.95,235.90
22,0.1617,,0.3415,,,,,,,117.95,117.95,235.90
23,0.1622,,0.3295,,,,,,,117.95,117.95,235.90
24,0.1600,,0.3381,,,,,,,117.95,117.95,235.90
25,0.1611,,0.3259,,,,,,,117.95,117.95,235.90
26,0.1631,,0.3086,,,,,,,117.95,117.95,235.90
27,0.1634,,0.3053,,,,,,,117.95,117.95,235.90
28,0.1615,,0.3165,,,,,,,117.95,117.95,235.90
29,0.1634,,0.2919,,,,,,,117.95,117.95,235.90
30,0.1633,,0.2824,,,,,,,117.95,117.95,235.90
31,0.1620,,0.2953,,,,,,,117.95,117.95,235.90
32,0.1619,,0.2918,,,,,,,117.95,117.95,235.90
33,0.1615,,0.2871,,,,,,,117.95,117.95,235.90
34,0.1639,,0.2705,,,,,,,117.95,117.95,235.90
35,0.1619,,0.2830,,,,,,,117.95,117.95,235.90
36,0.1620,,0.2672,,,,,,,117.95,117.95,235.90
37,0.1640,,0.2516,,,,,,,117.95,117.95,235.90
38,0.1633,,0.2606,,,,,,,117.95,117.95,235.90
39,0.1620,,0.2678,,,,,,,117.95,117.95,235.90
40,0.1611,,0.2576,,,,,,,117.95,117.95,235.90
41,0.1625,,0.2830,,,,,,,117.95,117.95,235.90
42,0.1628,,0.2304,,,,,,,117.95,117.95,235.90
43,0.1615,,0.2632,,,,,,,117.95,117.95,235.90
44,0.1629,,0.2522,,,,,,,117.95,117.95,235.90
45,0.1599,,0.2549,,,,,,,117.95,117.95,235.90
46,0.1616,,0.2250,,,,,,,117.95,117.95,235.90
47,0.1618,,0.2385,,,,,,,117.95,117.95,235.90
48,0.1632,,0.2057,,,,,,,117.95,117.95,235.90
49,0.1604,,0.2705,,,,,,,117.95,117.95,235.90
50,0.1634,,0.2308,,,,,,,117.95,117.95,235.90
51,0.1613,,0.2222,,,,,,,117.95,117.95,235.90
52,0.1355,,1.0837,,,,,,,117.95,117.95,235.90
53,0.1363,,0.8702,,,,,,,196.58,196.58,393.17
54,0.1485,,0.5058,,,,,,,196.58,196.58,393.17
55,0.1582,,0.3500,,,,,,,196.58,196.58,393.17
56,0.1609,,0.3191,,,,,,,196.58,196.58,393.17
57,0.1631,,0.2783,,,,,,,196.58,196.58,393.17
58,0.1610,,0.3074,,,,,,,196.58,196.58,393.17
59,0.1626,,0.2690,,,,,,,196.58,196.58,393.17
60,0.1647,,0.2502,,,,,,,196.58,196.58,393.17
61,0.1636,,0.2420,,,,,,,196.58,196.58,393.17
62,0.1648,,0.2642,,,,,,,196.58,196.58,393.17
63,0.1640,,0.2348,,,,,,,196.58,196.58,393.17
64,0.1643,,0.2595,,,,,,,196.58,196.58,393.17
65,0.1661,,0.1913,,,,,,,196.58,196.58,393.17
66,0.1658,,0.2094,,,,,,,196.58,196.58,393.17
67,0.1660,,0.2104,,,,,,,196.58,196.58,393.17
68,0.1661,,0.1729,,,,,,,196.58,196.58,393.17
