round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3032,0.00,0.00,0.00
2,0.6973,0.1394,0.8146,78.63,78.63,157.27
3,0.7525,0.1506,0.6369,78.63,78.63,157.27
4,0.7582,0.1515,0.6073,78.63,78.63,157.27
5,0.7618,0.1525,0.6031,78.63,78.63,157.27
6,0.7583,0.1520,0.6125,78.63,78.63,157.27
7,0.7630,0.1526,0.5963,78.63,78.63,157.27
8,0.7709,0.1539,0.5595,78.63,78.63,157.27
9,0.7831,0.1564,0.5472,78.63,78.63,157.27
10,0.7773,0.1551,0.5566,78.63,78.63,157.27
11,0.7840,0.1566,0.5440,78.63,78.63,157.27
12,0.7877,0.1578,0.5293,78.63,78.63,157.27
13,0.8014,0.1607,0.4931,78.63,78.63,157.27
14,0.7998,0.1598,0.5035,78.63,78.63,157.27
15,0.8047,0.1608,0.4918,78.63,78.63,157.27
16,0.8045,0.1610,0.4941,78.63,78.63,157.27
17,0.7989,0.1595,0.5112,78.63,78.63,157.27
18,0.8051,0.1608,0.4860,78.63,78.63,157.27
19,0.8117,0.1625,0.4548,78.63,78.63,157.27
20,0.8171,0.1630,0.4632,78.63,78.63,157.27
21,0.8153,0.1629,0.4616,78.63,78.63,157.27
22,0.8136,0.1636,0.4660,78.63,78.63,157.27
23,0.8188,0.1639,0.4495,78.63,78.63,157.27
24,0.8163,0.1627,0.4729,78.63,78.63,157.27
25,0.8166,0.1640,0.4419,78.63,78.63,157.27
26,0.8166,0.1641,0.4485,78.63,78.63,157.27
27,0.8268,0.1655,0.4314,78.63,78.63,157.27
28,0.8298,0.1658,0.4241,78.63,78.63,157.27
29,0.8217,0.1643,0.4393,78.63,78.63,157.27
30,0.8276,0.1659,0.4234,78.63,78.63,157.27
31,0.8280,0.1652,0.4309,78.63,78.63,157.27
32,0.8291,0.1658,0.4194,78.63,78.63,157.27
33,0.8397,0.1680,0.3950,78.63,78.63,157.27
34,0.8389,0.1676,0.4095,78.63,78.63,157.27
35,0.8477,0.1685,0.3996,78.63,78.63,157.27
36,0.8451,0.1690,0.3837,78.63,78.63,157.27
37,0.8355,0.1670,0.4029,78.63,78.63,157.27
38,0.8365,0.1676,0.3951,78.63,78.63,157.27
39,0.8415,0.1678,0.3982,78.63,78.63,157.27
40,0.8422,0.1684,0.3938,78.63,78.63,157.27
41,0.8381,0.1671,0.3956,78.63,78.63,157.27
42,0.8360,0.1669,0.4005,78.63,78.63,157.27
43,0.8457,0.1694,0.3780,78.63,78.63,157.27
44,0.8347,0.1677,0.4018,78.63,78.63,157.27
45,0.8308,0.1662,0.4100,78.63,78.63,157.27
46,0.8400,0.1680,0.3885,78.63,78.63,157.27
47,0.8369,0.1672,0.3902,78.63,78.63,157.27
48,0.8418,0.1681,0.3942,78.63,78.63,157.27
49,0.8497,0.1699,0.3733,78.63,78.63,157.27
50,0.8347,0.1668,0.3948,78.63,78.63,157.27
51,0.8484,0.1696,0.3642,78.63,78.63,157.27
52,0.8358,0.1672,0.3974,78.63,78.63,157.27
53,0.8374,0.1682,0.3815,78.63,78.63,157.27
54,0.8366,0.1675,0.3855,78.63,78.63,157.27
55,0.8462,0.1691,0.3709,78.63,78.63,157.27
56,0.8480,0.1698,0.3616,78.63,78.63,157.27
57,0.8543,0.1705,0.3592,78.63,78.63,157.27
58,0.8473,0.1691,0.3711,78.63,78.63,157.27
59,0.8563,0.1708,0.3509,78.63,78.63,157.27
60,0.8428,0.1683,0.3719,78.63,78.63,157.27
61,0.8356,0.1672,0.3806,78.63,78.63,157.27
62,0.8543,0.1711,0.3476,78.63,78.63,157.27
63,0.8513,0.1702,0.3722,78.63,78.63,157.27
64,0.8547,0.1706,0.3608,78.63,78.63,157.27
65,0.8507,0.1703,0.3555,78.63,78.63,157.27
66,0.8624,0.1723,0.3325,78.63,78.63,157.27
67,0.8564,0.1710,0.3498,78.63,78.63,157.27
68,0.8598,0.1715,0.3453,78.63,78.63,157.27
69,0.8557,0.1711,0.3479,78.63,78.63,157.27
70,0.8507,0.1699,0.3614,78.63,78.63,157.27
71,0.8658,0.1725,0.3284,78.63,78.63,157.27
72,0.8522,0.1703,0.3504,78.63,78.63,157.27
73,0.8420,0.1682,0.3835,78.63,78.63,157.27
74,0.8619,0.1723,0.3330,78.63,78.63,157.27
75,0.8623,0.1716,0.3291,78.63,78.63,157.27
76,0.8617,0.1717,0.3516,78.63,78.63,157.27
77,0.8556,0.1706,0.3550,78.63,78.63,157.27
78,0.8570,0.1719,0.3290,78.63,78.63,157.27
79,0.8589,0.1720,0.3315,78.63,78.63,157.27
80,0.8574,0.1721,0.3242,78.63,78.63,157.27
81,0.8666,0.1735,0.3127,78.63,78.63,157.27
82,0.8646,0.1728,0.3208,78.63,78.63,157.27
83,0.8422,0.1681,0.3631,78.63,78.63,157.27
84,0.8580,0.1720,0.3329,78.63,78.63,157.27
85,0.8701,0.1733,0.3121,78.63,78.63,157.27
86,0.8616,0.1714,0.3385,78.63,78.63,157.27
87,0.8677,0.1732,0.3059,78.63,78.63,157.27
