round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3036,0.00,0.00,0.00
2,0.3128,,1.9674,196.58,196.58,393.17
3,0.4035,,1.4428,196.58,196.58,393.17
4,0.4546,,1.1624,196.58,196.58,393.17
5,0.4560,,1.0826,196.58,196.58,393.17
6,0.4565,,1.0832,196.58,196.58,393.17
7,0.4622,,1.0249,196.58,196.58,393.17
8,0.4623,,1.0056,196.58,196.58,393.17
9,0.4672,,0.9808,196.58,196.58,393.17
10,0.4653,,1.0476,196.58,196.58,393.17
11,0.4657,,1.0481,196.58,196.58,393.17
12,0.4685,,1.0667,196.58,196.58,393.17
13,0.4724,,0.9930,196.58,196.58,393.17
14,0.4749,,0.9254,196.58,196.58,393.17
15,0.4740,,0.9458,196.58,196.58,393.17
16,0.4757,,0.9300,196.58,196.58,393.17
17,0.4769,,0.9613,196.58,196.58,393.17
18,0.4766,,0.8852,196.58,196.58,393.17
19,0.4775,,0.9347,196.58,196.58,393.17
20,0.4786,,0.9094,196.58,196.58,393.17
21,0.4838,,0.7982,196.58,196.58,393.17
22,0.4812,,0.9036,196.58,196.58,393.17
23,0.4833,,0.8797,196.58,196.58,393.17
24,0.4804,,0.8887,196.58,196.58,393.17
25,0.4823,,0.8387,196.58,196.58,393.17
26,0.4880,,0.8110,196.58,196.58,393.17
27,0.4840,,0.8224,196.58,196.58,393.17
28,0.4870,,0.8209,196.58,196.58,393.17
29,0.4883,,0.8170,196.58,196.58,393.17
30,0.4883,,0.8195,196.58,196.58,393.17
31,0.4890,,0.8128,196.58,196.58,393.17
32,0.4908,,0.7756,196.58,196.58,393.17
33,0.4928,,0.8002,196.58,196.58,393.17
34,0.4943,,0.7850,196.58,196.58,393.17
35,0.4946,,0.7660,196.58,196.58,393.17
36,0.4944,,0.7734,196.58,196.58,393.17
37,0.4944,,0.7793,196.58,196.58,393.17
38,0.4966,,0.7532,196.58,196.58,393.17
39,0.4970,,0.7624,196.58,196.58,393.17
40,0.4943,,0.8167,196.58,196.58,393.17
41,0.4972,,0.7726,196.58,196.58,393.17
42,0.5015,,0.6935,196.58,196.58,393.17
43,0.5014,,0.7339,196.58,196.58,393.17
44,0.5010,,0.7275,196.58,196.58,393.17
45,0.5014,,0.7249,196.58,196.58,393.17
46,0.5028,,0.7261,196.58,196.58,393.17
47,0.5063,,0.6865,196.58,196.58,393.17
48,0.5064,,0.6735,196.58,196.58,393.17
49,0.5052,,0.7129,196.58,196.58,393.17
50,0.5040,,0.6806,196.58,196.58,393.17
51,0.5069,,0.6896,196.58,196.58,393.17
52,0.5098,,0.6645,196.58,196.58,393.17
53,0.5089,,0.6679,196.58,196.58,393.17
54,0.5083,,0.6732,196.58,196.58,393.17
55,0.5086,,0.6589,196.58,196.58,393.17
56,0.5093,,0.6689,196.58,196.58,393.17
57,0.5118,,0.6353,196.58,196.58,393.17
58,0.5110,,0.6465,196.58,196.58,393.17
59,0.5141,,0.6258,196.58,196.58,393.17
60,0.5110,,0.6429,196.58,196.58,393.17
61,0.5142,,0.6278,196.58,196.58,393.17
62,0.5155,,0.5959,196.58,196.58,393.17
63,0.5148,,0.6329,196.58,196.58,393.17
64,0.5156,,0.6109,196.58,196.58,393.17
65,0.5149,,0.6335,196.58,196.58,393.17
66,0.5152,,0.6400,196.58,196.58,393.17
67,0.5194,,0.5733,196.58,196.58,393.17
68,0.5193,,0.5888,196.58,196.58,393.17
69,0.5153,,0.6133,196.58,196.58,393.17
70,0.5163,,0.5940,196.58,196.58,393.17
71,0.5205,,0.5906,196.58,196.58,393.17
72,0.5205,,0.5794,196.58,196.58,393.17
73,0.5199,,0.5503,196.58,196.58,393.17
74,0.5178,,0.5932,196.58,196.58,393.17
75,0.5203,,0.5873,196.58,196.58,393.17
76,0.5202,,0.5795,196.58,196.58,393.17
77,0.5227,,0.5604,196.58,196.58,393.17
78,0.5232,,0.5542,196.58,196.58,393.17
79,0.5225,,0.5577,196.58,196.58,393.17
80,0.5194,,0.5806,196.58,196.58,393.17
81,0.5253,,0.5327,196.58,196.58,393.17
82,0.5212,,0.5562,196.58,196.58,393.17
83,0.5251,,0.5229,196.58,196.58,393.17
84,0.5217,,0.5615,196.58,196.58,393.17
85,0.5218,,0.5658,196.58,196.58,393.17
86,0.5239,,0.5619,196.58,196.58,393.17
87,0.5241,,0.5563,196.58,196.58,393.17
88,0.5237,,0.5379,196.58,196.58,393.17
89,0.5260,,0.5038,196.58,196.58,393.17
90,0.5241,,0.5387,196.58,196.58,393.17
91,0.5277,,0.5054,196.58,196.58,393.17
92,0.5245,,0.5400,196.58,196.58,393.17
93,0.5259,,0.5274,196.58,196.58,393.17
94,0.5260,,0.5454,196.58,196.58,393.17
95,0.5270,,0.5194,196.58,196.58,393.17
96,0.5287,,0.5102,196.58,196.58,393.17
97,0.5254,,0.5188,196.58,196.58,393.17
98,0.5247,,0.5372,196.58,196.58,393.17
99,0.5248,,0.5186,196.58,196.58,393.17
100,0.5269,,0.5232,196.58,196.58,393.17
101,0.5279,,0.4911,196.58,196.58,393.17
