round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3021,,,,,,,0.00,86.32,86.32
2,0.1000,,2.2907,,,,,,,82.65,82.65,165.29
3,0.1000,,2.2829,,,,,,,82.65,82.65,165.29
4,0.1000,,2.2775,,,,,,,82.65,82.65,165.29
5,0.1000,,2.2735,,,,,,,82.65,82.65,165.29
6,0.1000,,2.2704,,,,,,,82.65,82.65,165.29
7,0.1000,,2.2679,,,,,,,82.65,82.65,165.29
8,0.1000,,2.2659,,,,,,,82.65,82.65,165.29
9,0.1000,,2.2642,,,,,,,82.65,82.65,165.29
10,0.1000,,2.2627,,,,,,,82.65,82.65,165.29
11,0.1000,,2.2614,,,,,,,82.65,82.65,165.29
12,0.1000,,2.2625,,,,,,,86.32,82.65,168.97
13,0.1000,,2.2616,,,,,,,82.65,82.65,165.29
14,0.1000,,2.2607,,,,,,,82.65,82.65,165.29
15,0.1000,,2.2599,,,,,,,82.65,82.65,165.29
16,0.1000,,2.2591,,,,,,,82.65,82.65,165.29
17,0.1000,,2.2583,,,,,,,82.65,82.65,165.29
18,0.1000,,2.2576,,,,,,,82.65,82.65,165.29
19,0.1000,,2.2569,,,,,,,82.65,82.65,165.29
20,0.1000,,2.2563,,,,,,,82.65,82.65,165.29
21,0.1000,,2.2556,,,,,,,82.65,82.65,165.29
22,0.1000,,2.2549,,,,,,,86.32,82.65,168.97
23,0.1000,,2.2544,,,,,,,82.65,82.65,165.29
24,0.1000,,2.2538,,,,,,,82.65,82.65,165.29
25,0.1000,,2.2532,,,,,,,82.65,82.65,165.29
26,0.1000,,2.2526,,,,,,,82.65,82.65,165.29
27,0.1000,,2.2521,,,,,,,82.65,82.65,165.29
28,0.1000,,2.2515,,,,,,,82.65,82.65,165.29
29,0.1000,,2.2510,,,,,,,82.65,82.65,165.29
30,0.1000,,2.2505,,,,,,,82.65,82.65,165.29
31,0.1000,,2.2500,,,,,,,82.65,82.65,165.29
32,0.1000,,2.2494,,,,,,,86.32,82.65,168.97
33,0.1000,,2.2489,,,,,,,82.65,82.65,165.29
34,0.1000,,2.2484,,,,,,,82.65,82.65,165.29
35,0.1000,,2.2480,,,,,,,82.65,82.65,165.29
36,0.1000,,2.2475,,,,,,,82.65,82.65,165.29
37,0.1000,,2.2470,,,,,,,82.65,82.65,165.29
38,0.1000,,2.2465,,,,,,,82.65,82.65,165.29
39,0.1000,,2.2461,,,,,,,82.65,82.65,165.29
40,0.1000,,2.2456,,,,,,,82.65,82.65,165.29
41,0.1000,,2.2452,,,,,,,82.65,82.65,165.29
42,0.1000,,2.2447,,,,,,,86.32,82.65,168.97
43,0.1000,,2.2443,,,,,,,82.65,82.65,165.29
44,0.1000,,2.2439,,,,,,,82.65,82.65,165.29
45,0.1000,,2.2435,,,,,,,82.65,82.65,165.29
46,0.1000,,2.2431,,,,,,,82.65,82.65,165.29
47,0.1000,,2.2426,,,,,,,82.65,82.65,165.29
48,0.1000,,2.2422,,,,,,,82.65,82.65,165.29
49,0.1000,,2.2418,,,,,,,82.65,82.65,165.29
50,0.1000,,2.2414,,,,,,,82.65,82.65,165.29
51,0.1000,,2.2410,,,,,,,82.65,82.65,165.29
52,0.1000,,2.3062,,,,,,,82.65,137.74,220.39
53,0.1000,,2.3043,,,,,,,137.74,137.74,275.49
54,0.1000,,2.3034,,,,,,,137.74,137.74,275.49
55,0.1000,,2.3030,,,,,,,137.74,137.74,275.49
56,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
57,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
58,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
59,0.1000,,2.3027,,,,,,,137.74,137.74,275.49
60,0.1000,,2.3027,,,,,,,137.74,137.74,275.49
61,0.1000,,2.3027,,,,,,,137.74,137.74,275.49
62,0.1000,,2.3027,,,,,,,137.74,137.74,275.49
63,0.1000,,2.3027,,,,,,,137.74,137.74,275.49
64,0.1000,,2.3027,,,,,,,137.74,137.74,275.49
65,0.1000,,2.3027,,,,,,,137.74,137.74,275.49
66,0.1000,,2.3027,,,,,,,137.74,137.74,275.49
67,0.1000,,2.3027,,,,,,,137.74,137.74,275.49
68,0.1000,,2.3027,,,,,,,137.74,137.74,275.49
69,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
70,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
71,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
72,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
73,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
74,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
75,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
76,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
77,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
78,0.1000,,2.3028,,,,,,,137.74,137.74,275.49
