round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,86.32438660,86.32438660,0.00000000,86.32438660,86.32438660,86.32438660
1,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,82.64694214,168.97132874,251.61827087,125.80913544
2,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,165.29388428,251.61827087,416.91215515,138.97071838
3,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,247.94082642,334.26521301,582.20603943,145.55150986
4,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,330.58776855,416.91215515,747.49992371,149.49998474
5,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,413.23471069,499.55909729,912.79380798,152.13230133
6,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,495.88165283,582.20603943,1078.08769226,154.01252747
7,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,578.52859497,664.85298157,1243.38157654,155.42269707
8,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,661.17553711,747.49992371,1408.67546082,156.51949565
9,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,743.82247925,830.14686584,1573.96934509,157.39693451
10,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,826.46942139,912.79380798,1739.26322937,158.11483903
11,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,86.32438660,82.64694214,168.97132874,912.79380798,995.44075012,1908.23455811,159.01954651
12,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,995.44075012,1078.08769226,2073.52844238,159.50218788
13,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,1078.08769226,1160.73463440,2238.82232666,159.91588048
14,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,1160.73463440,1243.38157654,2404.11621094,160.27441406
15,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,1243.38157654,1326.02851868,2569.41009521,160.58813095
16,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,1326.02851868,1408.67546082,2734.70397949,160.86493997
17,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,1408.67546082,1491.32240295,2899.99786377,161.11099243
18,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,1491.32240295,1573.96934509,3065.29174805,161.33114463
19,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,1573.96934509,1656.61628723,3230.58563232,161.52928162
20,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,1656.61628723,1739.26322937,3395.87951660,161.70854841
21,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,86.32438660,82.64694214,168.97132874,1742.94067383,1821.91017151,3564.85084534,162.03867479
22,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,1825.58761597,1904.55711365,3730.14472961,162.18020564
23,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,1908.23455811,1987.20405579,3895.43861389,162.30994225
24,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,1990.88150024,2069.85099792,4060.73249817,162.42929993
25,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,2073.52844238,2152.49794006,4226.02638245,162.53947625
26,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,2156.17538452,2235.14488220,4391.32026672,162.64149136
27,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,2238.82232666,2317.79182434,4556.61415100,162.73621968
28,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,2321.46926880,2400.43876648,4721.90803528,162.82441501
29,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,2404.11621094,2483.08570862,4887.20191956,162.90673065
30,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,2486.76315308,2565.73265076,5052.49580383,162.98373561
31,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,86.32438660,82.64694214,168.97132874,2573.08753967,2648.37959290,5221.46713257,163.17084789
32,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,2655.73448181,2731.02653503,5386.76101685,163.23518233
33,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,2738.38142395,2813.67347717,5552.05490112,163.29573239
34,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,2821.02836609,2896.32041931,5717.34878540,163.35282244
35,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,2903.67530823,2978.96736145,5882.64266968,163.40674082
36,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,2986.32225037,3061.61430359,6047.93655396,163.45774470
37,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,3068.96919250,3144.26124573,6213.23043823,163.50606416
38,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,3151.61613464,3226.90818787,6378.52432251,163.55190571
39,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,3234.26307678,3309.55513000,6543.81820679,163.59545517
40,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,3316.91001892,3392.20207214,6709.11209106,163.63688027
41,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,86.32438660,82.64694214,168.97132874,3403.23440552,3474.84901428,6878.08341980,163.76389095
42,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,3485.88134766,3557.49595642,7043.37730408,163.79947219
43,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,3568.52828979,3640.14289856,7208.67118835,163.83343610
44,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,3651.17523193,3722.78984070,7373.96507263,163.86589050
45,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,3733.82217407,3805.43678284,7539.25895691,163.89693385
46,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,3816.46911621,3888.08372498,7704.55284119,163.92665620
47,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,3899.11605835,3970.73066711,7869.84672546,163.95514011
48,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,3981.76300049,4053.37760925,8035.14060974,163.98246142
49,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,4064.40994263,4136.02455139,8200.43449402,164.00868988
50,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,82.64694214,82.64694214,165.29388428,4147.05688477,4218.67149353,8365.72837830,164.03388977
51,phase2,dynamic_test,Cifar10_dynamic_clients_nc50,30,20,50,0.16666667,0.08333333,0.00000000,0.12500000,0.23570226,0.05892557,0.00000000,0.00000000,30,30,20,20,1000,6000,2000,24000,0,4000,2000,16000,82.64694214,137.74490356,220.39184570,4229.70382690,4356.41639709,8586.12022400,165.11769662
52,phase2,dynamic_test,Cifar10_dynamic_clients_nc50,30,20,50,0.16666667,0.08333333,0.00000000,0.12500000,0.23570226,0.05892557,0.00000000,0.00000000,30,30,20,20,1000,6000,2000,24000,0,4000,2000,16000,137.74490356,137.74490356,275.48980713,4367.44873047,4494.16130066,8861.61003113,167.20018927
53,phase2,dynamic_test,Cifar10_dynamic_clients_nc50,30,20,50,0.16666667,0.08333333,0.00000000,0.12500000,0.23570226,0.05892557,0.00000000,0.00000000,30,30,20,20,1000,6000,2000,24000,0,4000,2000,16000,137.74490356,137.74490356,275.48980713,4505.19363403,4631.90620422,9137.09983826,169.20555256
54,phase2,dynamic_test,Cifar10_dynamic_clients_nc50,30,20,50,0.16666667,0.08333333,0.00000000,0.12500000,0.23570226,0.05892557,0.00000000,0.00000000,30,30,20,20,1000,6000,2000,24000,0,4000,2000,16000,137.74490356,137.74490356,275.48980713,4642.93853760,4769.65110779,9412.58964539,171.13799355
