round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3037,0.00,0.00,0.00
2,0.1880,0.1409,1.6228,120.24,78.63,198.88
3,0.2358,0.1570,1.4052,118.71,78.63,197.34
4,0.2631,0.1726,1.3205,117.85,78.63,196.48
5,0.2808,0.1848,1.2573,117.26,78.63,195.90
6,0.2997,0.1947,1.2070,116.84,78.63,195.47
7,0.3073,0.2055,1.1626,116.49,78.63,195.12
8,0.3141,0.2119,1.1246,116.21,78.63,194.85
9,0.3186,0.2187,1.0917,115.98,78.63,194.61
10,0.3254,0.2239,1.0619,115.78,78.63,194.42
11,0.3325,0.2294,1.0438,115.63,78.63,194.26
12,0.3367,0.2342,1.0186,115.47,78.63,194.10
13,0.3411,0.2376,0.9894,115.39,78.63,194.02
14,0.3534,0.2451,0.9653,115.31,78.63,193.95
15,0.3509,0.2461,0.9735,115.23,78.63,193.87
16,0.3532,0.2504,0.9350,115.16,78.63,193.79
17,0.3594,0.2516,0.9309,115.08,78.63,193.71
18,0.3615,0.2571,0.9018,115.00,78.63,193.63
19,0.3670,0.2620,0.8890,114.92,78.63,193.55
20,0.3675,0.2645,0.9039,114.88,78.63,193.51
21,0.3701,0.2675,0.8734,114.88,78.63,193.51
22,0.3720,0.2679,0.8777,114.88,78.63,193.51
23,0.3736,0.2761,0.8728,114.88,78.63,193.51
24,0.3857,0.2740,0.8307,114.88,78.63,193.51
25,0.3712,0.2698,0.8250,114.88,78.63,193.51
26,0.3895,0.2785,0.8145,114.88,78.63,193.51
27,0.3734,0.2740,0.8160,114.88,78.63,193.51
28,0.3976,0.2859,0.7931,114.88,78.63,193.51
29,0.3836,0.2819,0.8316,114.88,78.63,193.51
30,0.3972,0.2900,0.7613,114.88,78.63,193.51
31,0.3705,0.2836,0.8304,114.88,78.63,193.51
32,0.3890,0.2869,0.7443,114.88,78.63,193.51
33,0.3734,0.2817,0.7519,114.88,78.63,193.51
34,0.4085,0.2944,0.7485,114.88,78.63,193.51
35,0.3807,0.2942,0.7199,114.88,78.63,193.51
36,0.3770,0.2867,0.7414,114.88,78.63,193.51
