round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3037,0.00,0.00,0.00
2,0.5050,0.1010,1.9696,300.61,196.58,497.19
3,0.5653,0.1131,1.2574,296.74,196.58,493.33
4,0.7145,0.1431,0.8978,294.59,196.58,491.17
5,0.7479,0.1495,0.8036,293.12,196.58,489.71
6,0.7612,0.1518,0.7611,292.05,196.58,488.63
7,0.7692,0.1533,0.7303,291.17,196.58,487.75
8,0.7787,0.1551,0.7021,290.48,196.58,487.06
9,0.7873,0.1569,0.6746,289.89,196.58,486.48
10,0.7953,0.1585,0.6478,289.50,196.58,486.09
11,0.8036,0.1602,0.6211,289.11,196.58,485.69
12,0.8123,0.1616,0.5965,288.72,196.58,485.30
13,0.8178,0.1628,0.5730,288.43,196.58,485.01
14,0.8224,0.1639,0.5527,288.23,196.58,484.81
15,0.8294,0.1649,0.5332,288.03,196.58,484.62
16,0.8293,0.1656,0.5164,287.84,196.58,484.42
17,0.8317,0.1663,0.5013,287.64,196.58,484.23
18,0.8357,0.1664,0.4926,287.45,196.58,484.03
19,0.8396,0.1674,0.4797,287.25,196.58,483.84
20,0.8428,0.1681,0.4700,287.15,196.58,483.74
21,0.8428,0.1685,0.4605,287.15,196.58,483.74
22,0.8450,0.1689,0.4542,287.15,196.58,483.74
23,0.8462,0.1690,0.4469,287.15,196.58,483.74
24,0.8530,0.1697,0.4405,287.15,196.58,483.74
25,0.8498,0.1698,0.4340,287.15,196.58,483.74
26,0.8497,0.1699,0.4297,287.15,196.58,483.74
27,0.8529,0.1701,0.4226,287.15,196.58,483.74
28,0.8574,0.1706,0.4164,287.15,196.58,483.74
29,0.8531,0.1700,0.4158,287.15,196.58,483.74
30,0.8524,0.1700,0.4108,287.15,196.58,483.74
31,0.8585,0.1704,0.4030,287.15,196.58,483.74
32,0.8523,0.1700,0.4014,287.15,196.58,483.74
33,0.8534,0.1694,0.4020,287.15,196.58,483.74
34,0.8572,0.1711,0.3886,287.15,196.58,483.74
35,0.8541,0.1710,0.3842,287.15,196.58,483.74
36,0.8564,0.1708,0.3842,287.15,196.58,483.74
37,0.8517,0.1697,0.3848,287.15,196.58,483.74
38,0.8518,0.1700,0.3819,287.15,196.58,483.74
39,0.8558,0.1703,0.3771,287.15,196.58,483.74
40,0.8528,0.1704,0.3719,287.15,196.58,483.74
41,0.8550,0.1705,0.3675,287.15,196.58,483.74
42,0.8542,0.1702,0.3666,287.15,196.58,483.74
43,0.8624,0.1718,0.3542,287.15,196.58,483.74
44,0.8618,0.1718,0.3543,287.15,196.58,483.74
45,0.8622,0.1718,0.3459,287.15,196.58,483.74
46,0.8607,0.1716,0.3470,287.15,196.58,483.74
47,0.8565,0.1702,0.3522,287.15,196.58,483.74
48,0.8616,0.1720,0.3408,287.15,196.58,483.74
49,0.8567,0.1710,0.3411,287.15,196.58,483.74
50,0.8544,0.1700,0.3434,287.15,196.58,483.74
51,0.8498,0.1688,0.3539,287.15,196.58,483.74
52,0.8586,0.1710,0.3363,287.15,196.58,483.74
53,0.8636,0.1727,0.3188,287.15,196.58,483.74
54,0.8505,0.1694,0.3447,287.15,196.58,483.74
55,0.8585,0.1716,0.3225,287.15,196.58,483.74
56,0.8596,0.1716,0.3258,287.15,196.58,483.74
57,0.8587,0.1711,0.3215,287.15,196.58,483.74
58,0.8568,0.1707,0.3264,287.15,196.58,483.74
59,0.8565,0.1707,0.3191,287.15,196.58,483.74
60,0.8603,0.1722,0.3096,287.15,196.58,483.74
61,0.8605,0.1716,0.3081,287.15,196.58,483.74
62,0.8558,0.1709,0.3094,287.15,196.58,483.74
