round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3032,0.00,196.09,196.09
2,0.4843,,1.5284,196.09,196.09,392.19
3,0.5031,,1.1369,196.09,196.09,392.19
4,0.5184,,0.9740,196.09,196.09,392.19
5,0.5146,,0.8965,196.09,196.09,392.19
6,0.5218,,0.8536,196.09,196.09,392.19
7,0.5122,,0.8207,196.09,196.09,392.19
8,0.5199,,0.8013,196.09,196.09,392.19
9,0.5185,,0.7848,196.09,196.09,392.19
10,0.5194,,0.7782,196.09,196.09,392.19
11,0.5180,,0.7696,196.09,196.09,392.19
12,0.5255,,0.7625,196.09,196.09,392.19
13,0.5196,,0.7574,196.09,196.09,392.19
14,0.5158,,0.7494,196.09,196.09,392.19
15,0.5227,,0.7485,196.09,196.09,392.19
16,0.5164,,0.7446,196.09,196.09,392.19
17,0.5167,,0.7410,196.09,196.09,392.19
18,0.5198,,0.7369,196.09,196.09,392.19
19,0.5215,,0.7339,196.09,196.09,392.19
20,0.5201,,0.7328,196.09,196.09,392.19
21,0.5241,,0.7309,196.09,196.09,392.19
22,0.5187,,0.7314,196.09,196.09,392.19
23,0.5214,,0.7270,196.09,196.09,392.19
24,0.5240,,0.7256,196.09,196.09,392.19
25,0.5228,,0.7230,196.09,196.09,392.19
26,0.5215,,0.7224,196.09,196.09,392.19
27,0.5221,,0.7222,196.09,196.09,392.19
28,0.5244,,0.7215,196.09,196.09,392.19
29,0.5145,,0.7197,196.09,196.09,392.19
30,0.5250,,0.7182,196.09,196.09,392.19
31,0.5278,,0.7173,196.09,196.09,392.19
32,0.5244,,0.7174,196.09,196.09,392.19
33,0.5248,,0.7154,196.09,196.09,392.19
34,0.5261,,0.7143,196.09,196.09,392.19
35,0.5257,,0.7147,196.09,196.09,392.19
36,0.5295,,0.7130,196.09,196.09,392.19
37,0.5230,,0.7138,196.09,196.09,392.19
38,0.5208,,0.7149,196.09,196.09,392.19
39,0.5220,,0.7126,196.09,196.09,392.19
40,0.5233,,0.7120,196.09,196.09,392.19
41,0.5263,,0.7118,196.09,196.09,392.19
42,0.5210,,0.7117,196.09,196.09,392.19
43,0.5246,,0.7115,196.09,196.09,392.19
44,0.5321,,0.7095,196.09,196.09,392.19
45,0.5326,,0.7077,196.09,196.09,392.19
46,0.5325,,0.7095,196.09,196.09,392.19
47,0.5315,,0.7096,196.09,196.09,392.19
48,0.5282,,0.7084,196.09,196.09,392.19
49,0.5320,,0.7091,196.09,196.09,392.19
50,0.5282,,0.7090,196.09,196.09,392.19
51,0.5318,,0.7104,196.09,196.09,392.19
52,0.5349,,0.7079,196.09,196.09,392.19
53,0.5336,,0.7073,196.09,196.09,392.19
54,0.5397,,0.7095,196.09,196.09,392.19
55,0.5313,,0.7089,196.09,196.09,392.19
56,0.5350,,0.7076,196.09,196.09,392.19
57,0.5371,,0.7076,196.09,196.09,392.19
58,0.5373,,0.7083,196.09,196.09,392.19
59,0.5369,,0.7083,196.09,196.09,392.19
60,0.5392,,0.7074,196.09,196.09,392.19
61,0.5411,,0.7094,196.09,196.09,392.19
62,0.5327,,0.7088,196.09,196.09,392.19
63,0.5368,,0.7089,196.09,196.09,392.19
64,0.5425,,0.7072,196.09,196.09,392.19
65,0.5399,,0.7098,196.09,196.09,392.19
66,0.5423,,0.7091,196.09,196.09,392.19
67,0.5430,,0.7084,196.09,196.09,392.19
68,0.5469,,0.7096,196.09,196.09,392.19
69,0.5477,,0.7097,196.09,196.09,392.19
70,0.5441,,0.7084,196.09,196.09,392.19
71,0.5417,,0.7081,196.09,196.09,392.19
72,0.5474,,0.7078,196.09,196.09,392.19
73,0.5463,,0.7092,196.09,196.09,392.19
74,0.5462,,0.7113,196.09,196.09,392.19
75,0.5458,,0.7121,196.09,196.09,392.19
76,0.5465,,0.7116,196.09,196.09,392.19
77,0.5487,,0.7156,196.09,196.09,392.19
78,0.5449,,0.7161,196.09,196.09,392.19
79,0.5436,,0.7129,196.09,196.09,392.19
80,0.5446,,0.7144,196.09,196.09,392.19
81,0.5462,,0.7153,196.09,196.09,392.19
82,0.5485,,0.7146,196.09,196.09,392.19
83,0.5458,,0.7139,196.09,196.09,392.19
84,0.5524,,0.7198,196.09,196.09,392.19
85,0.5485,,0.7144,196.09,196.09,392.19
86,0.5499,,0.7163,196.09,196.09,392.19
87,0.5520,,0.7168,196.09,196.09,392.19
88,0.5539,,0.7150,196.09,196.09,392.19
89,0.5500,,0.7192,196.09,196.09,392.19
90,0.5507,,0.7173,196.09,196.09,392.19
91,0.5458,,0.7197,196.09,196.09,392.19
92,0.5497,,0.7186,196.09,196.09,392.19
93,0.5532,,0.7207,196.09,196.09,392.19
94,0.5530,,0.7168,196.09,196.09,392.19
95,0.5526,,0.7186,196.09,196.09,392.19
96,0.5503,,0.7215,196.09,196.09,392.19
97,0.5528,,0.7219,196.09,196.09,392.19
98,0.5552,,0.7232,196.09,196.09,392.19
99,0.5511,,0.7251,196.09,196.09,392.19
100,0.5532,,0.7205,196.09,196.09,392.19
101,0.5564,,0.7211,196.09,196.09,392.19
