round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,78.63,78.63
2,0.1805,0.1431,2.2008,78.63,78.63,157.27
3,0.2619,0.2193,2.1131,78.63,78.63,157.27
4,0.2930,0.2515,2.0525,78.63,78.63,157.27
5,0.2956,0.2688,2.0016,78.63,78.63,157.27
6,0.3106,0.2832,1.9496,78.63,78.63,157.27
7,0.3100,0.2911,1.9059,78.63,78.63,157.27
8,0.3154,0.2965,1.8671,78.63,78.63,157.27
9,0.3310,0.3198,1.8340,78.63,78.63,157.27
10,0.3342,0.3215,1.8074,78.63,78.63,157.27
11,0.3463,0.3368,1.8045,78.63,78.63,157.27
12,0.3453,0.3373,1.7697,78.63,78.63,157.27
13,0.3425,0.3338,1.7531,78.63,78.63,157.27
14,0.3569,0.3510,1.7612,78.63,78.63,157.27
15,0.3508,0.3483,1.8165,78.63,78.63,157.27
16,0.3586,0.3584,1.7733,78.63,78.63,157.27
17,0.3846,0.3777,1.7150,78.63,78.63,157.27
18,0.3886,0.3846,1.7055,78.63,78.63,157.27
19,0.3937,0.3913,1.6981,78.63,78.63,157.27
20,0.4048,0.4025,1.6651,78.63,78.63,157.27
21,0.4016,0.4000,1.6620,78.63,78.63,157.27
22,0.3967,0.3943,1.6624,78.63,78.63,157.27
23,0.4082,0.4103,1.6348,78.63,78.63,157.27
24,0.4276,0.4260,1.6112,78.63,78.63,157.27
25,0.4345,0.4291,1.5965,78.63,78.63,157.27
26,0.4427,0.4408,1.6301,78.63,78.63,157.27
27,0.4432,0.4431,1.6228,78.63,78.63,157.27
28,0.4677,0.4614,1.6035,78.63,78.63,157.27
29,0.4470,0.4497,1.6627,78.63,78.63,157.27
30,0.4582,0.4550,1.6254,78.63,78.63,157.27
31,0.4702,0.4646,1.5801,78.63,78.63,157.27
32,0.4726,0.4703,1.5387,78.63,78.63,157.27
33,0.4778,0.4732,1.5544,78.63,78.63,157.27
34,0.4784,0.4794,1.5346,78.63,78.63,157.27
35,0.4842,0.4795,1.5443,78.63,78.63,157.27
36,0.4789,0.4749,1.5476,78.63,78.63,157.27
37,0.4748,0.4650,1.5795,78.63,78.63,157.27
38,0.4593,0.4552,1.5688,78.63,78.63,157.27
39,0.4801,0.4788,1.5049,78.63,78.63,157.27
40,0.4843,0.4767,1.5119,78.63,78.63,157.27
41,0.4929,0.4966,1.5336,78.63,78.63,157.27
42,0.4867,0.4938,1.5317,78.63,78.63,157.27
