round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,78.63,78.63
2,0.4994,0.1005,2.1553,78.63,78.63,157.27
3,0.4457,0.1433,2.1190,78.63,78.63,157.27
4,0.2846,0.1709,2.1247,78.63,78.63,157.27
5,0.2749,0.1782,2.1087,78.63,78.63,157.27
6,0.2838,0.1962,2.0888,78.63,78.63,157.27
7,0.3379,0.2105,2.0654,78.63,78.63,157.27
8,0.3352,0.2308,2.0474,78.63,78.63,157.27
9,0.3274,0.2375,2.0354,78.63,78.63,157.27
10,0.3372,0.2418,2.0284,78.63,78.63,157.27
11,0.3195,0.2316,2.0152,78.63,78.63,157.27
12,0.2915,0.2316,2.0110,78.63,78.63,157.27
13,0.2748,0.2249,2.0199,78.63,78.63,157.27
14,0.2369,0.2157,2.0199,78.63,78.63,157.27
15,0.2074,0.2097,2.0374,78.63,78.63,157.27
16,0.2462,0.2306,2.0004,78.63,78.63,157.27
17,0.2657,0.2499,1.9848,78.63,78.63,157.27
18,0.2681,0.2565,1.9864,78.63,78.63,157.27
19,0.2599,0.2667,1.9915,78.63,78.63,157.27
20,0.3121,0.2878,1.9449,78.63,78.63,157.27
21,0.3629,0.2788,1.9399,78.63,78.63,157.27
22,0.2849,0.2841,1.9150,78.63,78.63,157.27
23,0.3069,0.2894,1.8945,78.63,78.63,157.27
24,0.3304,0.2794,1.9094,78.63,78.63,157.27
25,0.3240,0.3095,1.8950,78.63,78.63,157.27
26,0.2915,0.3076,1.9171,78.63,78.63,157.27
27,0.3236,0.3083,1.9144,78.63,78.63,157.27
28,0.3674,0.2810,1.9498,78.63,78.63,157.27
29,0.3586,0.2470,2.0629,78.63,78.63,157.27
30,0.3326,0.2412,2.1227,78.63,78.63,157.27
31,0.3024,0.2330,2.2127,78.63,78.63,157.27
32,0.3748,0.2828,1.9936,78.63,78.63,157.27
33,0.3901,0.3082,1.8857,78.63,78.63,157.27
34,0.3791,0.3011,1.8975,78.63,78.63,157.27
35,0.3454,0.3219,1.8223,78.63,78.63,157.27
36,0.3669,0.3374,1.8358,78.63,78.63,157.27
37,0.3514,0.3269,1.9224,78.63,78.63,157.27
38,0.3189,0.3083,1.9589,78.63,78.63,157.27
39,0.3365,0.3239,1.9196,78.63,78.63,157.27
40,0.2931,0.3068,1.9584,78.63,78.63,157.27
41,0.3160,0.3117,1.9877,78.63,78.63,157.27
42,0.3344,0.3424,1.8668,78.63,78.63,157.27
43,0.2918,0.3098,1.9838,78.63,78.63,157.27
44,0.3131,0.3189,1.9435,78.63,78.63,157.27
45,0.2694,0.2800,2.0781,78.63,78.63,157.27
46,0.3318,0.3123,1.9691,78.63,78.63,157.27
47,0.3510,0.2912,2.0507,78.63,78.63,157.27
48,0.3871,0.3445,1.8226,78.63,78.63,157.27
49,0.4229,0.3209,1.7993,78.63,78.63,157.27
