round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0000,0.1000,2.3035,0.00,0.00,0.00
2,0.1759,0.1422,1.5782,0.17,0.20,0.36
3,0.2510,0.1610,1.3485,0.17,0.20,0.36
4,0.2685,0.1776,1.2579,0.17,0.20,0.36
5,0.2945,0.1912,1.1921,0.17,0.20,0.36
6,0.3010,0.2041,1.1386,0.17,0.20,0.36
7,0.3112,0.2121,1.1009,0.17,0.20,0.36
8,0.3171,0.2199,1.0550,0.17,0.20,0.36
9,0.3203,0.2267,1.0258,0.17,0.20,0.36
10,0.3284,0.2319,1.0060,0.17,0.20,0.36
11,0.3266,0.2394,0.9797,0.17,0.20,0.36
12,0.3362,0.2363,0.9631,0.17,0.20,0.36
13,0.3433,0.2477,0.9240,0.17,0.20,0.36
14,0.3430,0.2528,0.9222,0.17,0.20,0.36
15,0.3490,0.2548,0.9172,0.17,0.20,0.36
16,0.3486,0.2553,0.8893,0.17,0.20,0.36
17,0.3551,0.2615,0.8478,0.17,0.20,0.36
18,0.3647,0.2639,0.8615,0.17,0.20,0.36
19,0.3509,0.2679,0.8368,0.17,0.20,0.36
20,0.3433,0.2612,0.9371,0.17,0.20,0.36
21,0.3686,0.2735,0.8065,0.17,0.20,0.36
22,0.3683,0.2768,0.8275,0.17,0.20,0.36
23,0.3741,0.2761,0.8801,0.17,0.20,0.36
24,0.3650,0.2857,0.7736,0.17,0.20,0.36
25,0.3727,0.2777,0.7578,0.17,0.20,0.36
26,0.3838,0.2801,0.7192,0.17,0.20,0.36
27,0.3771,0.2704,0.9912,0.17,0.20,0.36
28,0.3796,0.2826,0.7986,0.17,0.20,0.36
29,0.3804,0.2882,0.7370,0.17,0.20,0.36
30,0.3878,0.2921,0.7177,0.17,0.20,0.36
31,0.3969,0.2871,0.6898,0.17,0.20,0.36
32,0.3843,0.2922,0.7463,0.17,0.20,0.36
33,0.3910,0.2939,0.7006,0.17,0.20,0.36
34,0.3818,0.2886,0.6874,0.17,0.20,0.36
35,0.3891,0.2786,0.7012,0.17,0.20,0.36
36,0.4038,0.2957,0.6882,0.17,0.20,0.36
37,0.3910,0.2958,0.6359,0.17,0.20,0.36
38,0.4181,0.3013,0.6080,0.17,0.20,0.36
39,0.3987,0.3097,0.6917,0.17,0.20,0.36
40,0.3856,0.2956,0.7019,0.17,0.20,0.36
41,0.3847,0.2927,0.6390,0.17,0.20,0.36
42,0.4215,0.3121,0.6274,0.17,0.20,0.36
43,0.3777,0.2998,0.6749,0.17,0.20,0.36
44,0.3947,0.3130,0.5318,0.17,0.20,0.36
45,0.3929,0.3013,0.7612,0.17,0.20,0.36
46,0.3739,0.3095,0.5413,0.17,0.20,0.36
47,0.4173,0.3062,0.5145,0.17,0.20,0.36
48,0.4001,0.3006,0.6390,0.17,0.20,0.36
49,0.4159,0.3139,0.6403,0.17,0.20,0.36
50,0.4099,0.3186,0.6586,0.17,0.20,0.36
51,0.4049,0.2982,0.6665,0.17,0.20,0.36
52,0.4143,0.3288,0.4666,0.17,0.20,0.36
53,0.4041,0.3082,0.6592,0.17,0.20,0.36
54,0.4291,0.3109,0.5024,0.17,0.20,0.36
55,0.4090,0.3061,0.5018,0.17,0.20,0.36
56,0.3827,0.3143,0.6050,0.17,0.20,0.36
57,0.4409,0.3242,0.4313,0.17,0.20,0.36
