round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.0000,0.1000,2.3035,0.00,0.00,0.00
2,0.2018,0.1007,2.0219,0.10,0.49,0.59
3,0.5021,0.1123,1.1648,0.10,0.49,0.59
4,0.6665,0.1429,0.7212,0.10,0.49,0.59
5,0.7350,0.1503,0.6100,0.10,0.49,0.59
6,0.7570,0.1529,0.5647,0.10,0.49,0.59
7,0.7714,0.1548,0.5331,0.10,0.49,0.59
8,0.7843,0.1570,0.5062,0.10,0.49,0.59
9,0.7956,0.1593,0.4813,0.10,0.49,0.59
10,0.8052,0.1608,0.4579,0.10,0.49,0.59
11,0.8107,0.1626,0.4351,0.10,0.49,0.59
12,0.8173,0.1635,0.4157,0.10,0.49,0.59
13,0.8226,0.1644,0.3977,0.10,0.49,0.59
14,0.8291,0.1653,0.3800,0.10,0.49,0.59
15,0.8296,0.1658,0.3668,0.10,0.49,0.59
16,0.8326,0.1662,0.3544,0.10,0.49,0.59
17,0.8351,0.1673,0.3392,0.10,0.49,0.59
18,0.8372,0.1672,0.3280,0.10,0.49,0.59
19,0.8384,0.1677,0.3158,0.10,0.49,0.59
20,0.8386,0.1674,0.3092,0.10,0.49,0.59
21,0.8468,0.1688,0.2942,0.10,0.49,0.59
22,0.8472,0.1683,0.2926,0.10,0.49,0.59
23,0.8463,0.1683,0.2816,0.10,0.49,0.59
24,0.8419,0.1683,0.2763,0.10,0.49,0.59
25,0.8478,0.1693,0.2617,0.10,0.49,0.59
26,0.8441,0.1685,0.2615,0.10,0.49,0.59
27,0.8475,0.1694,0.2456,0.10,0.49,0.59
28,0.8497,0.1691,0.2460,0.10,0.49,0.59
29,0.8437,0.1683,0.2420,0.10,0.49,0.59
30,0.8512,0.1690,0.2349,0.10,0.49,0.59
31,0.8460,0.1681,0.2361,0.10,0.49,0.59
32,0.8504,0.1693,0.2165,0.10,0.49,0.59
33,0.8377,0.1664,0.2479,0.10,0.49,0.59
34,0.8450,0.1690,0.2127,0.10,0.49,0.59
35,0.8418,0.1679,0.2223,0.10,0.49,0.59
36,0.8443,0.1691,0.2021,0.10,0.49,0.59
37,0.8519,0.1690,0.1965,0.10,0.49,0.59
38,0.8517,0.1700,0.1795,0.10,0.49,0.59
39,0.8457,0.1686,0.1893,0.10,0.49,0.59
40,0.8436,0.1687,0.1978,0.10,0.49,0.59
41,0.8576,0.1709,0.1544,0.10,0.49,0.59
42,0.8476,0.1694,0.1813,0.10,0.49,0.59
43,0.8465,0.1695,0.1678,0.10,0.49,0.59
44,0.8526,0.1698,0.1633,0.10,0.49,0.59
45,0.8498,0.1697,0.1572,0.10,0.49,0.59
46,0.8473,0.1685,0.1758,0.10,0.49,0.59
47,0.8488,0.1689,0.1575,0.10,0.49,0.59
48,0.8417,0.1688,0.1637,0.10,0.49,0.59
49,0.8527,0.1697,0.1397,0.10,0.49,0.59
50,0.8416,0.1682,0.1864,0.10,0.49,0.59
51,0.8536,0.1705,0.1308,0.10,0.49,0.59
52,0.8513,0.1698,0.1522,0.10,0.49,0.59
53,0.8541,0.1693,0.1764,0.10,0.49,0.59
54,0.8576,0.1707,0.1252,0.10,0.49,0.59
55,0.8447,0.1688,0.1568,0.10,0.49,0.59
56,0.8474,0.1682,0.1611,0.10,0.49,0.59
57,0.8510,0.1697,0.1266,0.10,0.49,0.59
58,0.8593,0.1711,0.1192,0.10,0.49,0.59
59,0.8529,0.1697,0.1407,0.10,0.49,0.59
60,0.8516,0.1698,0.1763,0.10,0.49,0.59
61,0.8544,0.1700,0.1388,0.10,0.49,0.59
62,0.8628,0.1722,0.0910,0.10,0.49,0.59
63,0.8637,0.1718,0.0863,0.10,0.49,0.59
64,0.8709,0.1731,0.0756,0.10,0.49,0.59
65,0.8645,0.1724,0.1157,0.10,0.49,0.59
66,0.8567,0.1711,0.1379,0.10,0.49,0.59
67,0.8626,0.1719,0.1182,0.10,0.49,0.59
68,0.8584,0.1705,0.1375,0.10,0.49,0.59
69,0.8655,0.1726,0.1233,0.10,0.49,0.59
70,0.8610,0.1714,0.1646,0.10,0.49,0.59
71,0.8623,0.1726,0.0946,0.10,0.49,0.59
72,0.8742,0.1737,0.0734,0.10,0.49,0.59
73,0.8726,0.1733,0.1097,0.10,0.49,0.59
74,0.8765,0.1748,0.0440,0.10,0.49,0.59
75,0.8661,0.1734,0.1194,0.10,0.49,0.59
76,0.8770,0.1747,0.0428,0.10,0.49,0.59
77,0.8771,0.1752,0.0408,0.10,0.49,0.59
78,0.8799,0.1755,0.0358,0.10,0.49,0.59
79,0.8724,0.1735,0.1089,0.10,0.49,0.59
80,0.8703,0.1737,0.0593,0.10,0.49,0.59
81,0.8694,0.1736,0.1061,0.10,0.49,0.59
82,0.8797,0.1750,0.0637,0.10,0.49,0.59
83,0.8751,0.1739,0.0910,0.10,0.49,0.59
84,0.8785,0.1749,0.0457,0.10,0.49,0.59
85,0.8847,0.1753,0.0322,0.10,0.49,0.59
86,0.8770,0.1748,0.0345,0.10,0.49,0.59
87,0.8839,0.1764,0.0226,0.10,0.49,0.59
88,0.8862,0.1760,0.0243,0.10,0.49,0.59
89,0.8782,0.1751,0.0584,0.10,0.49,0.59
90,0.8827,0.1756,0.0274,0.10,0.49,0.59
91,0.8829,0.1762,0.0214,0.10,0.49,0.59
92,0.8800,0.1752,0.0379,0.10,0.49,0.59
93,0.8851,0.1761,0.0259,0.10,0.49,0.59
94,0.8863,0.1763,0.0219,0.10,0.49,0.59
95,0.8831,0.1761,0.0238,0.10,0.49,0.59
96,0.8827,0.1765,0.0194,0.10,0.49,0.59
97,0.8876,0.1767,0.0185,0.10,0.49,0.59
98,0.8839,0.1760,0.0208,0.10,0.49,0.59
99,0.8777,0.1754,0.0292,0.10,0.49,0.59
100,0.8808,0.1761,0.0218,0.10,0.49,0.59
101,0.8809,0.1750,0.0473,0.10,0.49,0.59
