round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3032,0.00,78.63,78.63
2,0.1974,0.2090,2.2231,78.63,78.63,157.27
3,0.2650,0.2659,2.1082,78.63,78.63,157.27
4,0.2816,0.2848,2.0288,78.63,78.63,157.27
5,0.3074,0.3031,1.9734,78.63,78.63,157.27
6,0.3229,0.3196,1.9256,78.63,78.63,157.27
7,0.3226,0.3267,1.9027,78.63,78.63,157.27
8,0.3519,0.3465,1.8393,78.63,78.63,157.27
9,0.3522,0.3510,1.8228,78.63,78.63,157.27
10,0.3717,0.3645,1.7758,78.63,78.63,157.27
11,0.3706,0.3700,1.7620,78.63,78.63,157.27
12,0.3821,0.3790,1.7331,78.63,78.63,157.27
13,0.3978,0.3884,1.7150,78.63,78.63,157.27
14,0.4103,0.3962,1.6929,78.63,78.63,157.27
15,0.4181,0.4022,1.6767,78.63,78.63,157.27
16,0.4219,0.4067,1.6695,78.63,78.63,157.27
17,0.4336,0.4134,1.6585,78.63,78.63,157.27
18,0.4380,0.4199,1.6406,78.63,78.63,157.27
19,0.4439,0.4242,1.6392,78.63,78.63,157.27
20,0.4501,0.4310,1.6253,78.63,78.63,157.27
21,0.4547,0.4372,1.6152,78.63,78.63,157.27
22,0.4551,0.4387,1.6068,78.63,78.63,157.27
23,0.4641,0.4465,1.5956,78.63,78.63,157.27
24,0.4678,0.4487,1.6013,78.63,78.63,157.27
25,0.4669,0.4625,1.5423,78.63,78.63,157.27
26,0.4683,0.4640,1.5315,78.63,78.63,157.27
27,0.4664,0.4639,1.5298,78.63,78.63,157.27
28,0.4823,0.4699,1.5590,78.63,78.63,157.27
29,0.4804,0.4760,1.5081,78.63,78.63,157.27
30,0.4844,0.4766,1.5089,78.63,78.63,157.27
31,0.4900,0.4834,1.4882,78.63,78.63,157.27
32,0.4920,0.4845,1.4909,78.63,78.63,157.27
33,0.4976,0.4906,1.4788,78.63,78.63,157.27
34,0.4966,0.4918,1.4719,78.63,78.63,157.27
35,0.4958,0.4903,1.4878,78.63,78.63,157.27
36,0.5020,0.5020,1.4581,78.63,78.63,157.27
37,0.5065,0.5016,1.4753,78.63,78.63,157.27
38,0.5065,0.4997,1.4593,78.63,78.63,157.27
39,0.5115,0.5101,1.4251,78.63,78.63,157.27
40,0.5146,0.5110,1.4352,78.63,78.63,157.27
41,0.5160,0.5157,1.4181,78.63,78.63,157.27
42,0.5087,0.5096,1.4419,78.63,78.63,157.27
43,0.5050,0.5086,1.4400,78.63,78.63,157.27
44,0.5237,0.5221,1.4197,78.63,78.63,157.27
45,0.5286,0.5151,1.4736,78.63,78.63,157.27
46,0.5265,0.5258,1.3961,78.63,78.63,157.27
47,0.5260,0.5259,1.4038,78.63,78.63,157.27
48,0.5183,0.5238,1.4016,78.63,78.63,157.27
49,0.5394,0.5339,1.3733,78.63,78.63,157.27
50,0.5217,0.5278,1.4031,78.63,78.63,157.27
51,0.5354,0.5329,1.3814,78.63,78.63,157.27
52,0.5335,0.5345,1.3771,78.63,78.63,157.27
53,0.5375,0.5401,1.3766,78.63,78.63,157.27
54,0.5418,0.5423,1.3553,78.63,78.63,157.27
55,0.5430,0.5459,1.3474,78.63,78.63,157.27
56,0.5432,0.5430,1.3633,78.63,78.63,157.27
57,0.5508,0.5496,1.3452,78.63,78.63,157.27
58,0.5500,0.5513,1.3538,78.63,78.63,157.27
59,0.5521,0.5505,1.3507,78.63,78.63,157.27
60,0.5488,0.5528,1.3513,78.63,78.63,157.27
61,0.5545,0.5563,1.3328,78.63,78.63,157.27
62,0.5576,0.5593,1.3175,78.63,78.63,157.27
63,0.5594,0.5629,1.3269,78.63,78.63,157.27
64,0.5603,0.5627,1.3270,78.63,78.63,157.27
65,0.5653,0.5619,1.3333,78.63,78.63,157.27
66,0.5603,0.5620,1.3227,78.63,78.63,157.27
67,0.5723,0.5682,1.3163,78.63,78.63,157.27
68,0.5594,0.5614,1.3316,78.63,78.63,157.27
69,0.5657,0.5667,1.3203,78.63,78.63,157.27
70,0.5739,0.5734,1.2952,78.63,78.63,157.27
71,0.5715,0.5734,1.2789,78.63,78.63,157.27
72,0.5667,0.5726,1.2938,78.63,78.63,157.27
73,0.5717,0.5762,1.2850,78.63,78.63,157.27
74,0.5787,0.5669,1.3474,78.63,78.63,157.27
75,0.5818,0.5817,1.2850,78.63,78.63,157.27
76,0.5776,0.5823,1.2762,78.63,78.63,157.27
77,0.5751,0.5654,1.3596,78.63,78.63,157.27
78,0.5826,0.5737,1.3278,78.63,78.63,157.27
79,0.5764,0.5648,1.3643,78.63,78.63,157.27
80,0.5727,0.5791,1.2760,78.63,78.63,157.27
81,0.5783,0.5813,1.2783,78.63,78.63,157.27
82,0.5801,0.5878,1.2599,78.63,78.63,157.27
83,0.5887,0.5910,1.2402,78.63,78.63,157.27
84,0.5875,0.5897,1.2560,78.63,78.63,157.27
