round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3019,,,,,,,0.00,117.95,117.95
2,0.1118,,2.2405,,,,,,,117.95,117.95,235.90
3,0.1318,,2.0302,,,,,,,117.95,117.95,235.90
4,0.1666,,1.8414,,,,,,,117.95,117.95,235.90
5,0.1833,,1.7525,,,,,,,117.95,117.95,235.90
6,0.1893,,1.7075,,,,,,,117.95,117.95,235.90
7,0.1931,,1.6780,,,,,,,117.95,117.95,235.90
8,0.1984,,1.6569,,,,,,,117.95,117.95,235.90
9,0.2019,,1.6396,,,,,,,117.95,117.95,235.90
10,0.2062,,1.6257,,,,,,,117.95,117.95,235.90
11,0.2114,,1.6134,,,,,,,117.95,117.95,235.90
12,0.2127,,1.6023,,,,,,,117.95,117.95,235.90
13,0.2143,,1.5930,,,,,,,117.95,117.95,235.90
14,0.2139,,1.5841,,,,,,,117.95,117.95,235.90
15,0.2137,,1.5767,,,,,,,117.95,117.95,235.90
16,0.2113,,1.5693,,,,,,,117.95,117.95,235.90
17,0.2080,,1.5624,,,,,,,117.95,117.95,235.90
18,0.2085,,1.5557,,,,,,,117.95,117.95,235.90
19,0.2076,,1.5487,,,,,,,117.95,117.95,235.90
20,0.2056,,1.5434,,,,,,,117.95,117.95,235.90
21,0.2038,,1.5384,,,,,,,117.95,117.95,235.90
22,0.2036,,1.5325,,,,,,,117.95,117.95,235.90
23,0.2034,,1.5271,,,,,,,117.95,117.95,235.90
24,0.2017,,1.5228,,,,,,,117.95,117.95,235.90
25,0.2002,,1.5184,,,,,,,117.95,117.95,235.90
26,0.1999,,1.5135,,,,,,,117.95,117.95,235.90
27,0.2006,,1.5089,,,,,,,117.95,117.95,235.90
28,0.1987,,1.5051,,,,,,,117.95,117.95,235.90
29,0.1976,,1.5018,,,,,,,117.95,117.95,235.90
30,0.1986,,1.4980,,,,,,,117.95,117.95,235.90
31,0.2000,,1.4923,,,,,,,117.95,117.95,235.90
32,0.1981,,1.4895,,,,,,,117.95,117.95,235.90
33,0.1990,,1.4852,,,,,,,117.95,117.95,235.90
34,0.2008,,1.4801,,,,,,,117.95,117.95,235.90
35,0.2018,,1.4772,,,,,,,117.95,117.95,235.90
36,0.2032,,1.4716,,,,,,,117.95,117.95,235.90
37,0.2026,,1.4716,,,,,,,117.95,117.95,235.90
38,0.2025,,1.4656,,,,,,,117.95,117.95,235.90
39,0.2018,,1.4653,,,,,,,117.95,117.95,235.90
40,0.2010,,1.4622,,,,,,,117.95,117.95,235.90
41,0.2049,,1.4570,,,,,,,117.95,117.95,235.90
42,0.2034,,1.4565,,,,,,,117.95,117.95,235.90
43,0.2042,,1.4513,,,,,,,117.95,117.95,235.90
44,0.2092,,1.4425,,,,,,,117.95,117.95,235.90
45,0.2000,,1.4513,,,,,,,117.95,117.95,235.90
46,0.2040,,1.4432,,,,,,,117.95,117.95,235.90
47,0.2059,,1.4401,,,,,,,117.95,117.95,235.90
48,0.2073,,1.4351,,,,,,,117.95,117.95,235.90
49,0.2090,,1.4268,,,,,,,117.95,117.95,235.90
50,0.2096,,1.4252,,,,,,,117.95,117.95,235.90
51,0.2098,,1.4216,,,,,,,117.95,117.95,235.90
52,0.1651,,1.8184,,,,,,,117.95,196.58,314.53
53,0.1595,,2.2833,,,,,,,196.58,196.58,393.17
54,0.1707,,2.4310,,,,,,,196.58,196.58,393.17
55,0.1879,,2.2017,,,,,,,196.58,196.58,393.17
56,0.1971,,2.0753,,,,,,,196.58,196.58,393.17
57,0.2110,,2.0469,,,,,,,196.58,196.58,393.17
58,0.2154,,2.0365,,,,,,,196.58,196.58,393.17
59,0.2166,,2.0322,,,,,,,196.58,196.58,393.17
60,0.2205,,2.0263,,,,,,,196.58,196.58,393.17
61,0.2245,,2.0216,,,,,,,196.58,196.58,393.17
62,0.2286,,2.0138,,,,,,,196.58,196.58,393.17
63,0.2282,,2.0145,,,,,,,196.58,196.58,393.17
64,0.2291,,2.0097,,,,,,,196.58,196.58,393.17
65,0.2342,,2.0051,,,,,,,196.58,196.58,393.17
66,0.2339,,2.0006,,,,,,,196.58,196.58,393.17
67,0.2351,,1.9953,,,,,,,196.58,196.58,393.17
68,0.2367,,1.9937,,,,,,,196.58,196.58,393.17
69,0.2371,,1.9904,,,,,,,196.58,196.58,393.17
70,0.2404,,1.9872,,,,,,,196.58,196.58,393.17
71,0.2428,,1.9815,,,,,,,196.58,196.58,393.17
72,0.2440,,1.9804,,,,,,,196.58,196.58,393.17
73,0.2449,,1.9754,,,,,,,196.58,196.58,393.17
74,0.2468,,1.9733,,,,,,,196.58,196.58,393.17
75,0.2497,,1.9682,,,,,,,196.58,196.58,393.17
76,0.2513,,1.9648,,,,,,,196.58,196.58,393.17
77,0.2548,,1.9618,,,,,,,196.58,196.58,393.17
78,0.2562,,1.9596,,,,,,,196.58,196.58,393.17
79,0.2569,,1.9557,,,,,,,196.58,196.58,393.17
80,0.2573,,1.9523,,,,,,,196.58,196.58,393.17
81,0.2607,,1.9479,,,,,,,196.58,196.58,393.17
82,0.2643,,1.9422,,,,,,,196.58,196.58,393.17
83,0.2613,,1.9440,,,,,,,196.58,196.58,393.17
84,0.2652,,1.9425,,,,,,,196.58,196.58,393.17
85,0.2678,,1.9375,,,,,,,196.58,196.58,393.17
86,0.2692,,1.9326,,,,,,,196.58,196.58,393.17
87,0.2734,,1.9277,,,,,,,196.58,196.58,393.17
88,0.2748,,1.9219,,,,,,,196.58,196.58,393.17
89,0.2751,,1.9191,,,,,,,196.58,196.58,393.17
90,0.2781,,1.9143,,,,,,,196.58,196.58,393.17
91,0.2799,,1.9084,,,,,,,196.58,196.58,393.17
92,0.2830,,1.9035,,,,,,,196.58,196.58,393.17
