round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,117.95036316,117.95036316,0.00000000,117.95036316,117.95036316,117.95036316
1,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.32683333,0.05800000,,,0.22272361,0.05428570,,,30,30,0,0,1961,6000,1392,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,117.95036316,235.90072632,353.85108948,176.92554474
2,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.43600000,0.05575000,,,0.07460340,0.02376228,,,30,30,0,0,2616,6000,1338,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,235.90072632,353.85108948,589.75181580,196.58393860
3,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41166667,0.10533333,,,0.11794302,0.03616647,,,30,30,0,0,2470,6000,2528,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,353.85108948,471.80145264,825.65254211,206.41313553
4,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.40483333,0.12800000,,,0.15054060,0.03533265,,,30,30,0,0,2429,6000,3072,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,471.80145264,589.75181580,1061.55326843,212.31065369
5,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.40233333,0.13600000,,,0.14922987,0.02946820,,,30,30,0,0,2414,6000,3264,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,589.75181580,707.70217896,1297.45399475,216.24233246
6,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.40666667,0.13958333,,,0.14723753,0.02754983,,,30,30,0,0,2440,6000,3350,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,707.70217896,825.65254211,1533.35472107,219.05067444
7,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.40733333,0.14616667,,,0.14264603,0.02845123,,,30,30,0,0,2444,6000,3508,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,825.65254211,943.60290527,1769.25544739,221.15693092
8,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41383333,0.14883333,,,0.13979558,0.02905801,,,30,30,0,0,2483,6000,3572,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,943.60290527,1061.55326843,2005.15617371,222.79513041
9,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41600000,0.15370833,,,0.13708513,0.03029797,,,30,30,0,0,2496,6000,3689,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1061.55326843,1179.50363159,2241.05690002,224.10569000
10,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42033333,0.15912500,,,0.13666220,0.03113504,,,30,30,0,0,2522,6000,3819,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1179.50363159,1297.45399475,2476.95762634,225.17796603
11,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42016667,0.16066667,,,0.13473730,0.03201031,,,30,30,0,0,2521,6000,3856,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1297.45399475,1415.40435791,2712.85835266,226.07152939
12,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42783333,0.16091667,,,0.13370168,0.03047016,,,30,30,0,0,2567,6000,3862,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1415.40435791,1533.35472107,2948.75907898,226.82762146
13,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.43016667,0.15987500,,,0.12957934,0.03186781,,,30,30,0,0,2581,6000,3837,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1533.35472107,1651.30508423,3184.65980530,227.47570038
14,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42633333,0.16041667,,,0.12662894,0.03384913,,,30,30,0,0,2558,6000,3850,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1651.30508423,1769.25544739,3420.56053162,228.03736877
15,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.43200000,0.15612500,,,0.12669254,0.03497819,,,30,30,0,0,2592,6000,3747,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1769.25544739,1887.20581055,3656.46125793,228.52882862
16,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42583333,0.15345833,,,0.12284193,0.03705245,,,30,30,0,0,2555,6000,3683,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,1887.20581055,2005.15617371,3892.36198425,228.96246966
17,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42400000,0.15454167,,,0.12385072,0.03925011,,,30,30,0,0,2544,6000,3709,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2005.15617371,2123.10653687,4128.26271057,229.34792837
18,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42033333,0.15450000,,,0.11820838,0.03948180,,,30,30,0,0,2522,6000,3708,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2123.10653687,2241.05690002,4364.16343689,229.69281247
19,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42450000,0.15091667,,,0.11743331,0.04235506,,,30,30,0,0,2547,6000,3622,24000,0,0,0,0,117.95036316,117.95036316,235.90072632,2241.05690002,2359.00726318,4600.06416321,230.00320816
