round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,196.58,196.58
2,0.2276,0.1047,2.3136,196.58,196.58,393.17
3,0.3112,0.1235,2.2965,196.58,196.58,393.17
4,0.3140,0.1534,2.2505,196.58,196.58,393.17
5,0.3162,0.1685,2.2239,196.58,196.58,393.17
6,0.3194,0.1793,2.2096,196.58,196.58,393.17
7,0.3208,0.1880,2.2000,196.58,196.58,393.17
8,0.3165,0.1928,2.1918,196.58,196.58,393.17
9,0.3121,0.1965,2.1846,196.58,196.58,393.17
10,0.3066,0.1992,2.1780,196.58,196.58,393.17
11,0.2993,0.2017,2.1719,196.58,196.58,393.17
12,0.2963,0.2054,2.1658,196.58,196.58,393.17
13,0.2926,0.2084,2.1604,196.58,196.58,393.17
14,0.2885,0.2108,2.1546,196.58,196.58,393.17
15,0.2892,0.2143,2.1485,196.58,196.58,393.17
16,0.2882,0.2178,2.1433,196.58,196.58,393.17
17,0.2873,0.2217,2.1376,196.58,196.58,393.17
18,0.2877,0.2237,2.1319,196.58,196.58,393.17
19,0.2873,0.2274,2.1262,196.58,196.58,393.17
20,0.2886,0.2305,2.1207,196.58,196.58,393.17
21,0.2904,0.2335,2.1151,196.58,196.58,393.17
22,0.2940,0.2374,2.1098,196.58,196.58,393.17
23,0.2952,0.2421,2.1047,196.58,196.58,393.17
24,0.2977,0.2449,2.0991,196.58,196.58,393.17
25,0.2987,0.2477,2.0935,196.58,196.58,393.17
26,0.3036,0.2513,2.0884,196.58,196.58,393.17
27,0.3054,0.2539,2.0831,196.58,196.58,393.17
28,0.3112,0.2556,2.0779,196.58,196.58,393.17
29,0.3119,0.2581,2.0725,196.58,196.58,393.17
30,0.3164,0.2630,2.0670,196.58,196.58,393.17
31,0.3202,0.2648,2.0625,196.58,196.58,393.17
32,0.3186,0.2667,2.0572,196.58,196.58,393.17
33,0.3197,0.2683,2.0524,196.58,196.58,393.17
34,0.3225,0.2706,2.0472,196.58,196.58,393.17
35,0.3205,0.2723,2.0427,196.58,196.58,393.17
36,0.3279,0.2735,2.0379,196.58,196.58,393.17
37,0.3272,0.2753,2.0332,196.58,196.58,393.17
38,0.3290,0.2757,2.0283,196.58,196.58,393.17
39,0.3313,0.2766,2.0236,196.58,196.58,393.17
40,0.3325,0.2772,2.0194,196.58,196.58,393.17
41,0.3339,0.2784,2.0154,196.58,196.58,393.17
42,0.3328,0.2808,2.0119,196.58,196.58,393.17
43,0.3343,0.2802,2.0080,196.58,196.58,393.17
44,0.3330,0.2814,2.0040,196.58,196.58,393.17
45,0.3327,0.2814,2.0001,196.58,196.58,393.17
46,0.3385,0.2826,1.9971,196.58,196.58,393.17
47,0.3405,0.2835,1.9932,196.58,196.58,393.17
48,0.3420,0.2843,1.9900,196.58,196.58,393.17
49,0.3433,0.2836,1.9867,196.58,196.58,393.17
50,0.3454,0.2835,1.9840,196.58,196.58,393.17
51,0.3382,0.2866,1.9789,196.58,196.58,393.17
52,0.3457,0.2860,1.9760,196.58,196.58,393.17
53,0.3449,0.2876,1.9730,196.58,196.58,393.17
54,0.3457,0.2871,1.9711,196.58,196.58,393.17
55,0.3469,0.2880,1.9668,196.58,196.58,393.17
56,0.3481,0.2901,1.9641,196.58,196.58,393.17
57,0.3409,0.2924,1.9599,196.58,196.58,393.17
58,0.3529,0.2926,1.9572,196.58,196.58,393.17
59,0.3501,0.2928,1.9546,196.58,196.58,393.17
60,0.3500,0.2952,1.9515,196.58,196.58,393.17
61,0.3502,0.2946,1.9488,196.58,196.58,393.17
62,0.3525,0.2929,1.9474,196.58,196.58,393.17
63,0.3497,0.2946,1.9434,196.58,196.58,393.17
64,0.3552,0.2957,1.9443,196.58,196.58,393.17
65,0.3529,0.2953,1.9416,196.58,196.58,393.17
66,0.3529,0.2985,1.9375,196.58,196.58,393.17
67,0.3472,0.2991,1.9330,196.58,196.58,393.17
68,0.3576,0.2989,1.9348,196.58,196.58,393.17
69,0.3567,0.3004,1.9286,196.58,196.58,393.17
70,0.3624,0.3007,1.9280,196.58,196.58,393.17
71,0.3587,0.3003,1.9256,196.58,196.58,393.17
72,0.3548,0.3025,1.9201,196.58,196.58,393.17
73,0.3585,0.3040,1.9165,196.58,196.58,393.17
74,0.3584,0.3050,1.9146,196.58,196.58,393.17
75,0.3579,0.3046,1.9135,196.58,196.58,393.17
76,0.3723,0.3026,1.9174,196.58,196.58,393.17
77,0.3675,0.3042,1.9098,196.58,196.58,393.17
78,0.3633,0.3074,1.9064,196.58,196.58,393.17
79,0.3652,0.3056,1.9067,196.58,196.58,393.17
80,0.3622,0.3089,1.8994,196.58,196.58,393.17
81,0.3590,0.3097,1.8973,196.58,196.58,393.17
82,0.3708,0.3089,1.8973,196.58,196.58,393.17
83,0.3714,0.3091,1.8957,196.58,196.58,393.17
84,0.3693,0.3109,1.8936,196.58,196.58,393.17
85,0.3725,0.3082,1.8949,196.58,196.58,393.17
86,0.3703,0.3119,1.8861,196.58,196.58,393.17
87,0.3798,0.3097,1.8876,196.58,196.58,393.17
88,0.3766,0.3116,1.8823,196.58,196.58,393.17
89,0.3766,0.3098,1.8827,196.58,196.58,393.17
90,0.3751,0.3129,1.8754,196.58,196.58,393.17
91,0.3802,0.3145,1.8737,196.58,196.58,393.17
92,0.3850,0.3153,1.8734,196.58,196.58,393.17
93,0.3784,0.3164,1.8693,196.58,196.58,393.17
94,0.3810,0.3153,1.8672,196.58,196.58,393.17
95,0.3823,0.3161,1.8652,196.58,196.58,393.17
96,0.3858,0.3135,1.8690,196.58,196.58,393.17
97,0.3831,0.3155,1.8627,196.58,196.58,393.17
98,0.3869,0.3162,1.8583,196.58,196.58,393.17
99,0.3810,0.3191,1.8545,196.58,196.58,393.17
100,0.3869,0.3156,1.8583,196.58,196.58,393.17
101,0.3807,0.3197,1.8532,196.58,196.58,393.17
