round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3036,0.00,196.58,196.58
2,0.1418,,2.3122,196.58,196.58,393.17
3,0.1987,,2.2897,196.58,196.58,393.17
4,0.2322,,2.2388,196.58,196.58,393.17
5,0.2354,,2.2094,196.58,196.58,393.17
6,0.2403,,2.1930,196.58,196.58,393.17
7,0.2452,,2.1813,196.58,196.58,393.17
8,0.2476,,2.1717,196.58,196.58,393.17
9,0.2508,,2.1631,196.58,196.58,393.17
10,0.2544,,2.1554,196.58,196.58,393.17
11,0.2568,,2.1480,196.58,196.58,393.17
12,0.2587,,2.1409,196.58,196.58,393.17
13,0.2613,,2.1345,196.58,196.58,393.17
14,0.2635,,2.1279,196.58,196.58,393.17
15,0.2661,,2.1219,196.58,196.58,393.17
16,0.2698,,2.1157,196.58,196.58,393.17
17,0.2713,,2.1099,196.58,196.58,393.17
18,0.2726,,2.1040,196.58,196.58,393.17
19,0.2760,,2.0983,196.58,196.58,393.17
20,0.2780,,2.0932,196.58,196.58,393.17
21,0.2802,,2.0879,196.58,196.58,393.17
22,0.2823,,2.0829,196.58,196.58,393.17
23,0.2855,,2.0775,196.58,196.58,393.17
24,0.2871,,2.0724,196.58,196.58,393.17
25,0.2893,,2.0671,196.58,196.58,393.17
26,0.2904,,2.0627,196.58,196.58,393.17
27,0.2915,,2.0580,196.58,196.58,393.17
28,0.2944,,2.0530,196.58,196.58,393.17
29,0.2966,,2.0480,196.58,196.58,393.17
30,0.2984,,2.0427,196.58,196.58,393.17
31,0.3007,,2.0384,196.58,196.58,393.17
32,0.3032,,2.0336,196.58,196.58,393.17
33,0.3059,,2.0298,196.58,196.58,393.17
34,0.3067,,2.0254,196.58,196.58,393.17
35,0.3068,,2.0201,196.58,196.58,393.17
36,0.3099,,2.0169,196.58,196.58,393.17
37,0.3100,,2.0114,196.58,196.58,393.17
38,0.3115,,2.0086,196.58,196.58,393.17
39,0.3126,,2.0034,196.58,196.58,393.17
40,0.3145,,1.9996,196.58,196.58,393.17
41,0.3149,,1.9937,196.58,196.58,393.17
42,0.3146,,1.9893,196.58,196.58,393.17
43,0.3179,,1.9849,196.58,196.58,393.17
44,0.3168,,1.9829,196.58,196.58,393.17
45,0.3187,,1.9771,196.58,196.58,393.17
46,0.3209,,1.9719,196.58,196.58,393.17
47,0.3228,,1.9696,196.58,196.58,393.17
48,0.3228,,1.9653,196.58,196.58,393.17
49,0.3232,,1.9621,196.58,196.58,393.17
50,0.3231,,1.9574,196.58,196.58,393.17
51,0.3246,,1.9523,196.58,196.58,393.17
52,0.3275,,1.9501,196.58,196.58,393.17
53,0.3264,,1.9447,196.58,196.58,393.17
54,0.3282,,1.9423,196.58,196.58,393.17
55,0.3317,,1.9397,196.58,196.58,393.17
56,0.3316,,1.9362,196.58,196.58,393.17
57,0.3336,,1.9310,196.58,196.58,393.17
58,0.3335,,1.9295,196.58,196.58,393.17
59,0.3325,,1.9252,196.58,196.58,393.17
60,0.3351,,1.9233,196.58,196.58,393.17
61,0.3340,,1.9203,196.58,196.58,393.17
62,0.3360,,1.9151,196.58,196.58,393.17
63,0.3369,,1.9126,196.58,196.58,393.17
