round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,196.58,196.58
2,0.1094,0.1056,1.8994,0.00,196.58,196.58
3,0.1402,0.1165,1.3258,0.00,196.58,196.58
4,0.1452,0.1244,1.0459,0.00,196.58,196.58
5,0.1541,0.1284,0.8782,0.00,196.58,196.58
6,0.1570,0.1338,0.7657,0.00,196.58,196.58
7,0.1613,0.1379,0.6864,0.00,196.58,196.58
8,0.1640,0.1412,0.6357,0.00,196.58,196.58
9,0.1673,0.1431,0.5906,0.00,196.58,196.58
10,0.1711,0.1450,0.5573,0.00,196.58,196.58
11,0.1698,0.1471,0.5322,0.00,196.58,196.58
12,0.1751,0.1494,0.5108,0.00,196.58,196.58
13,0.1780,0.1516,0.4908,0.00,196.58,196.58
14,0.1782,0.1524,0.4761,0.00,196.58,196.58
15,0.1814,0.1555,0.4572,0.00,196.58,196.58
16,0.1808,0.1566,0.4453,0.00,196.58,196.58
17,0.1810,0.1581,0.4460,0.00,196.58,196.58
18,0.1869,0.1601,0.4250,0.00,196.58,196.58
19,0.1826,0.1613,0.4108,0.00,196.58,196.58
20,0.1862,0.1630,0.4143,0.00,196.58,196.58
21,0.1910,0.1622,0.4016,0.00,196.58,196.58
22,0.1881,0.1669,0.3897,0.00,196.58,196.58
23,0.1858,0.1674,0.3837,0.00,196.58,196.58
24,0.1882,0.1684,0.3680,0.00,196.58,196.58
25,0.1922,0.1684,0.3813,0.00,196.58,196.58
26,0.1851,0.1661,0.3636,0.00,196.58,196.58
27,0.1939,0.1695,0.3486,0.00,196.58,196.58
28,0.1952,0.1701,0.3530,0.00,196.58,196.58
29,0.1956,0.1722,0.3485,0.00,196.58,196.58
30,0.2002,0.1718,0.3532,0.00,196.58,196.58
31,0.1895,0.1736,0.3371,0.00,196.58,196.58
32,0.1936,0.1749,0.3216,0.00,196.58,196.58
33,0.1931,0.1734,0.3509,0.00,196.58,196.58
34,0.1967,0.1704,0.3411,0.00,196.58,196.58
35,0.1949,0.1774,0.3342,0.00,196.58,196.58
36,0.1910,0.1767,0.3058,0.00,196.58,196.58
37,0.1950,0.1759,0.3288,0.00,196.58,196.58
38,0.1987,0.1784,0.2893,0.00,196.58,196.58
39,0.1969,0.1783,0.3126,0.00,196.58,196.58
40,0.2067,0.1768,0.3377,0.00,196.58,196.58
41,0.1988,0.1801,0.2767,0.00,196.58,196.58
42,0.1991,0.1774,0.3127,0.00,196.58,196.58
43,0.2007,0.1780,0.3417,0.00,196.58,196.58
44,0.1998,0.1827,0.2972,0.00,196.58,196.58
45,0.1897,0.1812,0.3033,0.00,196.58,196.58
46,0.1930,0.1789,0.2996,0.00,196.58,196.58
47,0.2013,0.1831,0.2683,0.00,196.58,196.58
48,0.1988,0.1829,0.2524,0.00,196.58,196.58
49,0.1995,0.1820,0.2679,0.00,196.58,196.58
50,0.2006,0.1823,0.2725,0.00,196.58,196.58
51,0.2002,0.1807,0.2789,0.00,196.58,196.58
52,0.2131,0.1822,0.2597,0.00,196.58,196.58
53,0.1869,0.1830,0.2328,0.00,196.58,196.58
54,0.1861,0.1823,0.2469,0.00,196.58,196.58
55,0.2017,0.1809,0.2767,0.00,196.58,196.58
56,0.2044,0.1834,0.2682,0.00,196.58,196.58
57,0.2229,0.1830,0.3207,0.00,196.58,196.58
58,0.1976,0.1846,0.2865,0.00,196.58,196.58
59,0.2043,0.1885,0.3914,0.00,196.58,196.58
60,0.2035,0.1792,0.4874,0.00,196.58,196.58
61,0.1892,0.1828,0.2567,0.00,196.58,196.58
62,0.2151,0.1833,0.2399,0.00,196.58,196.58
63,0.2143,0.1898,0.2187,0.00,196.58,196.58
64,0.2062,0.1905,0.2693,0.00,196.58,196.58
65,0.2122,0.1903,0.2512,0.00,196.58,196.58
