round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,0.20,0.20
2,0.6742,0.1349,1.5083,0.20,0.20,0.39
3,0.7671,0.1533,0.8972,0.20,0.20,0.39
4,0.7899,0.1575,0.6900,0.20,0.20,0.39
5,0.8030,0.1605,0.5738,0.20,0.20,0.39
6,0.8175,0.1628,0.4987,0.20,0.20,0.39
7,0.8298,0.1655,0.4450,0.20,0.20,0.39
8,0.8342,0.1667,0.4096,0.20,0.20,0.39
9,0.8372,0.1671,0.3880,0.20,0.20,0.39
10,0.8413,0.1678,0.3652,0.20,0.20,0.39
11,0.8406,0.1680,0.3464,0.20,0.20,0.39
12,0.8458,0.1687,0.3343,0.20,0.20,0.39
13,0.8480,0.1688,0.3243,0.20,0.20,0.39
14,0.8472,0.1691,0.3146,0.20,0.20,0.39
15,0.8520,0.1702,0.2973,0.20,0.20,0.39
16,0.8506,0.1701,0.2973,0.20,0.20,0.39
17,0.8558,0.1707,0.2826,0.20,0.20,0.39
18,0.8416,0.1687,0.2918,0.20,0.20,0.39
19,0.8380,0.1676,0.3056,0.20,0.20,0.39
20,0.8399,0.1680,0.2988,0.20,0.20,0.39
21,0.8354,0.1671,0.3000,0.20,0.20,0.39
22,0.8608,0.1720,0.2417,0.20,0.20,0.39
23,0.8571,0.1707,0.2617,0.20,0.20,0.39
24,0.8543,0.1705,0.2487,0.20,0.20,0.39
25,0.8347,0.1664,0.3040,0.20,0.20,0.39
26,0.8526,0.1703,0.2630,0.20,0.20,0.39
27,0.8461,0.1695,0.2613,0.20,0.20,0.39
28,0.8490,0.1693,0.2503,0.20,0.20,0.39
29,0.8294,0.1653,0.3003,0.20,0.20,0.39
30,0.8576,0.1718,0.2085,0.20,0.20,0.39
31,0.8536,0.1708,0.2261,0.20,0.20,0.39
32,0.8593,0.1715,0.2115,0.20,0.20,0.39
33,0.8364,0.1669,0.2704,0.20,0.20,0.39
34,0.8531,0.1701,0.2152,0.20,0.20,0.39
35,0.8541,0.1710,0.2035,0.20,0.20,0.39
36,0.8473,0.1693,0.2458,0.20,0.20,0.39
37,0.8316,0.1655,0.2964,0.20,0.20,0.39
38,0.8560,0.1710,0.2099,0.20,0.20,0.39
39,0.8597,0.1724,0.1797,0.20,0.20,0.39
40,0.8718,0.1738,0.1766,0.20,0.20,0.39
41,0.8580,0.1712,0.1998,0.20,0.20,0.39
42,0.8592,0.1722,0.1921,0.20,0.20,0.39
43,0.8730,0.1746,0.1460,0.20,0.20,0.39
44,0.8521,0.1707,0.2254,0.20,0.20,0.39
45,0.8658,0.1728,0.1601,0.20,0.20,0.39
46,0.8642,0.1725,0.1808,0.20,0.20,0.39
47,0.8310,0.1661,0.3424,0.20,0.20,0.39
48,0.8728,0.1745,0.1268,0.20,0.20,0.39
49,0.8570,0.1710,0.1907,0.20,0.20,0.39
50,0.8253,0.1650,0.4324,0.20,0.20,0.39
51,0.8792,0.1753,0.1199,0.20,0.20,0.39
52,0.8605,0.1710,0.1999,0.20,0.20,0.39
53,0.8519,0.1699,0.1947,0.20,0.20,0.39
54,0.8641,0.1734,0.1476,0.20,0.20,0.39
55,0.8843,0.1771,0.0855,0.20,0.20,0.39
56,0.8692,0.1742,0.1315,0.20,0.20,0.39
57,0.8807,0.1756,0.1212,0.20,0.20,0.39
58,0.8285,0.1651,0.5053,0.20,0.20,0.39
59,0.8660,0.1732,0.1474,0.20,0.20,0.39
60,0.8539,0.1695,0.2579,0.20,0.20,0.39
61,0.8756,0.1743,0.1592,0.20,0.20,0.39
62,0.8898,0.1778,0.0545,0.20,0.20,0.39
63,0.8647,0.1727,0.2183,0.20,0.20,0.39
64,0.8674,0.1734,0.1605,0.20,0.20,0.39
65,0.8737,0.1745,0.1234,0.20,0.20,0.39
66,0.8798,0.1756,0.1380,0.20,0.20,0.39
67,0.8932,0.1779,0.0628,0.20,0.20,0.39
68,0.8799,0.1760,0.1178,0.20,0.20,0.39
69,0.8791,0.1754,0.1505,0.20,0.20,0.39
