round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,0.00,0.00
2,0.1571,0.1071,2.1799,0.00,0.00,0.00
3,0.1673,0.1299,1.8709,0.00,0.00,0.00
4,0.1927,0.1560,1.6684,0.00,0.00,0.00
5,0.2049,0.1706,1.5788,0.00,0.00,0.00
6,0.2089,0.1808,1.5241,0.00,0.00,0.00
7,0.2177,0.1881,1.4829,0.00,0.00,0.00
8,0.2216,0.1953,1.4468,0.00,0.00,0.00
9,0.2270,0.2010,1.4146,0.00,0.00,0.00
10,0.2378,0.2070,1.3851,0.00,0.00,0.00
11,0.2416,0.2120,1.3577,0.00,0.00,0.00
12,0.2456,0.2180,1.3291,0.00,0.00,0.00
13,0.2483,0.2225,1.3075,0.00,0.00,0.00
14,0.2526,0.2285,1.2810,0.00,0.00,0.00
15,0.2595,0.2333,1.2549,0.00,0.00,0.00
16,0.2624,0.2371,1.2368,0.00,0.00,0.00
17,0.2662,0.2416,1.2183,0.00,0.00,0.00
18,0.2700,0.2460,1.1954,0.00,0.00,0.00
19,0.2681,0.2466,1.1890,0.00,0.00,0.00
20,0.2748,0.2528,1.1575,0.00,0.00,0.00
21,0.2768,0.2573,1.1367,0.00,0.00,0.00
22,0.2840,0.2610,1.1190,0.00,0.00,0.00
23,0.2819,0.2631,1.1078,0.00,0.00,0.00
24,0.2865,0.2651,1.0870,0.00,0.00,0.00
25,0.2880,0.2670,1.0866,0.00,0.00,0.00
26,0.2891,0.2701,1.0654,0.00,0.00,0.00
27,0.2946,0.2750,1.0400,0.00,0.00,0.00
28,0.2885,0.2699,1.0510,0.00,0.00,0.00
29,0.2902,0.2737,1.0342,0.00,0.00,0.00
30,0.2985,0.2798,1.0067,0.00,0.00,0.00
31,0.3066,0.2841,0.9817,0.00,0.00,0.00
32,0.3019,0.2807,0.9836,0.00,0.00,0.00
33,0.3012,0.2828,0.9761,0.00,0.00,0.00
34,0.3010,0.2838,0.9553,0.00,0.00,0.00
35,0.2976,0.2802,1.0161,0.00,0.00,0.00
36,0.3140,0.2912,0.9251,0.00,0.00,0.00
