round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,0.00,0.00
2,0.5032,0.1007,1.9372,0.00,0.00,0.00
3,0.5605,0.1124,1.1092,0.00,0.00,0.00
4,0.7145,0.1426,0.6914,0.00,0.00,0.00
5,0.7507,0.1500,0.5836,0.00,0.00,0.00
6,0.7655,0.1524,0.5400,0.00,0.00,0.00
7,0.7728,0.1543,0.5101,0.00,0.00,0.00
8,0.7837,0.1563,0.4844,0.00,0.00,0.00
9,0.7928,0.1583,0.4602,0.00,0.00,0.00
10,0.8011,0.1600,0.4384,0.00,0.00,0.00
11,0.8098,0.1616,0.4163,0.00,0.00,0.00
12,0.8156,0.1632,0.3954,0.00,0.00,0.00
13,0.8249,0.1642,0.3781,0.00,0.00,0.00
14,0.8233,0.1648,0.3622,0.00,0.00,0.00
15,0.8304,0.1659,0.3470,0.00,0.00,0.00
16,0.8327,0.1663,0.3313,0.00,0.00,0.00
17,0.8383,0.1668,0.3214,0.00,0.00,0.00
18,0.8365,0.1672,0.3096,0.00,0.00,0.00
19,0.8382,0.1674,0.3002,0.00,0.00,0.00
20,0.8426,0.1680,0.2885,0.00,0.00,0.00
21,0.8422,0.1677,0.2827,0.00,0.00,0.00
22,0.8440,0.1685,0.2709,0.00,0.00,0.00
23,0.8418,0.1686,0.2624,0.00,0.00,0.00
24,0.8475,0.1684,0.2617,0.00,0.00,0.00
25,0.8422,0.1681,0.2587,0.00,0.00,0.00
26,0.8393,0.1679,0.2488,0.00,0.00,0.00
27,0.8433,0.1689,0.2343,0.00,0.00,0.00
28,0.8492,0.1691,0.2256,0.00,0.00,0.00
29,0.8444,0.1686,0.2280,0.00,0.00,0.00
30,0.8466,0.1686,0.2170,0.00,0.00,0.00
31,0.8449,0.1684,0.2130,0.00,0.00,0.00
32,0.8468,0.1693,0.2025,0.00,0.00,0.00
33,0.8513,0.1695,0.1975,0.00,0.00,0.00
34,0.8461,0.1687,0.2031,0.00,0.00,0.00
35,0.8401,0.1672,0.2147,0.00,0.00,0.00
36,0.8397,0.1678,0.2054,0.00,0.00,0.00
37,0.8496,0.1694,0.1785,0.00,0.00,0.00
38,0.8478,0.1696,0.1693,0.00,0.00,0.00
39,0.8427,0.1682,0.1863,0.00,0.00,0.00
40,0.8416,0.1682,0.1785,0.00,0.00,0.00
41,0.8459,0.1686,0.1747,0.00,0.00,0.00
42,0.8381,0.1683,0.1735,0.00,0.00,0.00
43,0.8515,0.1692,0.1584,0.00,0.00,0.00
44,0.8439,0.1678,0.1753,0.00,0.00,0.00
45,0.8538,0.1701,0.1472,0.00,0.00,0.00
46,0.8491,0.1686,0.1530,0.00,0.00,0.00
