round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3036,0.00,196.09,196.09
2,0.2759,,2.1230,196.09,196.09,392.19
3,0.2846,,1.4670,196.09,196.09,392.19
4,0.3401,,0.9136,196.09,196.09,392.19
5,0.3803,,0.7235,196.09,196.09,392.19
6,0.3946,,0.6520,196.09,196.09,392.19
7,0.4018,,0.6137,196.09,196.09,392.19
8,0.4071,,0.5886,196.09,196.09,392.19
9,0.4129,,0.5698,196.09,196.09,392.19
10,0.4165,,0.5553,196.09,196.09,392.19
11,0.4182,,0.5436,196.09,196.09,392.19
12,0.4209,,0.5332,196.09,196.09,392.19
13,0.4227,,0.5245,196.09,196.09,392.19
14,0.4256,,0.5168,196.09,196.09,392.19
15,0.4273,,0.5097,196.09,196.09,392.19
16,0.4289,,0.5030,196.09,196.09,392.19
17,0.4313,,0.4954,196.09,196.09,392.19
18,0.4341,,0.4884,196.09,196.09,392.19
19,0.4345,,0.4831,196.09,196.09,392.19
20,0.4362,,0.4774,196.09,196.09,392.19
21,0.4384,,0.4710,196.09,196.09,392.19
22,0.4405,,0.4644,196.09,196.09,392.19
23,0.4415,,0.4590,196.09,196.09,392.19
24,0.4430,,0.4541,196.09,196.09,392.19
25,0.4439,,0.4480,196.09,196.09,392.19
26,0.4458,,0.4429,196.09,196.09,392.19
27,0.4484,,0.4374,196.09,196.09,392.19
28,0.4484,,0.4329,196.09,196.09,392.19
29,0.4505,,0.4274,196.09,196.09,392.19
30,0.4517,,0.4227,196.09,196.09,392.19
31,0.4537,,0.4174,196.09,196.09,392.19
32,0.4548,,0.4123,196.09,196.09,392.19
33,0.4547,,0.4100,196.09,196.09,392.19
34,0.4562,,0.4059,196.09,196.09,392.19
35,0.4582,,0.3992,196.09,196.09,392.19
36,0.4599,,0.3962,196.09,196.09,392.19
37,0.4610,,0.3906,196.09,196.09,392.19
38,0.4619,,0.3879,196.09,196.09,392.19
39,0.4628,,0.3841,196.09,196.09,392.19
40,0.4635,,0.3819,196.09,196.09,392.19
41,0.4654,,0.3762,196.09,196.09,392.19
42,0.4650,,0.3736,196.09,196.09,392.19
43,0.4662,,0.3695,196.09,196.09,392.19
44,0.4660,,0.3679,196.09,196.09,392.19
45,0.4675,,0.3640,196.09,196.09,392.19
46,0.4690,,0.3597,196.09,196.09,392.19
47,0.4689,,0.3581,196.09,196.09,392.19
48,0.4688,,0.3548,196.09,196.09,392.19
49,0.4693,,0.3526,196.09,196.09,392.19
50,0.4704,,0.3488,196.09,196.09,392.19
51,0.4722,,0.3458,196.09,196.09,392.19
52,0.4724,,0.3445,196.09,196.09,392.19
53,0.4735,,0.3410,196.09,196.09,392.19
54,0.4735,,0.3389,196.09,196.09,392.19
55,0.4729,,0.3377,196.09,196.09,392.19
56,0.4744,,0.3342,196.09,196.09,392.19
57,0.4754,,0.3317,196.09,196.09,392.19
58,0.4758,,0.3296,196.09,196.09,392.19
59,0.4760,,0.3278,196.09,196.09,392.19
60,0.4763,,0.3276,196.09,196.09,392.19
61,0.4770,,0.3253,196.09,196.09,392.19
62,0.4777,,0.3224,196.09,196.09,392.19
63,0.4778,,0.3207,196.09,196.09,392.19
64,0.4781,,0.3179,196.09,196.09,392.19
65,0.4784,,0.3149,196.09,196.09,392.19
66,0.4796,,0.3127,196.09,196.09,392.19
67,0.4798,,0.3114,196.09,196.09,392.19
68,0.4803,,0.3097,196.09,196.09,392.19
69,0.4806,,0.3087,196.09,196.09,392.19
70,0.4810,,0.3062,196.09,196.09,392.19
71,0.4804,,0.3061,196.09,196.09,392.19
72,0.4806,,0.3041,196.09,196.09,392.19
73,0.4814,,0.3027,196.09,196.09,392.19
74,0.4821,,0.3010,196.09,196.09,392.19
75,0.4821,,0.3011,196.09,196.09,392.19
76,0.4824,,0.2979,196.09,196.09,392.19
77,0.4823,,0.2985,196.09,196.09,392.19
78,0.4827,,0.2966,196.09,196.09,392.19
79,0.4821,,0.2962,196.09,196.09,392.19
80,0.4832,,0.2925,196.09,196.09,392.19
81,0.4842,,0.2909,196.09,196.09,392.19
82,0.4842,,0.2897,196.09,196.09,392.19
83,0.4842,,0.2880,196.09,196.09,392.19
84,0.4849,,0.2882,196.09,196.09,392.19
85,0.4850,,0.2854,196.09,196.09,392.19
86,0.4850,,0.2849,196.09,196.09,392.19
87,0.4854,,0.2829,196.09,196.09,392.19
88,0.4847,,0.2840,196.09,196.09,392.19
89,0.4853,,0.2830,196.09,196.09,392.19
90,0.4860,,0.2794,196.09,196.09,392.19
91,0.4867,,0.2785,196.09,196.09,392.19
92,0.4874,,0.2748,196.09,196.09,392.19
93,0.4868,,0.2756,196.09,196.09,392.19
94,0.4864,,0.2780,196.09,196.09,392.19
95,0.4871,,0.2748,196.09,196.09,392.19
96,0.4877,,0.2735,196.09,196.09,392.19
97,0.4883,,0.2713,196.09,196.09,392.19
98,0.4880,,0.2714,196.09,196.09,392.19
99,0.4886,,0.2685,196.09,196.09,392.19
100,0.4887,,0.2696,196.09,196.09,392.19
101,0.4892,,0.2677,196.09,196.09,392.19
102,0.4893,,0.2664,196.09,196.09,392.19
103,0.4915,,0.2610,0.49,24.51,25.00
