round,local_test_acc,global_test_acc,train_loss,uplink_mb,downlink_mb,total_mb
1,0.1000,0.1000,2.3035,0.00,80.59,80.59
2,0.1755,0.1417,2.2087,78.63,80.59,159.23
3,0.2457,0.2118,2.1087,78.63,80.59,159.23
4,0.2655,0.2390,2.0496,78.63,80.59,159.23
5,0.2735,0.2567,2.0023,78.63,80.59,159.23
6,0.2841,0.2703,1.9594,78.63,80.59,159.23
7,0.2892,0.2817,1.9249,78.63,80.59,159.23
8,0.2979,0.2908,1.8909,78.63,80.59,159.23
9,0.3030,0.2981,1.8655,78.63,80.59,159.23
10,0.3124,0.3079,1.8409,78.63,80.59,159.23
11,0.3130,0.3121,1.8269,78.63,80.59,159.23
12,0.3176,0.3169,1.8135,78.63,80.59,159.23
13,0.3253,0.3232,1.7988,78.63,80.59,159.23
14,0.3310,0.3286,1.7922,78.63,80.59,159.23
15,0.3318,0.3321,1.7862,78.63,80.59,159.23
16,0.3397,0.3368,1.7835,78.63,80.59,159.23
17,0.3412,0.3411,1.7697,78.63,80.59,159.23
18,0.3479,0.3472,1.7608,78.63,80.59,159.23
19,0.3539,0.3529,1.7569,78.63,80.59,159.23
20,0.3546,0.3569,1.7538,78.63,80.59,159.23
21,0.3594,0.3621,1.7441,78.63,80.59,159.23
22,0.3714,0.3707,1.7296,78.63,80.59,159.23
23,0.3702,0.3734,1.7223,78.63,80.59,159.23
24,0.3723,0.3765,1.7206,78.63,80.59,159.23
25,0.3683,0.3762,1.7225,78.63,80.59,159.23
26,0.3808,0.3851,1.7100,78.63,80.59,159.23
27,0.3838,0.3903,1.6959,78.63,80.59,159.23
28,0.3962,0.3986,1.6865,78.63,80.59,159.23
29,0.4005,0.4017,1.6875,78.63,80.59,159.23
30,0.4027,0.4088,1.6762,78.63,80.59,159.23
31,0.4071,0.4117,1.6558,78.63,80.59,159.23
32,0.4139,0.4207,1.6524,78.63,80.59,159.23
33,0.4177,0.4247,1.6454,78.63,80.59,159.23
34,0.4269,0.4290,1.6318,78.63,80.59,159.23
35,0.4260,0.4330,1.6327,78.63,80.59,159.23
36,0.4269,0.4324,1.6233,78.63,80.59,159.23
37,0.4336,0.4401,1.6166,78.63,80.59,159.23
38,0.4393,0.4450,1.6160,78.63,80.59,159.23
39,0.4381,0.4431,1.6092,78.63,80.59,159.23
40,0.4294,0.4433,1.6245,78.63,80.59,159.23
41,0.4537,0.4561,1.5885,78.63,80.59,159.23
42,0.4484,0.4547,1.5927,78.63,80.59,159.23
43,0.4488,0.4551,1.6000,78.63,80.59,159.23
44,0.4613,0.4659,1.5777,78.63,80.59,159.23
45,0.4513,0.4569,1.6023,78.63,80.59,159.23
46,0.4596,0.4620,1.5796,78.63,80.59,159.23
47,0.4581,0.4659,1.5787,78.63,80.59,159.23
48,0.4608,0.4724,1.5696,78.63,80.59,159.23
49,0.4679,0.4754,1.5625,78.63,80.59,159.23
50,0.4766,0.4787,1.5698,78.63,80.59,159.23
51,0.4662,0.4769,1.5726,78.63,80.59,159.23
52,0.4597,0.4686,1.5906,78.63,80.59,159.23
53,0.4705,0.4767,1.5786,78.63,80.59,159.23
54,0.4732,0.4830,1.5466,78.63,80.59,159.23
55,0.4753,0.4798,1.5461,78.63,80.59,159.23
56,0.4774,0.4820,1.5551,78.63,80.59,159.23
57,0.4823,0.4882,1.5430,78.63,80.59,159.23
58,0.4829,0.4871,1.5505,78.63,80.59,159.23
59,0.4898,0.4924,1.5400,78.63,80.59,159.23
60,0.4924,0.4945,1.5299,78.63,80.59,159.23
61,0.4926,0.4960,1.5279,78.63,80.59,159.23
