round,local_test_acc,global_test_acc,train_loss,id_test_acc,ood_test_acc,id_test_count,ood_test_count,id_client_std,ood_client_std,uplink_mb,downlink_mb,total_mb
1,0.1000,,2.3019,,,,,,,0.00,120.89,120.89
2,0.1106,,2.2368,,,,,,,117.95,120.89,238.84
3,0.1308,,2.0184,,,,,,,117.95,120.89,238.84
4,0.1669,,1.8264,,,,,,,117.95,120.89,238.84
5,0.1848,,1.7370,,,,,,,117.95,120.89,238.84
6,0.1899,,1.6921,,,,,,,117.95,120.89,238.84
7,0.1941,,1.6629,,,,,,,117.95,120.89,238.84
8,0.1992,,1.6419,,,,,,,117.95,120.89,238.84
9,0.2046,,1.6246,,,,,,,117.95,120.89,238.84
10,0.2070,,1.6106,,,,,,,117.95,120.89,238.84
11,0.2098,,1.5980,,,,,,,117.95,120.89,238.84
12,0.2119,,1.5868,,,,,,,117.95,120.89,238.84
13,0.2085,,1.5775,,,,,,,117.95,120.89,238.84
14,0.2053,,1.5683,,,,,,,117.95,120.89,238.84
15,0.2024,,1.5608,,,,,,,117.95,120.89,238.84
16,0.2023,,1.5532,,,,,,,117.95,120.89,238.84
17,0.1998,,1.5462,,,,,,,117.95,120.89,238.84
18,0.2021,,1.5390,,,,,,,117.95,120.89,238.84
19,0.2006,,1.5315,,,,,,,117.95,120.89,238.84
20,0.1994,,1.5262,,,,,,,117.95,120.89,238.84
21,0.1982,,1.5211,,,,,,,117.95,120.89,238.84
22,0.1982,,1.5151,,,,,,,117.95,120.89,238.84
23,0.1991,,1.5090,,,,,,,117.95,120.89,238.84
24,0.1977,,1.5052,,,,,,,117.95,120.89,238.84
25,0.1972,,1.5010,,,,,,,117.95,120.89,238.84
26,0.1968,,1.4955,,,,,,,117.95,120.89,238.84
27,0.1974,,1.4910,,,,,,,117.95,120.89,238.84
28,0.1966,,1.4871,,,,,,,117.95,120.89,238.84
29,0.1957,,1.4838,,,,,,,117.95,120.89,238.84
30,0.1962,,1.4800,,,,,,,117.95,120.89,238.84
31,0.1982,,1.4737,,,,,,,117.95,120.89,238.84
32,0.1966,,1.4719,,,,,,,117.95,120.89,238.84
33,0.1983,,1.4667,,,,,,,117.95,120.89,238.84
34,0.2016,,1.4609,,,,,,,117.95,120.89,238.84
35,0.2008,,1.4582,,,,,,,117.95,120.89,238.84
36,0.2024,,1.4516,,,,,,,117.95,120.89,238.84
37,0.2007,,1.4531,,,,,,,117.95,120.89,238.84
38,0.2009,,1.4463,,,,,,,117.95,120.89,238.84
39,0.2012,,1.4461,,,,,,,117.95,120.89,238.84
40,0.2013,,1.4434,,,,,,,117.95,120.89,238.84
41,0.2041,,1.4366,,,,,,,117.95,120.89,238.84
42,0.2026,,1.4379,,,,,,,117.95,120.89,238.84
43,0.2035,,1.4335,,,,,,,117.95,120.89,238.84
44,0.2084,,1.4220,,,,,,,117.95,120.89,238.84
45,0.1988,,1.4332,,,,,,,117.95,120.89,238.84
46,0.2036,,1.4231,,,,,,,117.95,120.89,238.84
47,0.2039,,1.4201,,,,,,,117.95,120.89,238.84
48,0.2066,,1.4152,,,,,,,117.95,120.89,238.84
49,0.2084,,1.4065,,,,,,,117.95,120.89,238.84
50,0.2093,,1.4041,,,,,,,117.95,120.89,238.84
51,0.2092,,1.4011,,,,,,,117.95,120.89,238.84
52,0.1642,,1.8022,,,,,,,117.95,201.49,319.44
53,0.1587,,2.1554,,,,,,,196.58,201.49,398.07
54,0.1795,,2.2177,,,,,,,196.58,201.49,398.07
55,0.1980,,2.0747,,,,,,,196.58,201.49,398.07
56,0.2067,,2.0239,,,,,,,196.58,201.49,398.07
57,0.2119,,2.0184,,,,,,,196.58,201.49,398.07
58,0.2107,,2.0149,,,,,,,196.58,201.49,398.07
59,0.2094,,2.0120,,,,,,,196.58,201.49,398.07
60,0.2113,,2.0074,,,,,,,196.58,201.49,398.07
61,0.2150,,2.0036,,,,,,,196.58,201.49,398.07
62,0.2194,,1.9980,,,,,,,196.58,201.49,398.07
63,0.2186,,1.9981,,,,,,,196.58,201.49,398.07
64,0.2176,,1.9952,,,,,,,196.58,201.49,398.07
65,0.2233,,1.9925,,,,,,,196.58,201.49,398.07
66,0.2215,,1.9884,,,,,,,196.58,201.49,398.07
67,0.2213,,1.9845,,,,,,,196.58,201.49,398.07
68,0.2228,,1.9820,,,,,,,196.58,201.49,398.07
69,0.2240,,1.9811,,,,,,,196.58,201.49,398.07
70,0.2292,,1.9793,,,,,,,196.58,201.49,398.07
71,0.2304,,1.9745,,,,,,,196.58,201.49,398.07
72,0.2311,,1.9748,,,,,,,196.58,201.49,398.07
73,0.2315,,1.9731,,,,,,,196.58,201.49,398.07
74,0.2335,,1.9707,,,,,,,196.58,201.49,398.07
75,0.2375,,1.9652,,,,,,,196.58,201.49,398.07
76,0.2377,,1.9645,,,,,,,196.58,201.49,398.07
77,0.2397,,1.9635,,,,,,,196.58,201.49,398.07
78,0.2394,,1.9626,,,,,,,196.58,201.49,398.07
79,0.2393,,1.9600,,,,,,,196.58,201.49,398.07
80,0.2379,,1.9585,,,,,,,196.58,201.49,398.07
81,0.2407,,1.9553,,,,,,,196.58,201.49,398.07
82,0.2447,,1.9519,,,,,,,196.58,201.49,398.07
83,0.2402,,1.9535,,,,,,,196.58,201.49,398.07
84,0.2420,,1.9539,,,,,,,196.58,201.49,398.07
85,0.2434,,1.9517,,,,,,,196.58,201.49,398.07
86,0.2439,,1.9483,,,,,,,196.58,201.49,398.07
87,0.2495,,1.9438,,,,,,,196.58,201.49,398.07
88,0.2498,,1.9393,,,,,,,196.58,201.49,398.07
89,0.2505,,1.9373,,,,,,,196.58,201.49,398.07
90,0.2518,,1.9359,,,,,,,196.58,201.49,398.07
91,0.2547,,1.9314,,,,,,,196.58,201.49,398.07
92,0.2584,,1.9278,,,,,,,196.58,201.49,398.07
93,0.2562,,1.9257,,,,,,,196.58,201.49,398.07
94,0.2589,,1.9234,,,,,,,196.58,201.49,398.07
95,0.2600,,1.9234,,,,,,,196.58,201.49,398.07
96,0.2570,,1.9232,,,,,,,196.58,201.49,398.07
97,0.2615,,1.9201,,,,,,,196.58,201.49,398.07
98,0.2660,,1.9150,,,,,,,196.58,201.49,398.07
99,0.2701,,1.9057,,,,,,,196.58,201.49,398.07
100,0.2671,,1.9086,,,,,,,196.58,201.49,398.07
101,0.2649,,1.9107,,,,,,,196.58,201.49,398.07
