round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,120.89149475,120.89149475,0.00000000,120.89149475,120.89149475,120.89149475
1,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.33350000,0.05483333,,,0.22287571,0.05332949,,,30,30,0,0,2001,6000,1316,24000,0,0,0,0,117.95036316,120.89149475,238.84185791,117.95036316,241.78298950,359.73335266,179.86667633
2,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.43850000,0.05391667,,,0.07541165,0.02510547,,,30,30,0,0,2631,6000,1294,24000,0,0,0,0,117.95036316,120.89149475,238.84185791,235.90072632,362.67448425,598.57521057,199.52507019
3,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41633333,0.10450000,,,0.11618902,0.03418333,,,30,30,0,0,2498,6000,2508,24000,0,0,0,0,117.95036316,120.89149475,238.84185791,353.85108948,483.56597900,837.41706848,209.35426712
4,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41566667,0.12704167,,,0.14118979,0.03239001,,,30,30,0,0,2494,6000,3049,24000,0,0,0,0,117.95036316,120.89149475,238.84185791,471.80145264,604.45747375,1076.25892639,215.25178528
5,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41250000,0.13425000,,,0.14341519,0.02811546,,,30,30,0,0,2475,6000,3222,24000,0,0,0,0,117.95036316,120.89149475,238.84185791,589.75181580,725.34896851,1315.10078430,219.18346405
6,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41566667,0.13866667,,,0.14154936,0.02761705,,,30,30,0,0,2494,6000,3328,24000,0,0,0,0,117.95036316,120.89149475,238.84185791,707.70217896,846.24046326,1553.94264221,221.99180603
7,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.41800000,0.14445833,,,0.13754151,0.02774828,,,30,30,0,0,2508,6000,3467,24000,0,0,0,0,117.95036316,120.89149475,238.84185791,825.65254211,967.13195801,1792.78450012,224.09806252
8,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42666667,0.14904167,,,0.13368080,0.02788496,,,30,30,0,0,2560,6000,3577,24000,0,0,0,0,117.95036316,120.89149475,238.84185791,943.60290527,1088.02345276,2031.62635803,225.73626200
9,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42666667,0.15208333,,,0.13200589,0.03005781,,,30,30,0,0,2560,6000,3650,24000,0,0,0,0,117.95036316,120.89149475,238.84185791,1061.55326843,1208.91494751,2270.46821594,227.04682159
10,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.42866667,0.15504167,,,0.12777541,0.02896924,,,30,30,0,0,2572,6000,3721,24000,0,0,0,0,117.95036316,120.89149475,238.84185791,1179.50363159,1329.80644226,2509.31007385,228.11909762
11,phase1,dynamic_test,Cifar10_dynamic_clients_nc50,30,0,30,0.43400000,0.15633333,,,0.12278979,0.02986416,,,30,30,0,0,2604,6000,3752,24000,0,0,0,0,117.95036316,120.89149475,238.84185791,1297.45399475,1450.69793701,2748.15193176,229.01266098
